receipt_number,invoice_number,amount_paid,payment_date,payment_mode,remarks
RCP/2023-24/000215,INV/2023-24/000249,2000,09-02-2024,UPI,
RCP/2023-24/000225,INV/2023-24/000259,2000,12-07-2023,CASH,
RCP/2023-24/000226,INV/2023-24/000260,2000,10-08-2023,ONLINE,
RCP/2023-24/000229,INV/2023-24/000263,2000,14-11-2023,CASH,
RCP/2023-24/000236,INV/2023-24/000274,2000,24-05-2023,BANK_TRANSFER,
RCP/2023-24/000237,INV/2023-24/000275,2000,18-06-2023,UPI,
RCP/2023-24/000242,INV/2023-24/000280,2000,03-11-2023,UPI,
RCP/2023-24/000249,INV/2023-24/000287,1000,19-04-2023,CASH,
RCP/2023-24/000256,INV/2023-24/000297,2000,16-11-2023,UPI,
RCP/2023-24/000258,INV/2023-24/000300,2000,10-02-2024,ONLINE,
RCP/2023-24/000259,INV/2023-24/000302,5000,15-04-2023,UPI,
RCP/2023-24/000269,INV/2023-24/000316,2000,15-01-2024,BANK_TRANSFER,
RCP/2023-24/000270,INV/2023-24/000317,2000,01-02-2024,CASH,
RCP/2023-24/000287,INV/2023-24/000340,250,11-10-2023,CASH,
RCP/2023-24/000293,INV/2023-24/000346,2000,18-09-2023,UPI,
RCP/2023-24/000295,INV/2023-24/000348,2000,03-11-2023,UPI,
RCP/2023-24/000298,INV/2023-24/000351,2000,06-02-2024,BANK_TRANSFER,
RCP/2023-24/000313,INV/2023-24/000367,2000,16-01-2024,UPI,
RCP/2023-24/000318,INV/2023-24/000374,250,17-10-2023,UPI,
RCP/2023-24/000329,INV/2023-24/000388,500,23-04-2023,CASH,
RCP/2023-24/000339,INV/2023-24/000404,5000,20-04-2023,BANK_TRANSFER,
RCP/2023-24/000346,INV/2023-24/000412,2000,09-07-2023,UPI,
RCP/2023-24/000348,INV/2023-24/000416,2000,04-11-2023,UPI,
RCP/2023-24/000353,INV/2023-24/000421,5000,18-04-2023,UPI,
RCP/2023-24/000355,INV/2023-24/000423,1000,16-04-2023,ONLINE,
RCP/2023-24/000361,INV/2023-24/000429,2000,18-07-2023,CASH,
RCP/2023-24/000375,INV/2023-24/000445,2000,08-06-2023,UPI,
RCP/2023-24/000379,INV/2023-24/000450,2000,22-11-2023,BANK_TRANSFER,
RCP/2023-24/000382,INV/2023-24/000453,2000,08-02-2024,CASH,
RCP/2023-24/000384,INV/2023-24/000455,5000,24-04-2023,CASH,
RCP/2023-24/000385,INV/2023-24/000456,500,16-04-2023,BANK_TRANSFER,
RCP/2023-24/000386,INV/2023-24/000459,250,15-10-2023,UPI,
RCP/2023-24/000397,INV/2023-24/000470,2000,19-02-2024,CASH,
RCP/2023-24/000399,INV/2023-24/000472,5000,20-04-2023,CASH,
RCP/2023-24/000400,INV/2023-24/000473,500,23-04-2023,BANK_TRANSFER,
RCP/2023-24/000412,INV/2023-24/000487,2000,07-02-2024,CASH,
RCP/2023-24/000416,INV/2023-24/000491,1000,22-04-2023,ONLINE,
RCP/2023-24/000436,INV/2023-24/000518,2000,17-11-2023,BANK_TRANSFER,
RCP/2023-24/000438,INV/2023-24/000520,2000,12-01-2024,UPI,
RCP/2023-24/000440,INV/2023-24/000523,5000,21-04-2023,CASH,
RCP/2023-24/000449,INV/2023-24/000532,2000,24-08-2023,CASH,
RCP/2023-24/000454,INV/2023-24/000538,2000,16-02-2024,CASH,
RCP/2023-24/000456,INV/2023-24/000540,5000,16-04-2023,BANK_TRANSFER,
RCP/2023-24/000460,INV/2023-24/000545,2000,19-04-2023,BANK_TRANSFER,
RCP/2023-24/000465,INV/2023-24/000553,2000,08-12-2023,UPI,
RCP/2023-24/000478,INV/2023-24/000568,2000,18-10-2023,ONLINE,
RCP/2023-24/000480,INV/2023-24/000570,2000,10-12-2023,UPI,
RCP/2023-24/000496,INV/2023-24/000590,2000,02-03-2024,UPI,
RCP/2023-24/000502,INV/2023-24/000596,2000,19-04-2023,CASH,
RCP/2023-24/000512,INV/2023-24/000609,500,16-04-2023,CASH,
RCP/2023-24/000516,INV/2023-24/000613,2000,06-04-2023,UPI,
RCP/2023-24/000530,INV/2023-24/000631,2000,22-05-2023,CHEQUE,
RCP/2023-24/000531,INV/2023-24/000632,2000,25-06-2023,CASH,
RCP/2023-24/000536,INV/2023-24/000637,2000,10-11-2023,UPI,
RCP/2023-24/000537,INV/2023-24/000638,2000,12-12-2023,UPI,
RCP/2023-24/000542,INV/2023-24/000644,1000,22-04-2023,CASH,
RCP/2023-24/000545,INV/2023-24/000647,2000,26-04-2023,CASH,
RCP/2023-24/000562,INV/2023-24/000666,2000,11-06-2023,CHEQUE,
RCP/2023-24/000589,INV/2023-24/000697,250,19-10-2023,BANK_TRANSFER,
RCP/2023-24/000602,INV/2023-24/000711,500,20-04-2023,UPI,
RCP/2023-24/000607,INV/2023-24/000718,2000,06-07-2023,ONLINE,
RCP/2023-24/000608,INV/2023-24/000719,2000,11-08-2023,CASH,
RCP/2023-24/000613,INV/2023-24/000726,2000,03-03-2024,UPI,
RCP/2023-24/000620,INV/2023-24/000735,2000,16-07-2023,BANK_TRANSFER,
RCP/2023-24/000638,INV/2023-24/000756,2000,13-11-2023,CHEQUE,
RCP/2023-24/000640,INV/2023-24/000758,2000,01-01-2024,UPI,
RCP/2023-24/000641,INV/2023-24/000759,2000,31-01-2024,CASH,
RCP/2023-24/000642,INV/2023-24/000760,2000,05-03-2024,UPI,
RCP/2023-24/000645,INV/2023-24/000763,1000,16-04-2023,ONLINE,
RCP/2023-24/000649,INV/2023-24/000767,2000,26-05-2023,ONLINE,
RCP/2023-24/000665,INV/2023-24/000788,2000,23-09-2023,CASH,
RCP/2023-24/000668,INV/2023-24/000791,2000,02-12-2023,ONLINE,
RCP/2023-24/000669,INV/2023-24/000792,2000,19-01-2024,CASH,
RCP/2023-24/000673,INV/2023-24/000796,500,25-04-2023,CASH,
RCP/2023-24/000680,INV/2023-24/000807,2000,21-11-2023,BANK_TRANSFER,
RCP/2023-24/000688,INV/2023-24/000817,2000,19-04-2023,BANK_TRANSFER,
RCP/2023-24/000690,INV/2023-24/000819,2000,24-06-2023,UPI,
RCP/2023-24/000693,INV/2023-24/000823,2000,18-10-2023,ONLINE,
RCP/2023-24/000696,INV/2023-24/000826,2000,07-01-2024,UPI,
RCP/2023-24/000712,INV/2023-24/000843,2000,20-01-2024,CASH,
RCP/2023-24/000715,INV/2023-24/000846,5000,24-04-2023,CASH,
RCP/2023-24/000720,INV/2023-24/000852,2000,16-05-2023,CASH,
RCP/2023-24/000721,INV/2023-24/000853,2000,09-06-2023,CASH,
RCP/2023-24/000724,INV/2023-24/000857,2000,13-10-2023,UPI,
RCP/2023-24/000726,INV/2023-24/000860,2000,18-01-2024,BANK_TRANSFER,
RCP/2023-24/000740,INV/2023-24/000876,2000,02-12-2023,UPI,
RCP/2023-24/000743,INV/2023-24/000880,5000,15-04-2023,UPI,
RCP/2023-24/000751,INV/2023-24/000890,2000,16-09-2023,ONLINE,
RCP/2023-24/000753,INV/2023-24/000893,2000,09-12-2023,UPI,
RCP/2023-24/000755,INV/2023-24/000895,2000,18-02-2024,CASH,
RCP/2023-24/000760,INV/2023-24/000900,250,21-04-2023,ONLINE,
RCP/2023-24/000763,INV/2023-24/000903,2000,07-05-2023,UPI,
RCP/2023-24/000771,INV/2023-24/000912,2000,08-02-2024,UPI,
RCP/2023-24/000773,INV/2023-24/000915,500,17-04-2023,UPI,
RCP/2023-24/000774,INV/2023-24/000916,1000,21-04-2023,UPI,
RCP/2023-24/000791,INV/2023-24/000934,250,25-04-2023,UPI,
RCP/2023-24/000794,INV/2023-24/000937,2000,16-05-2023,UPI,
RCP/2023-24/000796,INV/2023-24/000939,2000,23-07-2023,UPI,
RCP/2023-24/000803,INV/2023-24/000948,5000,25-04-2023,CHEQUE,
RCP/2023-24/000808,INV/2023-24/000954,2000,19-05-2023,ONLINE,
RCP/2023-24/000817,INV/2023-24/000966,500,26-04-2023,CASH,
RCP/2023-24/000828,INV/2023-24/000978,2000,05-12-2023,UPI,
RCP/2023-24/000839,INV/2023-24/000990,2000,05-07-2023,ONLINE,
RCP/2023-24/000844,INV/2023-24/000995,2000,03-12-2023,BANK_TRANSFER,
RCP/2023-24/000848,INV/2023-24/000999,5000,14-04-2023,UPI,
RCP/2023-24/000854,INV/2023-24/001008,2000,19-08-2023,UPI,
RCP/2023-24/000856,INV/2023-24/001010,2000,08-10-2023,CASH,
RCP/2023-24/000857,INV/2023-24/001012,2000,16-12-2023,UPI,
RCP/2023-24/000869,INV/2023-24/001027,2000,12-10-2023,BANK_TRANSFER,
RCP/2023-24/000876,INV/2023-24/001035,1000,18-04-2023,CASH,
RCP/2023-24/000881,INV/2023-24/001040,2000,17-06-2023,UPI,
RCP/2023-24/000886,INV/2023-24/001047,2000,02-01-2024,CASH,
RCP/2023-24/000888,INV/2023-24/001050,5000,24-04-2023,CASH,
RCP/2023-24/000895,INV/2023-24/001059,2000,19-08-2023,BANK_TRANSFER,
RCP/2023-24/000905,INV/2023-24/001072,2000,10-04-2023,CASH,
RCP/2023-24/000909,INV/2023-24/001077,2000,16-09-2023,CASH,
RCP/2023-24/000912,INV/2023-24/001080,2000,15-12-2023,CASH,
RCP/2023-24/000913,INV/2023-24/001081,2000,07-01-2024,CASH,
RCP/2023-24/000915,INV/2023-24/001083,2000,09-03-2024,BANK_TRANSFER,
RCP/2023-24/000918,INV/2023-24/001087,250,15-04-2023,CHEQUE,
RCP/2023-24/000923,INV/2023-24/001093,2000,21-08-2023,UPI,
RCP/2023-24/000929,INV/2023-24/001099,2000,07-02-2024,BANK_TRANSFER,
RCP/2023-24/000932,INV/2023-24/001102,500,18-04-2023,UPI,
RCP/2023-24/000933,INV/2023-24/001103,1000,17-04-2023,UPI,
RCP/2023-24/000934,INV/2023-24/001104,250,15-04-2023,CASH,
RCP/2023-24/000935,INV/2023-24/001105,250,23-10-2023,CASH,
RCP/2023-24/000938,INV/2023-24/001108,2000,25-06-2023,UPI,
RCP/2023-24/000939,INV/2023-24/001109,2000,15-07-2023,UPI,
RCP/2023-24/000965,INV/2023-24/001135,5000,19-04-2023,BANK_TRANSFER,
RCP/2023-24/000980,INV/2023-24/001152,5000,15-04-2023,BANK_TRANSFER,
RCP/2023-24/000981,INV/2023-24/001153,500,17-04-2023,BANK_TRANSFER,
RCP/2023-24/000987,INV/2023-24/001160,2000,14-07-2023,ONLINE,
RCP/2023-24/001004,INV/2023-24/001180,2000,21-10-2023,UPI,
RCP/2023-24/001017,INV/2023-24/001196,2000,08-09-2023,CASH,
RCP/2023-24/001022,INV/2023-24/001201,2000,15-02-2024,CASH,
RCP/2023-24/001036,INV/2023-24/001215,2000,04-11-2023,CASH,
RCP/2023-24/001037,INV/2023-24/001216,2000,11-12-2023,CASH,
RCP/2023-24/001039,INV/2023-24/001218,2000,10-02-2024,CASH,
RCP/2023-24/001047,INV/2023-24/001231,2000,09-10-2023,CASH,
RCP/2023-24/001051,INV/2023-24/001235,2000,17-02-2024,UPI,
RCP/2023-24/001053,INV/2023-24/001237,5000,17-04-2023,BANK_TRANSFER,
RCP/2023-24/001055,INV/2023-24/001239,1000,25-04-2023,UPI,
RCP/2023-24/001057,INV/2023-24/001241,250,23-10-2023,BANK_TRANSFER,
RCP/2023-24/001060,INV/2023-24/001244,2000,08-06-2023,CASH,
RCP/2023-24/001063,INV/2023-24/001248,2000,05-10-2023,CHEQUE,
RCP/2023-24/001071,INV/2023-24/001256,1000,24-04-2023,BANK_TRANSFER,
RCP/2023-24/001075,INV/2023-24/001261,2000,15-06-2023,UPI,
RCP/2023-24/001076,INV/2023-24/001262,2000,21-07-2023,CHEQUE,
RCP/2023-24/001078,INV/2023-24/001265,2000,10-10-2023,CASH,
RCP/2023-24/001079,INV/2023-24/001266,2000,15-11-2023,UPI,
RCP/2023-24/001083,INV/2023-24/001270,2000,01-03-2024,UPI,
RCP/2023-24/001086,INV/2023-24/001274,250,23-04-2023,UPI,
RCP/2023-24/001087,INV/2023-24/001275,250,13-10-2023,CHEQUE,
RCP/2023-24/001089,INV/2023-24/001277,2000,15-05-2023,CHEQUE,
RCP/2023-24/001090,INV/2023-24/001281,2000,07-09-2023,ONLINE,
RCP/2023-24/001094,INV/2023-24/001285,2000,09-01-2024,CASH,
RCP/2023-24/001098,INV/2023-24/001289,500,23-04-2023,CHEQUE,
RCP/2023-24/001116,INV/2023-24/001311,2000,24-05-2023,ONLINE,
RCP/2023-24/001124,INV/2023-24/001319,2000,16-01-2024,BANK_TRANSFER,
RCP/2023-24/001131,INV/2023-24/001331,2000,18-08-2023,UPI,
RCP/2023-24/001138,INV/2023-24/001340,500,20-04-2023,CASH,
RCP/2023-24/001143,INV/2023-24/001346,2000,13-06-2023,CASH,
RCP/2023-24/001149,INV/2023-24/001352,2000,22-12-2023,CASH,
RCP/2023-24/001166,INV/2023-24/001372,2000,06-03-2024,CASH,
RCP/2023-24/001172,INV/2023-24/001378,2000,22-04-2023,BANK_TRANSFER,
RCP/2023-24/001174,INV/2023-24/001381,2000,19-07-2023,BANK_TRANSFER,
RCP/2023-24/001175,INV/2023-24/001383,2000,20-09-2023,BANK_TRANSFER,
RCP/2023-24/001176,INV/2023-24/001384,2000,16-10-2023,UPI,
RCP/2023-24/001180,INV/2023-24/001389,2000,18-03-2024,UPI,
RCP/2023-24/001185,INV/2023-24/001394,250,11-10-2023,CASH,
RCP/2023-24/001188,INV/2023-24/001398,2000,16-07-2023,ONLINE,
RCP/2023-24/001189,INV/2023-24/001399,2000,21-08-2023,UPI,
RCP/2023-24/001190,INV/2023-24/001400,2000,09-09-2023,UPI,
RCP/2023-24/001198,INV/2023-24/001409,1000,21-04-2023,UPI,
RCP/2023-24/001217,INV/2023-24/001432,2000,15-07-2023,BANK_TRANSFER,
RCP/2023-24/001230,INV/2023-24/001449,2000,08-07-2023,ONLINE,
RCP/2023-24/001234,INV/2023-24/001453,2000,14-11-2023,UPI,
RCP/2023-24/001247,INV/2023-24/001467,2000,23-08-2023,BANK_TRANSFER,
RCP/2023-24/001248,INV/2023-24/001468,2000,18-09-2023,CASH,
RCP/2023-24/001251,INV/2023-24/001473,2000,13-02-2024,UPI,
RCP/2023-24/001257,INV/2023-24/001482,2000,16-06-2023,BANK_TRANSFER,
RCP/2023-24/001258,INV/2023-24/001483,2000,24-07-2023,CASH,
RCP/2023-24/001259,INV/2023-24/001484,2000,13-08-2023,ONLINE,
RCP/2023-24/001262,INV/2023-24/001489,2000,10-01-2024,UPI,
RCP/2023-24/001271,INV/2023-24/001498,2000,18-05-2023,UPI,
RCP/2023-24/001272,INV/2023-24/001499,2000,20-06-2023,CASH,
RCP/2023-24/001279,INV/2023-24/001508,2000,04-03-2024,BANK_TRANSFER,
RCP/2023-24/001283,INV/2023-24/001512,250,13-04-2023,CHEQUE,
RCP/2023-24/001287,INV/2023-24/001516,2000,07-06-2023,BANK_TRANSFER,
RCP/2023-24/001288,INV/2023-24/001517,2000,10-07-2023,CHEQUE,
RCP/2023-24/001289,INV/2023-24/001518,2000,14-08-2023,CASH,
RCP/2023-24/001292,INV/2023-24/001522,2000,21-12-2023,CASH,
RCP/2023-24/001300,INV/2023-24/001533,2000,10-06-2023,CASH,
RCP/2023-24/001302,INV/2023-24/001538,2000,12-11-2023,BANK_TRANSFER,
RCP/2023-24/001307,INV/2023-24/001544,500,21-04-2023,ONLINE,
RCP/2023-24/001309,INV/2023-24/001546,250,24-04-2023,BANK_TRANSFER,
RCP/2023-24/001310,INV/2023-24/001547,250,12-10-2023,CHEQUE,
RCP/2023-24/001311,INV/2023-24/001548,2000,06-04-2023,UPI,
RCP/2023-24/001314,INV/2023-24/001552,2000,22-08-2023,UPI,
RCP/2023-24/001326,INV/2023-24/001567,2000,19-06-2023,UPI,
RCP/2023-24/001333,INV/2023-24/001575,2000,02-02-2024,CHEQUE,
RCP/2023-24/001337,INV/2023-24/001581,250,22-10-2023,CASH,
RCP/2023-24/001347,INV/2023-24/001592,2000,14-02-2024,UPI,
RCP/2023-24/001352,INV/2023-24/001597,250,13-04-2023,UPI,
RCP/2023-24/001355,INV/2023-24/001600,2000,25-05-2023,BANK_TRANSFER,
RCP/2023-24/001363,INV/2023-24/001611,5000,18-04-2023,ONLINE,
RCP/2023-24/001368,INV/2023-24/001616,2000,26-04-2023,CASH,
RCP/2023-24/001370,INV/2023-24/001619,2000,23-07-2023,UPI,
RCP/2023-24/001379,INV/2023-24/001631,250,22-04-2023,UPI,
RCP/2023-24/001380,INV/2023-24/001632,250,21-10-2023,ONLINE,
RCP/2023-24/001382,INV/2023-24/001634,2000,10-05-2023,CHEQUE,
RCP/2023-24/001386,INV/2023-24/001638,2000,12-09-2023,CASH,
RCP/2023-24/001389,INV/2023-24/001642,2000,15-01-2024,UPI,
RCP/2023-24/001404,INV/2023-24/001660,2000,06-02-2024,UPI,
RCP/2023-24/001409,INV/2023-24/001666,250,16-10-2023,CASH,
RCP/2023-24/001414,INV/2023-24/001671,2000,07-08-2023,UPI,
RCP/2023-24/001437,INV/2023-24/001695,2000,18-03-2024,BANK_TRANSFER,
RCP/2023-24/001439,INV/2023-24/001697,500,20-04-2023,CASH,
RCP/2023-24/001446,INV/2023-24/001704,2000,13-07-2023,CASH,
RCP/2023-24/001452,INV/2023-24/001711,2000,03-02-2024,CHEQUE,
RCP/2023-24/001462,INV/2023-24/001725,2000,13-11-2023,UPI,
RCP/2023-24/001465,INV/2023-24/001729,2000,02-03-2024,CHEQUE,
RCP/2023-24/001471,INV/2023-24/001736,2000,21-05-2023,BANK_TRANSFER,
RCP/2023-24/001472,INV/2023-24/001737,2000,10-06-2023,UPI,
RCP/2023-24/001473,INV/2023-24/001738,2000,21-07-2023,CASH,
RCP/2023-24/001476,INV/2023-24/001743,2000,13-12-2023,CASH,
RCP/2023-24/001480,INV/2023-24/001747,5000,17-04-2023,BANK_TRANSFER,
RCP/2023-24/001481,INV/2023-24/001748,500,21-04-2023,UPI,
RCP/2023-24/001482,INV/2023-24/001749,1000,19-04-2023,UPI,
RCP/2023-24/001485,INV/2023-24/001752,2000,15-04-2023,UPI,
RCP/2023-24/001498,INV/2023-24/001768,250,17-10-2023,CASH,
RCP/2023-24/001500,INV/2023-24/001771,2000,24-06-2023,CHEQUE,
RCP/2023-24/001501,INV/2023-24/001772,2000,07-07-2023,CASH,
RCP/2023-24/001506,INV/2023-24/001778,2000,01-01-2024,UPI,
RCP/2023-24/001507,INV/2023-24/001780,2000,09-03-2024,UPI,
RCP/2023-24/001509,INV/2023-24/001782,500,13-04-2023,ONLINE,
RCP/2023-24/001511,INV/2023-24/001784,250,17-04-2023,CASH,
RCP/2023-24/001518,INV/2023-24/001793,2000,03-11-2023,UPI,
RCP/2023-24/001519,INV/2023-24/001795,2000,13-01-2024,UPI,
RCP/2023-24/001520,INV/2023-24/001796,2000,03-02-2024,CASH,
RCP/2023-24/001523,INV/2023-24/001800,1000,19-04-2023,UPI,
RCP/2023-24/001528,INV/2023-24/001806,2000,07-07-2023,UPI,
RCP/2023-24/001532,INV/2023-24/001810,2000,17-11-2023,ONLINE,
RCP/2023-24/001544,INV/2023-24/001825,2000,11-09-2023,BANK_TRANSFER,
RCP/2023-24/001550,INV/2023-24/001832,5000,22-04-2023,UPI,
RCP/2023-24/001557,INV/2023-24/001840,2000,15-07-2023,UPI,
RCP/2023-24/001562,INV/2023-24/001846,2000,16-01-2024,UPI,
RCP/2023-24/001572,INV/2023-24/001858,2000,15-08-2023,UPI,
RCP/2023-24/001578,INV/2023-24/001864,2000,07-02-2024,BANK_TRANSFER,
RCP/2023-24/001581,INV/2023-24/001868,1000,20-04-2023,UPI,
RCP/2023-24/001588,INV/2023-24/001878,2000,06-11-2023,CHEQUE,
RCP/2023-24/001595,INV/2023-24/001886,250,24-04-2023,CASH,
RCP/2023-24/001605,INV/2023-24/001899,2000,08-03-2024,CHEQUE,
RCP/2023-24/001607,INV/2023-24/001901,500,23-04-2023,BANK_TRANSFER,
RCP/2023-24/001624,INV/2023-24/001921,250,23-10-2023,UPI,
RCP/2023-24/001637,INV/2023-24/001936,1000,15-04-2023,CASH,
RCP/2023-24/001638,INV/2023-24/001937,250,13-04-2023,CASH,
RCP/2023-24/001643,INV/2023-24/001944,2000,15-09-2023,CASH,
RCP/2023-24/001647,INV/2023-24/001949,2000,07-02-2024,UPI,
RCP/2023-24/001650,INV/2023-24/001952,500,26-04-2023,UPI,
RCP/2023-24/001653,INV/2023-24/001955,250,11-10-2023,CASH,
RCP/2023-24/001656,INV/2023-24/001958,2000,13-06-2023,ONLINE,
RCP/2023-24/001664,INV/2023-24/001968,5000,22-04-2023,CHEQUE,
RCP/2023-24/001667,INV/2023-24/001972,250,13-10-2023,UPI,
RCP/2023-24/001669,INV/2023-24/001974,2000,24-05-2023,UPI,
RCP/2023-24/001670,INV/2023-24/001975,2000,17-06-2023,UPI,
RCP/2023-24/001672,INV/2023-24/001977,2000,21-08-2023,UPI,
RCP/2023-24/001676,INV/2023-24/001982,2000,06-01-2024,UPI,
RCP/2023-24/001678,INV/2023-24/001984,2000,20-03-2024,CASH,
RCP/2023-24/001682,INV/2023-24/001988,250,26-04-2023,CASH,
RCP/2023-24/001685,INV/2023-24/001991,2000,08-05-2023,BANK_TRANSFER,
RCP/2023-24/001688,INV/2023-24/001995,2000,07-09-2023,UPI,
RCP/2023-24/001693,INV/2023-24/002000,2000,04-02-2024,UPI,
RCP/2023-24/001701,INV/2023-24/002009,2000,09-06-2023,CHEQUE,
RCP/2023-24/001711,INV/2023-24/002022,250,15-04-2023,ONLINE,
RCP/2023-24/001714,INV/2023-24/002025,2000,17-05-2023,ONLINE,
RCP/2023-24/001719,INV/2023-24/002030,2000,04-10-2023,BANK_TRANSFER,
RCP/2023-24/001720,INV/2023-24/002031,2000,16-11-2023,CASH,
RCP/2023-24/001725,INV/2023-24/002036,5000,25-04-2023,UPI,
RCP/2023-24/001751,INV/2023-24/002064,3000,17-09-2023,UPI,
RCP/2023-24/001752,INV/2023-24/002065,3000,14-10-2023,ONLINE,
RCP/2023-24/001755,INV/2023-24/002070,3000,02-03-2024,UPI,
RCP/2023-24/001758,INV/2023-24/002074,1000,14-04-2023,UPI,
RCP/2023-24/001774,INV/2023-24/002095,3000,21-04-2023,CASH,
RCP/2023-24/001775,INV/2023-24/002096,3000,12-05-2023,CHEQUE,
RCP/2023-24/001777,INV/2023-24/002098,3000,23-07-2023,BANK_TRANSFER,
RCP/2023-24/001778,INV/2023-24/002099,3000,11-08-2023,BANK_TRANSFER,
RCP/2023-24/001791,INV/2023-24/002117,3000,19-08-2023,UPI,
RCP/2023-24/001803,INV/2023-24/002130,375,11-10-2023,UPI,
RCP/2023-24/001813,INV/2023-24/002142,3000,09-03-2024,CASH,
RCP/2023-24/001814,INV/2023-24/002143,6000,14-04-2023,CASH,
RCP/2023-24/001817,INV/2023-24/002146,1000,20-04-2023,UPI,
RCP/2023-24/001818,INV/2023-24/002147,375,22-04-2023,UPI,
RCP/2023-24/001825,INV/2023-24/002156,3000,10-11-2023,UPI,
RCP/2023-24/001833,INV/2023-24/002164,1000,20-04-2023,BANK_TRANSFER,
RCP/2023-24/001835,INV/2023-24/002166,375,11-10-2023,UPI,
RCP/2023-24/001848,INV/2023-24/002181,500,13-04-2023,CASH,
RCP/2023-24/001857,INV/2023-24/002193,3000,06-12-2023,CASH,
RCP/2023-24/001860,INV/2023-24/002196,3000,15-03-2024,UPI,
RCP/2023-24/001867,INV/2023-24/002203,3000,25-04-2023,CASH,
RCP/2023-24/001871,INV/2023-24/002207,3000,24-08-2023,CASH,
RCP/2023-24/001879,INV/2023-24/002217,500,25-04-2023,CHEQUE,
RCP/2023-24/001911,INV/2023-24/002255,375,26-04-2023,UPI,
RCP/2023-24/001914,INV/2023-24/002258,3000,18-05-2023,ONLINE,
RCP/2023-24/001921,INV/2023-24/002269,6000,21-04-2023,UPI,
RCP/2023-24/001922,INV/2023-24/002270,1000,19-04-2023,CASH,
RCP/2023-24/001924,INV/2023-24/002272,1000,13-04-2023,UPI,
RCP/2023-24/001934,INV/2023-24/002285,3000,08-02-2024,BANK_TRANSFER,
RCP/2023-24/001945,INV/2023-24/002296,3000,19-07-2023,CASH,
RCP/2023-24/001951,INV/2023-24/002303,3000,05-02-2024,CHEQUE,
RCP/2023-24/001954,INV/2023-24/002307,500,20-04-2023,UPI,
RCP/2023-24/001956,INV/2023-24/002309,375,16-04-2023,CASH,
