admission_number,exam_name,subject_code,max_marks,marks_obtained,grade,exam_date,academic_year
STU0384,Unit Test 1,CS7,100,83.9,A,31-05-2023,2023-24
STU0446,Unit Test 1,SST10,100,95.1,A+,31-05-2024,2024-25
STU0301,Unit Test 2,MATH6,100,96.5,A+,28-10-2024,2024-25
STU0459,Final,ENG9,100,94.7,A+,26-01-2024,2023-24
STU0111,Unit Test 2,SCI1,100,100.0,A+,28-10-2024,2024-25
STU0420,Unit Test 1,PE9,50,38.3,B+,31-05-2024,2024-25
STU0513,Unit Test 2,MATH10,100,65.9,B,28-10-2023,2023-24
STU0323,Final,PE8,50,33.5,B,26-01-2026,2025-26
STU0416,Unit Test 1,TEL8,100,65.7,B,31-05-2023,2023-24
STU0097,Unit Test 2,SST2,100,36.4,F,28-10-2025,2025-26
STU0090,Unit Test 1,HIN1,100,78.3,B+,31-05-2024,2024-25
STU0271,Unit Test 2,PE4,50,44.4,A,28-10-2023,2023-24
STU0196,Unit Test 1,PE2,50,42.4,A,31-05-2023,2023-24
STU0196,Final,MATH4,100,43.5,D,26-01-2026,2025-26
STU0155,Midterm,ENG3,100,92.2,A+,30-07-2025,2025-26
STU0132,Midterm,ENG1,100,76.0,B+,30-07-2023,2023-24
STU0441,Midterm,CS10,100,100.0,A+,30-07-2024,2024-25
STU0465,Unit Test 2,ENG10,100,52.9,C,28-10-2024,2024-25
STU0283,Unit Test 1,ENG7,100,99.7,A+,31-05-2025,2025-26
STU0352,Midterm,TEL8,100,40.7,D,30-07-2025,2025-26
STU0184,Unit Test 1,PE2,50,36.5,B+,31-05-2023,2023-24
STU0357,Midterm,TEL8,100,66.2,B,30-07-2025,2025-26
STU0241,Final,TEL6,100,76.0,B+,26-01-2026,2025-26
STU0017,Final,EVSNursery,100,62.1,B,26-01-2024,2023-24
STU0300,Midterm,SST6,100,71.1,B+,30-07-2024,2024-25
STU0416,Unit Test 1,SCI8,100,61.0,B,31-05-2023,2023-24
STU0208,Final,SST4,100,60.7,B,26-01-2025,2024-25
STU0282,Unit Test 1,CS7,100,58.7,C,31-05-2025,2025-26
STU0102,Unit Test 2,ENG2,100,76.1,B+,28-10-2025,2025-26
STU0161,Unit Test 2,ENG4,100,77.0,B+,28-10-2025,2025-26
STU0391,Final,HIN8,100,66.4,B,26-01-2025,2024-25
STU0503,Unit Test 1,ART10,50,23.0,D,31-05-2023,2023-24
STU0470,Midterm,PE10,50,20.9,D,30-07-2024,2024-25
STU0109,Unit Test 2,ENG2,100,87.4,A,28-10-2025,2025-26
STU0358,Unit Test 2,HIN7,100,78.3,B+,28-10-2024,2024-25
STU0515,Final,HIN10,100,71.8,B+,26-01-2024,2023-24
STU0444,Unit Test 1,ENG10,100,68.1,B,31-05-2024,2024-25
STU0095,Unit Test 1,EVSUKG,100,57.9,C,31-05-2023,2023-24
STU0352,Unit Test 1,MATH8,100,100.0,A+,31-05-2025,2025-26
STU0107,Final,ENG1,100,56.4,C,26-01-2025,2024-25
STU0171,Midterm,PE3,50,45.9,A+,30-07-2024,2024-25
STU0338,Unit Test 1,TEL8,100,96.9,A+,31-05-2025,2025-26
STU0356,Final,TEL8,100,56.6,C,26-01-2026,2025-26
STU0424,Final,ENG9,100,75.4,B+,26-01-2025,2024-25
STU0381,Unit Test 1,MATH7,100,83.2,A,31-05-2023,2023-24
STU0336,Final,HIN8,100,64.0,B,26-01-2026,2025-26
STU0441,Final,CS10,100,92.4,A+,26-01-2025,2024-25
STU0456,Final,PE9,50,33.9,B,26-01-2024,2023-24
STU0249,Final,TEL5,100,70.4,B+,26-01-2025,2024-25
STU0184,Final,PE3,50,26.9,C,26-01-2025,2024-25
STU0271,Final,ENG4,100,73.3,B+,26-01-2024,2023-24
STU0503,Midterm,SST10,100,90.7,A+,30-07-2023,2023-24
STU0262,Unit Test 2,SCI5,100,66.7,B,28-10-2024,2024-25
STU0158,Final,HIN1,100,80.9,A,26-01-2024,2023-24
STU0283,Midterm,PE7,50,43.4,A,30-07-2025,2025-26
STU0208,Final,PE5,50,34.2,B,26-01-2026,2025-26
STU0336,Final,ENG7,100,65.1,B,26-01-2025,2024-25
STU0132,Final,SCI3,100,60.7,B,26-01-2026,2025-26
STU0441,Final,CS9,100,80.1,A,26-01-2024,2023-24
STU0140,Unit Test 2,PE2,50,36.6,B+,28-10-2024,2024-25
STU0161,Unit Test 1,SCI2,100,85.6,A,31-05-2023,2023-24
STU0192,Unit Test 1,SCI2,100,58.3,C,31-05-2023,2023-24
STU0308,Final,PE7,50,38.5,B+,26-01-2026,2025-26
STU0165,Unit Test 2,PE2,50,41.4,A,28-10-2023,2023-24
STU0309,Unit Test 1,SST5,100,75.3,B+,31-05-2023,2023-24
STU0332,Unit Test 2,TEL8,100,73.7,B+,28-10-2025,2025-26
STU0470,Final,TEL9,100,52.2,C,26-01-2024,2023-24
STU0278,Final,ENG6,100,85.9,A,26-01-2026,2025-26
STU0107,Midterm,SST1,100,53.6,C,30-07-2024,2024-25
STU0300,Midterm,CS5,50,27.5,C,30-07-2023,2023-24
STU0359,Unit Test 2,CS8,100,74.2,B+,28-10-2025,2025-26
STU0271,Unit Test 1,CS5,50,36.3,B+,31-05-2024,2024-25
STU0161,Unit Test 1,MATH4,100,76.5,B+,31-05-2025,2025-26
STU0155,Unit Test 2,SST1,100,100.0,A+,28-10-2023,2023-24
STU0102,Unit Test 2,CS2,50,27.3,C,28-10-2025,2025-26
STU0357,Midterm,ENG6,100,100.0,A+,30-07-2023,2023-24
STU0278,Final,TEL5,100,69.3,B,26-01-2025,2024-25
STU0093,Unit Test 1,TEL1,100,57.2,C,31-05-2024,2024-25
STU0231,Unit Test 2,SST3,100,76.5,B+,28-10-2023,2023-24
STU0107,Unit Test 2,ENG1,100,75.1,B+,28-10-2024,2024-25
STU0309,Final,MATH5,100,80.4,A,26-01-2024,2023-24
STU0357,Final,ENG8,100,66.6,B,26-01-2026,2025-26
STU0283,Unit Test 1,MATH5,100,72.5,B+,31-05-2023,2023-24
STU0301,Midterm,CS5,50,28.6,C,30-07-2023,2023-24
STU0208,Unit Test 2,MATH4,100,62.4,B,28-10-2024,2024-25
STU0111,Unit Test 1,TEL2,100,100.0,A+,31-05-2025,2025-26
STU0008,Unit Test 1,TELNursery,100,60.7,B,31-05-2023,2023-24
STU0093,Unit Test 2,TEL2,100,61.8,B,28-10-2025,2025-26
STU0364,Final,TEL8,100,84.7,A,26-01-2025,2024-25
STU0332,Unit Test 2,SCI8,100,61.6,B,28-10-2025,2025-26
STU0301,Unit Test 2,HIN5,100,74.3,B+,28-10-2023,2023-24
STU0107,Unit Test 1,SST2,100,70.3,B+,31-05-2025,2025-26
STU0424,Unit Test 1,SCI10,100,55.0,C,31-05-2025,2025-26
STU0364,Unit Test 2,PE7,50,40.8,A,28-10-2023,2023-24
STU0359,Final,ENG8,100,55.7,C,26-01-2026,2025-26
STU0189,Unit Test 1,SST4,100,60.9,B,31-05-2025,2025-26
STU0247,Midterm,ART6,50,29.5,C,30-07-2025,2025-26
STU0271,Unit Test 1,TEL4,100,72.8,B+,31-05-2023,2023-24
STU0090,Midterm,ENG1,100,52.1,C,30-07-2024,2024-25
STU0090,Final,ENG2,100,72.1,B+,26-01-2026,2025-26
STU0155,Midterm,PE1,50,31.4,B,30-07-2023,2023-24
STU0171,Unit Test 1,TEL3,100,57.0,C,31-05-2024,2024-25
STU0390,Unit Test 2,ART7,50,33.2,B,28-10-2023,2023-24
STU0366,Unit Test 2,ENG8,100,59.0,C,28-10-2024,2024-25
STU0177,Final,MATH4,100,73.9,B+,26-01-2026,2025-26
STU0283,Unit Test 2,CS7,100,68.4,B,28-10-2025,2025-26
STU0140,Unit Test 1,SST3,100,85.7,A,31-05-2025,2025-26
STU0356,Unit Test 2,PE7,50,22.6,D,28-10-2024,2024-25
STU0301,Final,SST7,100,76.4,B+,26-01-2026,2025-26
STU0132,Midterm,CS1,50,41.9,A,30-07-2023,2023-24
STU0301,Unit Test 2,CS7,100,63.9,B,28-10-2025,2025-26
STU0202,Midterm,SCI4,100,65.2,B,30-07-2024,2024-25
STU0308,Unit Test 2,TEL7,100,70.4,B+,28-10-2025,2025-26
STU0416,Unit Test 2,CS9,100,89.4,A,28-10-2024,2024-25
STU0158,Midterm,ENG2,100,54.2,C,30-07-2024,2024-25
STU0444,Final,SCI10,100,59.4,C,26-01-2025,2024-25
STU0202,Midterm,SST4,100,48.3,D,30-07-2024,2024-25
STU0165,Final,MATH4,100,66.4,B,26-01-2026,2025-26
STU0356,Midterm,TEL8,100,60.2,B,30-07-2025,2025-26
STU0357,Final,ENG6,100,80.1,A,26-01-2024,2023-24
STU0424,Unit Test 2,TEL9,100,62.3,B,28-10-2024,2024-25
STU0140,Unit Test 1,PE2,50,43.2,A,31-05-2024,2024-25
STU0338,Midterm,SST6,100,74.1,B+,30-07-2023,2023-24
STU0359,Final,HIN8,100,59.6,C,26-01-2026,2025-26
STU0037,Midterm,ENGNursery,100,77.8,B+,30-07-2023,2023-24
STU0423,Midterm,CS8,100,48.3,D,30-07-2023,2023-24
STU0356,Unit Test 2,SCI6,100,89.1,A,28-10-2023,2023-24
STU0338,Midterm,ENG7,100,82.8,A,30-07-2024,2024-25
STU0132,Midterm,MATH3,100,64.0,B,30-07-2025,2025-26
STU0247,Midterm,PE6,50,34.3,B,30-07-2025,2025-26
STU0320,Midterm,PE6,50,34.1,B,30-07-2024,2024-25
STU0200,Final,TEL3,100,73.1,B+,26-01-2025,2024-25
STU0159,Unit Test 1,ENG3,100,62.5,B,31-05-2025,2025-26
STU0439,Midterm,CS10,100,100.0,A+,30-07-2025,2025-26
STU0090,Unit Test 2,TELUKG,100,100.0,A+,28-10-2023,2023-24
STU0139,Unit Test 1,PE2,50,31.1,B,31-05-2024,2024-25
STU0093,Unit Test 2,CS2,50,43.3,A,28-10-2025,2025-26
STU0390,Final,HIN9,100,79.0,B+,26-01-2026,2025-26
STU0177,Midterm,SST2,100,55.4,C,30-07-2023,2023-24
STU0202,Midterm,PE4,50,28.5,C,30-07-2024,2024-25
STU0475,Midterm,PE9,50,29.5,C,30-07-2023,2023-24
