admission_number,class_name,section_name,roll_number,enrollment_date,academic_year
STU0045,UKG,A,20,01-04-2024,2024-25
STU0046,UKG,A,15,01-04-2024,2024-25
STU0047,UKG,A,17,01-04-2024,2024-25
STU0048,UKG,A,12,01-04-2024,2024-25
STU0049,UKG,A,16,01-04-2024,2024-25
STU0050,UKG,A,11,01-04-2024,2024-25
STU0051,UKG,A,18,01-04-2024,2024-25
STU0052,UKG,A,12,01-04-2024,2024-25
STU0053,UKG,A,4,01-04-2024,2024-25
STU0054,UKG,A,6,01-04-2024,2024-25
STU0055,UKG,A,14,01-04-2024,2024-25
STU0056,UKG,A,18,01-04-2024,2024-25
STU0057,UKG,A,13,01-04-2024,2024-25
STU0058,UKG,A,3,01-04-2024,2024-25
STU0059,UKG,A,5,01-04-2024,2024-25
STU0060,UKG,A,1,01-04-2024,2024-25
STU0061,UKG,B,11,01-04-2024,2024-25
STU0062,UKG,B,19,01-04-2024,2024-25
STU0063,UKG,B,9,01-04-2024,2024-25
STU0064,UKG,B,7,01-04-2024,2024-25
STU0065,UKG,B,17,01-04-2024,2024-25
STU0066,UKG,B,20,01-04-2024,2024-25
STU0067,UKG,B,15,01-04-2024,2024-25
STU0068,UKG,B,14,01-04-2024,2024-25
STU0069,UKG,B,2,01-04-2024,2024-25
STU0070,UKG,B,15,01-04-2024,2024-25
STU0071,UKG,B,10,01-04-2024,2024-25
STU0072,UKG,B,2,01-04-2024,2024-25
STU0073,UKG,B,4,01-04-2024,2024-25
STU0074,UKG,B,16,01-04-2024,2024-25
STU0075,UKG,B,15,01-04-2024,2024-25
STU0076,UKG,B,12,01-04-2024,2024-25
STU0077,UKG,B,2,01-04-2024,2024-25
STU0078,UKG,B,20,01-04-2024,2024-25
STU0079,UKG,B,12,01-04-2024,2024-25
STU0080,UKG,B,9,01-04-2024,2024-25
STU0081,Class 1,A,14,01-04-2024,2024-25
STU0082,Class 1,A,11,01-04-2024,2024-25
STU0083,Class 1,A,10,01-04-2024,2024-25
STU0084,Class 1,A,1,01-04-2024,2024-25
STU0085,Class 1,A,18,01-04-2024,2024-25
STU0086,Class 1,A,9,01-04-2024,2024-25
STU0087,Class 1,A,6,01-04-2024,2024-25
STU0088,Class 1,A,10,01-04-2024,2024-25
STU0089,Class 1,A,12,01-04-2024,2024-25
STU0090,Class 1,A,14,01-04-2024,2024-25
STU0091,Class 1,A,1,01-04-2024,2024-25
STU0092,Class 1,A,15,01-04-2024,2024-25
STU0093,Class 1,A,11,01-04-2024,2024-25
STU0094,Class 1,A,10,01-04-2024,2024-25
STU0095,Class 1,A,2,01-04-2024,2024-25
STU0096,Class 1,A,20,01-04-2024,2024-25
STU0097,Class 1,A,4,01-04-2024,2024-25
STU0098,Class 1,A,12,01-04-2024,2024-25
STU0099,Class 1,A,2,01-04-2024,2024-25
STU0100,Class 1,A,18,01-04-2024,2024-25
STU0101,Class 1,B,13,01-04-2024,2024-25
STU0102,Class 1,B,8,01-04-2024,2024-25
STU0103,Class 1,B,6,01-04-2024,2024-25
STU0104,Class 1,B,3,01-04-2024,2024-25
STU0105,Class 1,B,18,01-04-2024,2024-25
STU0106,Class 1,B,4,01-04-2024,2024-25
STU0107,Class 1,B,5,01-04-2024,2024-25
STU0108,Class 1,B,5,01-04-2024,2024-25
STU0109,Class 1,B,16,01-04-2024,2024-25
STU0110,Class 1,B,14,01-04-2024,2024-25
STU0111,Class 1,B,9,01-04-2024,2024-25
STU0112,Class 1,B,12,01-04-2024,2024-25
STU0113,Class 1,B,15,01-04-2024,2024-25
STU0114,Class 1,B,20,01-04-2024,2024-25
STU0115,Class 1,B,8,01-04-2024,2024-25
STU0116,Class 1,B,17,01-04-2024,2024-25
STU0117,Class 1,B,19,01-04-2024,2024-25
STU0118,Class 1,B,15,01-04-2024,2024-25
STU0119,Class 1,B,2,01-04-2024,2024-25
STU0120,Class 1,B,3,01-04-2024,2024-25
STU0121,Class 2,A,11,01-04-2024,2024-25
STU0122,Class 2,A,12,01-04-2024,2024-25
STU0123,Class 2,A,2,01-04-2024,2024-25
STU0124,Class 2,A,5,01-04-2024,2024-25
STU0125,Class 2,A,20,01-04-2024,2024-25
STU0126,Class 2,A,4,01-04-2024,2024-25
STU0127,Class 2,A,13,01-04-2024,2024-25
STU0128,Class 2,A,17,01-04-2024,2024-25
STU0129,Class 2,A,3,01-04-2024,2024-25
STU0130,Class 2,A,11,01-04-2024,2024-25
STU0131,Class 2,A,10,01-04-2024,2024-25
STU0132,Class 2,A,14,01-04-2024,2024-25
STU0133,Class 2,A,13,01-04-2024,2024-25
STU0134,Class 2,A,1,01-04-2024,2024-25
STU0135,Class 2,A,6,01-04-2024,2024-25
STU0136,Class 2,A,9,01-04-2024,2024-25
STU0137,Class 2,A,3,01-04-2024,2024-25
STU0138,Class 2,A,14,01-04-2024,2024-25
STU0139,Class 2,A,4,01-04-2024,2024-25
STU0140,Class 2,A,7,01-04-2024,2024-25
STU0141,Class 2,B,19,01-04-2024,2024-25
STU0142,Class 2,B,9,01-04-2024,2024-25
STU0143,Class 2,B,10,01-04-2024,2024-25
STU0144,Class 2,B,20,01-04-2024,2024-25
STU0145,Class 2,B,17,01-04-2024,2024-25
STU0146,Class 2,B,18,01-04-2024,2024-25
STU0147,Class 2,B,8,01-04-2024,2024-25
STU0148,Class 2,B,2,01-04-2024,2024-25
STU0149,Class 2,B,12,01-04-2024,2024-25
STU0150,Class 2,B,19,01-04-2024,2024-25
STU0151,Class 2,B,16,01-04-2024,2024-25
STU0152,Class 2,B,7,01-04-2024,2024-25
STU0153,Class 2,B,14,01-04-2024,2024-25
STU0154,Class 2,B,9,01-04-2024,2024-25
STU0155,Class 2,B,6,01-04-2024,2024-25
STU0156,Class 2,B,9,01-04-2024,2024-25
STU0157,Class 2,B,17,01-04-2024,2024-25
STU0158,Class 2,B,2,01-04-2024,2024-25
STU0159,Class 2,B,20,01-04-2024,2024-25
STU0160,Class 2,B,13,01-04-2024,2024-25
STU0161,Class 3,A,6,01-04-2024,2024-25
STU0162,Class 3,A,10,01-04-2024,2024-25
STU0163,Class 3,A,9,01-04-2024,2024-25
STU0164,Class 3,A,1,01-04-2024,2024-25
STU0165,Class 3,A,14,01-04-2024,2024-25
STU0166,Class 3,A,7,01-04-2024,2024-25
STU0167,Class 3,A,1,01-04-2024,2024-25
STU0168,Class 3,A,14,01-04-2024,2024-25
STU0169,Class 3,A,5,01-04-2024,2024-25
STU0170,Class 3,A,9,01-04-2024,2024-25
STU0171,Class 3,A,9,01-04-2024,2024-25
STU0172,Class 3,A,15,01-04-2024,2024-25
STU0173,Class 3,A,20,01-04-2024,2024-25
STU0174,Class 3,A,11,01-04-2024,2024-25
STU0175,Class 3,A,4,01-04-2024,2024-25
STU0176,Class 3,A,8,01-04-2024,2024-25
STU0177,Class 3,A,8,01-04-2024,2024-25
STU0178,Class 3,A,1,01-04-2024,2024-25
STU0179,Class 3,A,11,01-04-2024,2024-25
STU0180,Class 3,A,8,01-04-2024,2024-25
STU0181,Class 3,B,3,01-04-2024,2024-25
STU0182,Class 3,B,20,01-04-2024,2024-25
STU0183,Class 3,B,10,01-04-2024,2024-25
STU0184,Class 3,B,20,01-04-2024,2024-25
STU0185,Class 3,B,15,01-04-2024,2024-25
STU0186,Class 3,B,19,01-04-2024,2024-25
STU0187,Class 3,B,14,01-04-2024,2024-25
STU0188,Class 3,B,20,01-04-2024,2024-25
STU0189,Class 3,B,11,01-04-2024,2024-25
STU0190,Class 3,B,18,01-04-2024,2024-25
STU0191,Class 3,B,13,01-04-2024,2024-25
STU0192,Class 3,B,16,01-04-2024,2024-25
STU0193,Class 3,B,18,01-04-2024,2024-25
STU0194,Class 3,B,1,01-04-2024,2024-25
STU0195,Class 3,B,11,01-04-2024,2024-25
STU0196,Class 3,B,11,01-04-2024,2024-25
STU0197,Class 3,B,11,01-04-2024,2024-25
STU0198,Class 3,B,12,01-04-2024,2024-25
STU0199,Class 3,B,15,01-04-2024,2024-25
STU0200,Class 3,B,5,01-04-2024,2024-25
STU0201,Class 4,A,15,01-04-2024,2024-25
STU0202,Class 4,A,16,01-04-2024,2024-25
STU0203,Class 4,A,7,01-04-2024,2024-25
STU0204,Class 4,A,18,01-04-2024,2024-25
STU0205,Class 4,A,6,01-04-2024,2024-25
STU0206,Class 4,A,13,01-04-2024,2024-25
STU0207,Class 4,A,9,01-04-2024,2024-25
STU0208,Class 4,A,13,01-04-2024,2024-25
STU0209,Class 4,A,2,01-04-2024,2024-25
STU0210,Class 4,A,19,01-04-2024,2024-25
STU0211,Class 4,A,3,01-04-2024,2024-25
STU0212,Class 4,A,16,01-04-2024,2024-25
STU0213,Class 4,A,18,01-04-2024,2024-25
STU0214,Class 4,A,12,01-04-2024,2024-25
STU0215,Class 4,A,3,01-04-2024,2024-25
STU0216,Class 4,A,7,01-04-2024,2024-25
STU0217,Class 4,A,17,01-04-2024,2024-25
STU0218,Class 4,A,12,01-04-2024,2024-25
STU0219,Class 4,A,10,01-04-2024,2024-25
STU0220,Class 4,A,10,01-04-2024,2024-25
STU0221,Class 4,B,11,01-04-2024,2024-25
STU0222,Class 4,B,15,01-04-2024,2024-25
STU0223,Class 4,B,15,01-04-2024,2024-25
STU0224,Class 4,B,1,01-04-2024,2024-25
STU0225,Class 4,B,5,01-04-2024,2024-25
STU0226,Class 4,B,20,01-04-2024,2024-25
STU0227,Class 4,B,19,01-04-2024,2024-25
STU0228,Class 4,B,6,01-04-2024,2024-25
STU0229,Class 4,B,20,01-04-2024,2024-25
STU0230,Class 4,B,12,01-04-2024,2024-25
STU0231,Class 4,B,19,01-04-2024,2024-25
STU0232,Class 4,B,14,01-04-2024,2024-25
STU0233,Class 4,B,14,01-04-2024,2024-25
STU0234,Class 4,B,1,01-04-2024,2024-25
STU0235,Class 4,B,10,01-04-2024,2024-25
STU0236,Class 4,B,18,01-04-2024,2024-25
STU0237,Class 4,B,16,01-04-2024,2024-25
STU0238,Class 4,B,8,01-04-2024,2024-25
STU0239,Class 4,B,13,01-04-2024,2024-25
STU0240,Class 4,B,18,01-04-2024,2024-25
STU0241,Class 5,A,5,01-04-2024,2024-25
STU0242,Class 5,A,13,01-04-2024,2024-25
STU0243,Class 5,A,20,01-04-2024,2024-25
STU0244,Class 5,A,4,01-04-2024,2024-25
STU0245,Class 5,A,4,01-04-2024,2024-25
STU0246,Class 5,A,13,01-04-2024,2024-25
STU0247,Class 5,A,7,01-04-2024,2024-25
STU0248,Class 5,A,7,01-04-2024,2024-25
STU0249,Class 5,A,4,01-04-2024,2024-25
STU0250,Class 5,A,19,01-04-2024,2024-25
STU0251,Class 5,A,10,01-04-2024,2024-25
STU0252,Class 5,A,6,01-04-2024,2024-25
STU0253,Class 5,A,6,01-04-2024,2024-25
STU0254,Class 5,A,13,01-04-2024,2024-25
STU0255,Class 5,A,18,01-04-2024,2024-25
STU0256,Class 5,A,14,01-04-2024,2024-25
STU0257,Class 5,A,12,01-04-2024,2024-25
STU0258,Class 5,A,7,01-04-2024,2024-25
STU0259,Class 5,A,14,01-04-2024,2024-25
STU0260,Class 5,A,20,01-04-2024,2024-25
STU0261,Class 5,B,9,01-04-2024,2024-25
STU0262,Class 5,B,11,01-04-2024,2024-25
STU0263,Class 5,B,12,01-04-2024,2024-25
STU0264,Class 5,B,4,01-04-2024,2024-25
STU0265,Class 5,B,11,01-04-2024,2024-25
STU0266,Class 5,B,17,01-04-2024,2024-25
STU0267,Class 5,B,18,01-04-2024,2024-25
STU0268,Class 5,B,18,01-04-2024,2024-25
STU0269,Class 5,B,13,01-04-2024,2024-25
STU0270,Class 5,B,8,01-04-2024,2024-25
STU0271,Class 5,B,13,01-04-2024,2024-25
STU0272,Class 5,B,16,01-04-2024,2024-25
STU0273,Class 5,B,15,01-04-2024,2024-25
STU0274,Class 5,B,10,01-04-2024,2024-25
STU0275,Class 5,B,15,01-04-2024,2024-25
STU0276,Class 5,B,6,01-04-2024,2024-25
STU0277,Class 5,B,6,01-04-2024,2024-25
STU0278,Class 5,B,13,01-04-2024,2024-25
STU0279,Class 5,B,10,01-04-2024,2024-25
STU0280,Class 5,B,1,01-04-2024,2024-25
STU0281,Class 6,A,18,01-04-2024,2024-25
STU0282,Class 6,A,11,01-04-2024,2024-25
STU0283,Class 6,A,15,01-04-2024,2024-25
STU0284,Class 6,A,6,01-04-2024,2024-25
STU0285,Class 6,A,4,01-04-2024,2024-25
STU0286,Class 6,A,13,01-04-2024,2024-25
STU0287,Class 6,A,19,01-04-2024,2024-25
STU0288,Class 6,A,14,01-04-2024,2024-25
STU0289,Class 6,A,14,01-04-2024,2024-25
STU0290,Class 6,A,14,01-04-2024,2024-25
STU0291,Class 6,A,7,01-04-2024,2024-25
STU0292,Class 6,A,1,01-04-2024,2024-25
STU0293,Class 6,A,20,01-04-2024,2024-25
STU0294,Class 6,A,8,01-04-2024,2024-25
STU0295,Class 6,A,5,01-04-2024,2024-25
STU0296,Class 6,A,20,01-04-2024,2024-25
STU0297,Class 6,A,20,01-04-2024,2024-25
STU0298,Class 6,A,17,01-04-2024,2024-25
STU0299,Class 6,A,3,01-04-2024,2024-25
STU0300,Class 6,A,20,01-04-2024,2024-25
STU0301,Class 6,B,19,01-04-2024,2024-25
STU0302,Class 6,B,14,01-04-2024,2024-25
STU0303,Class 6,B,1,01-04-2024,2024-25
STU0304,Class 6,B,11,01-04-2024,2024-25
STU0305,Class 6,B,20,01-04-2024,2024-25
STU0306,Class 6,B,8,01-04-2024,2024-25
STU0307,Class 6,B,6,01-04-2024,2024-25
STU0308,Class 6,B,19,01-04-2024,2024-25
STU0309,Class 6,B,16,01-04-2024,2024-25
STU0310,Class 6,B,3,01-04-2024,2024-25
STU0311,Class 6,B,12,01-04-2024,2024-25
STU0312,Class 6,B,1,01-04-2024,2024-25
STU0313,Class 6,B,20,01-04-2024,2024-25
STU0314,Class 6,B,13,01-04-2024,2024-25
STU0315,Class 6,B,18,01-04-2024,2024-25
STU0316,Class 6,B,17,01-04-2024,2024-25
STU0317,Class 6,B,7,01-04-2024,2024-25
STU0318,Class 6,B,6,01-04-2024,2024-25
STU0319,Class 6,B,15,01-04-2024,2024-25
STU0320,Class 6,B,12,01-04-2024,2024-25
STU0321,Class 7,A,8,01-04-2024,2024-25
STU0322,Class 7,A,6,01-04-2024,2024-25
STU0323,Class 7,A,16,01-04-2024,2024-25
STU0324,Class 7,A,7,01-04-2024,2024-25
STU0325,Class 7,A,11,01-04-2024,2024-25
STU0326,Class 7,A,5,01-04-2024,2024-25
STU0327,Class 7,A,10,01-04-2024,2024-25
STU0328,Class 7,A,3,01-04-2024,2024-25
STU0329,Class 7,A,1,01-04-2024,2024-25
STU0330,Class 7,A,7,01-04-2024,2024-25
STU0331,Class 7,A,19,01-04-2024,2024-25
STU0332,Class 7,A,15,01-04-2024,2024-25
STU0333,Class 7,A,15,01-04-2024,2024-25
STU0334,Class 7,A,8,01-04-2024,2024-25
STU0335,Class 7,A,20,01-04-2024,2024-25
STU0336,Class 7,A,15,01-04-2024,2024-25
STU0337,Class 7,A,8,01-04-2024,2024-25
STU0338,Class 7,A,6,01-04-2024,2024-25
STU0339,Class 7,A,15,01-04-2024,2024-25
STU0340,Class 7,A,17,01-04-2024,2024-25
STU0341,Class 7,B,4,01-04-2024,2024-25
STU0342,Class 7,B,20,01-04-2024,2024-25
STU0343,Class 7,B,11,01-04-2024,2024-25
STU0344,Class 7,B,6,01-04-2024,2024-25
STU0345,Class 7,B,8,01-04-2024,2024-25
STU0346,Class 7,B,15,01-04-2024,2024-25
STU0347,Class 7,B,3,01-04-2024,2024-25
STU0348,Class 7,B,1,01-04-2024,2024-25
STU0349,Class 7,B,2,01-04-2024,2024-25
STU0350,Class 7,B,14,01-04-2024,2024-25
STU0351,Class 7,B,17,01-04-2024,2024-25
STU0352,Class 7,B,16,01-04-2024,2024-25
STU0353,Class 7,B,13,01-04-2024,2024-25
STU0354,Class 7,B,3,01-04-2024,2024-25
STU0355,Class 7,B,14,01-04-2024,2024-25
STU0356,Class 7,B,9,01-04-2024,2024-25
STU0357,Class 7,B,18,01-04-2024,2024-25
STU0358,Class 7,B,4,01-04-2024,2024-25
STU0359,Class 7,B,20,01-04-2024,2024-25
STU0360,Class 7,B,18,01-04-2024,2024-25
STU0361,Class 8,A,1,01-04-2024,2024-25
STU0362,Class 8,A,15,01-04-2024,2024-25
STU0363,Class 8,A,16,01-04-2024,2024-25
STU0364,Class 8,A,2,01-04-2024,2024-25
STU0365,Class 8,A,10,01-04-2024,2024-25
STU0366,Class 8,A,13,01-04-2024,2024-25
STU0367,Class 8,A,2,01-04-2024,2024-25
STU0368,Class 8,A,12,01-04-2024,2024-25
STU0369,Class 8,A,13,01-04-2024,2024-25
STU0370,Class 8,A,17,01-04-2024,2024-25
STU0371,Class 8,A,15,01-04-2024,2024-25
STU0372,Class 8,A,14,01-04-2024,2024-25
STU0373,Class 8,A,4,01-04-2024,2024-25
STU0374,Class 8,A,4,01-04-2024,2024-25
STU0375,Class 8,A,5,01-04-2024,2024-25
STU0376,Class 8,A,9,01-04-2024,2024-25
STU0377,Class 8,A,19,01-04-2024,2024-25
STU0378,Class 8,A,4,01-04-2024,2024-25
STU0379,Class 8,A,6,01-04-2024,2024-25
STU0380,Class 8,A,12,01-04-2024,2024-25
STU0381,Class 8,B,14,01-04-2024,2024-25
STU0382,Class 8,B,11,01-04-2024,2024-25
STU0383,Class 8,B,5,01-04-2024,2024-25
STU0384,Class 8,B,8,01-04-2024,2024-25
STU0385,Class 8,B,16,01-04-2024,2024-25
STU0386,Class 8,B,7,01-04-2024,2024-25
STU0387,Class 8,B,9,01-04-2024,2024-25
STU0388,Class 8,B,4,01-04-2024,2024-25
STU0389,Class 8,B,11,01-04-2024,2024-25
STU0390,Class 8,B,3,01-04-2024,2024-25
STU0391,Class 8,B,15,01-04-2024,2024-25
STU0392,Class 8,B,16,01-04-2024,2024-25
STU0393,Class 8,B,8,01-04-2024,2024-25
STU0394,Class 8,B,9,01-04-2024,2024-25
STU0395,Class 8,B,11,01-04-2024,2024-25
STU0396,Class 8,B,10,01-04-2024,2024-25
STU0397,Class 8,B,15,01-04-2024,2024-25
STU0398,Class 8,B,11,01-04-2024,2024-25
STU0399,Class 8,B,15,01-04-2024,2024-25
STU0400,Class 8,B,9,01-04-2024,2024-25
STU0401,Class 9,A,19,01-04-2024,2024-25
STU0402,Class 9,A,9,01-04-2024,2024-25
STU0403,Class 9,A,20,01-04-2024,2024-25
STU0404,Class 9,A,2,01-04-2024,2024-25
STU0405,Class 9,A,5,01-04-2024,2024-25
STU0406,Class 9,A,5,01-04-2024,2024-25
STU0407,Class 9,A,17,01-04-2024,2024-25
STU0408,Class 9,A,10,01-04-2024,2024-25
STU0409,Class 9,A,1,01-04-2024,2024-25
STU0410,Class 9,A,8,01-04-2024,2024-25
STU0411,Class 9,A,12,01-04-2024,2024-25
STU0412,Class 9,A,19,01-04-2024,2024-25
STU0413,Class 9,A,12,01-04-2024,2024-25
STU0414,Class 9,A,10,01-04-2024,2024-25
STU0415,Class 9,A,10,01-04-2024,2024-25
STU0416,Class 9,A,6,01-04-2024,2024-25
STU0417,Class 9,A,19,01-04-2024,2024-25
STU0418,Class 9,A,10,01-04-2024,2024-25
STU0419,Class 9,A,16,01-04-2024,2024-25
STU0420,Class 9,A,15,01-04-2024,2024-25
STU0421,Class 9,B,10,01-04-2024,2024-25
STU0422,Class 9,B,5,01-04-2024,2024-25
STU0423,Class 9,B,5,01-04-2024,2024-25
STU0424,Class 9,B,5,01-04-2024,2024-25
STU0425,Class 9,B,20,01-04-2024,2024-25
STU0426,Class 9,B,10,01-04-2024,2024-25
STU0427,Class 9,B,13,01-04-2024,2024-25
STU0428,Class 9,B,9,01-04-2024,2024-25
STU0429,Class 9,B,8,01-04-2024,2024-25
STU0430,Class 9,B,1,01-04-2024,2024-25
STU0431,Class 9,B,7,01-04-2024,2024-25
STU0432,Class 9,B,19,01-04-2024,2024-25
STU0433,Class 9,B,10,01-04-2024,2024-25
STU0434,Class 9,B,5,01-04-2024,2024-25
STU0435,Class 9,B,19,01-04-2024,2024-25
STU0436,Class 9,B,1,01-04-2024,2024-25
STU0437,Class 9,B,9,01-04-2024,2024-25
STU0438,Class 9,B,12,01-04-2024,2024-25
STU0439,Class 9,B,17,01-04-2024,2024-25
STU0440,Class 9,B,17,01-04-2024,2024-25
STU0441,Class 10,A,13,01-04-2024,2024-25
STU0442,Class 10,A,16,01-04-2024,2024-25
STU0443,Class 10,A,20,01-04-2024,2024-25
STU0444,Class 10,A,6,01-04-2024,2024-25
STU0445,Class 10,A,12,01-04-2024,2024-25
STU0446,Class 10,A,5,01-04-2024,2024-25
STU0447,Class 10,A,19,01-04-2024,2024-25
STU0448,Class 10,A,17,01-04-2024,2024-25
STU0449,Class 10,A,11,01-04-2024,2024-25
STU0450,Class 10,A,17,01-04-2024,2024-25
STU0451,Class 10,A,12,01-04-2024,2024-25
STU0452,Class 10,A,13,01-04-2024,2024-25
STU0453,Class 10,A,16,01-04-2024,2024-25
STU0454,Class 10,A,6,01-04-2024,2024-25
STU0455,Class 10,A,17,01-04-2024,2024-25
STU0456,Class 10,A,16,01-04-2024,2024-25
STU0457,Class 10,A,6,01-04-2024,2024-25
STU0458,Class 10,A,16,01-04-2024,2024-25
STU0459,Class 10,A,13,01-04-2024,2024-25
STU0460,Class 10,A,1,01-04-2024,2024-25
STU0461,Class 10,B,3,01-04-2024,2024-25
STU0462,Class 10,B,11,01-04-2024,2024-25
STU0463,Class 10,B,8,01-04-2024,2024-25
STU0464,Class 10,B,10,01-04-2024,2024-25
STU0465,Class 10,B,7,01-04-2024,2024-25
STU0466,Class 10,B,8,01-04-2024,2024-25
STU0467,Class 10,B,5,01-04-2024,2024-25
STU0468,Class 10,B,9,01-04-2024,2024-25
STU0469,Class 10,B,20,01-04-2024,2024-25
STU0470,Class 10,B,4,01-04-2024,2024-25
STU0471,Class 10,B,7,01-04-2024,2024-25
STU0472,Class 10,B,12,01-04-2024,2024-25
STU0473,Class 10,B,16,01-04-2024,2024-25
STU0474,Class 10,B,15,01-04-2024,2024-25
STU0475,Class 10,B,19,01-04-2024,2024-25
STU0476,Class 10,B,1,01-04-2024,2024-25
STU0477,Class 10,B,17,01-04-2024,2024-25
STU0478,Class 10,B,8,01-04-2024,2024-25
STU0479,Class 10,B,7,01-04-2024,2024-25
STU0480,Class 10,B,12,01-04-2024,2024-25
STU0001,UKG,A,2,01-04-2025,2025-26
STU0002,UKG,A,13,01-04-2025,2025-26
STU0003,UKG,A,4,01-04-2025,2025-26
STU0004,UKG,A,11,01-04-2025,2025-26
STU0005,UKG,A,17,01-04-2025,2025-26
STU0006,UKG,A,3,01-04-2025,2025-26
STU0007,UKG,A,9,01-04-2025,2025-26
STU0008,UKG,A,18,01-04-2025,2025-26
STU0009,UKG,A,18,01-04-2025,2025-26
STU0010,UKG,A,18,01-04-2025,2025-26
STU0011,UKG,A,3,01-04-2025,2025-26
STU0012,UKG,A,2,01-04-2025,2025-26
STU0013,UKG,A,15,01-04-2025,2025-26
STU0014,UKG,A,19,01-04-2025,2025-26
STU0015,UKG,A,17,01-04-2025,2025-26
STU0016,UKG,A,8,01-04-2025,2025-26
STU0017,UKG,A,8,01-04-2025,2025-26
STU0018,UKG,A,9,01-04-2025,2025-26
STU0019,UKG,A,6,01-04-2025,2025-26
STU0020,UKG,A,8,01-04-2025,2025-26
STU0021,UKG,B,8,01-04-2025,2025-26
STU0022,UKG,B,15,01-04-2025,2025-26
STU0023,UKG,B,6,01-04-2025,2025-26
STU0024,UKG,B,2,01-04-2025,2025-26
STU0025,UKG,B,20,01-04-2025,2025-26
STU0026,UKG,B,9,01-04-2025,2025-26
STU0027,UKG,B,18,01-04-2025,2025-26
STU0028,UKG,B,9,01-04-2025,2025-26
STU0029,UKG,B,3,01-04-2025,2025-26
STU0030,UKG,B,7,01-04-2025,2025-26
STU0031,UKG,B,3,01-04-2025,2025-26
STU0032,UKG,B,5,01-04-2025,2025-26
STU0033,UKG,B,17,01-04-2025,2025-26
STU0034,UKG,B,10,01-04-2025,2025-26
STU0035,UKG,B,2,01-04-2025,2025-26
STU0036,UKG,B,7,01-04-2025,2025-26
STU0037,UKG,B,8,01-04-2025,2025-26
STU0038,UKG,B,8,01-04-2025,2025-26
STU0039,UKG,B,19,01-04-2025,2025-26
STU0040,UKG,B,19,01-04-2025,2025-26
STU0041,Class 1,A,16,01-04-2025,2025-26
STU0042,Class 1,A,15,01-04-2025,2025-26
STU0043,Class 1,A,4,01-04-2025,2025-26
STU0044,Class 1,A,18,01-04-2025,2025-26
STU0045,Class 1,A,2,01-04-2025,2025-26
STU0046,Class 1,A,11,01-04-2025,2025-26
STU0047,Class 1,A,3,01-04-2025,2025-26
STU0048,Class 1,A,7,01-04-2025,2025-26
STU0049,Class 1,A,16,01-04-2025,2025-26
STU0050,Class 1,A,4,01-04-2025,2025-26
STU0051,Class 1,A,15,01-04-2025,2025-26
STU0052,Class 1,A,3,01-04-2025,2025-26
STU0053,Class 1,A,16,01-04-2025,2025-26
STU0054,Class 1,A,7,01-04-2025,2025-26
STU0055,Class 1,A,4,01-04-2025,2025-26
STU0056,Class 1,A,18,01-04-2025,2025-26
STU0057,Class 1,A,19,01-04-2025,2025-26
STU0058,Class 1,A,7,01-04-2025,2025-26
STU0059,Class 1,A,20,01-04-2025,2025-26
STU0060,Class 1,A,16,01-04-2025,2025-26
