admission_number,date,status,remarks
STU0113,01-11-2024,PRESENT,
STU0026,11-09-2024,PRESENT,
STU0365,19-12-2023,PRESENT,
STU0033,20-06-2025,PRESENT,
STU0332,02-01-2026,PRESENT,
STU0094,08-02-2024,PRESENT,
STU0336,16-12-2025,PRESENT,
STU0336,05-02-2024,PRESENT,
STU0366,12-03-2024,LATE,
STU0033,03-02-2026,PRESENT,
STU0303,26-07-2024,PRESENT,
STU0367,16-04-2025,HALF_DAY,
STU0026,15-07-2024,PRESENT,
STU0187,12-02-2025,PRESENT,
STU0113,12-04-2024,PRESENT,
STU0101,01-07-2024,PRESENT,
STU0044,11-09-2024,ABSENT,Sick
STU0289,19-02-2026,PRESENT,
STU0216,19-12-2023,PRESENT,
STU0452,17-08-2024,PRESENT,
STU0256,12-01-2026,PRESENT,
STU0272,10-01-2026,PRESENT,
STU0222,20-02-2025,PRESENT,
STU0342,29-05-2024,LATE,
STU0180,22-01-2024,PRESENT,
STU0418,04-03-2024,PRESENT,
STU0195,19-04-2025,LATE,
STU0338,20-02-2025,PRESENT,
STU0057,29-01-2024,LATE,
STU0022,02-06-2023,PRESENT,
STU0157,16-05-2024,PRESENT,
STU0477,15-03-2024,PRESENT,
STU0053,23-08-2025,PRESENT,
STU0206,01-03-2024,PRESENT,
STU0342,18-06-2024,PRESENT,
STU0390,30-07-2024,PRESENT,
STU0356,21-02-2024,PRESENT,
STU0324,24-04-2023,ABSENT,Family event
STU0111,04-03-2024,PRESENT,
STU0136,16-12-2025,PRESENT,
STU0278,08-01-2026,PRESENT,
STU0452,11-09-2024,PRESENT,
STU0206,30-08-2023,PRESENT,
STU0023,05-09-2025,PRESENT,
STU0242,11-06-2024,PRESENT,
STU0430,30-09-2024,PRESENT,
STU0055,20-06-2025,ABSENT,Sick
STU0461,28-03-2025,LEAVE,
STU0217,03-06-2025,PRESENT,
STU0162,15-03-2025,PRESENT,
STU0316,15-09-2023,PRESENT,
STU0477,19-03-2024,ABSENT,Sick
STU0246,16-12-2025,ABSENT,Not informed
STU0342,17-08-2024,PRESENT,
STU0206,10-05-2023,PRESENT,
STU0349,19-03-2024,PRESENT,
STU0287,03-06-2025,PRESENT,
STU0242,02-09-2024,PRESENT,
STU0110,29-05-2024,ABSENT,Family event
STU0206,21-02-2024,PRESENT,
STU0186,08-02-2024,PRESENT,
STU0222,26-11-2024,PRESENT,
STU0452,01-10-2024,HALF_DAY,
STU0157,17-08-2024,PRESENT,
STU0287,02-06-2025,PRESENT,
STU0195,09-01-2026,ABSENT,Family event
STU0298,24-06-2023,PRESENT,
STU0211,08-12-2025,PRESENT,
STU0126,05-04-2024,PRESENT,
STU0086,22-01-2024,PRESENT,
STU0356,14-04-2023,PRESENT,
STU0260,22-11-2025,PRESENT,
STU0187,30-09-2024,PRESENT,
STU0111,10-12-2024,PRESENT,
STU0157,20-02-2025,PRESENT,
STU0216,10-01-2026,PRESENT,
STU0152,19-02-2026,PRESENT,
STU0491,30-08-2023,PRESENT,
STU0187,26-11-2024,HALF_DAY,
STU0349,06-01-2024,PRESENT,
STU0222,06-07-2024,PRESENT,
STU0222,03-12-2024,HALF_DAY,
STU0209,09-07-2025,PRESENT,
STU0338,01-08-2024,ABSENT,Family event
STU0390,12-02-2025,PRESENT,
STU0332,20-06-2025,PRESENT,
STU0405,20-06-2025,PRESENT,
STU0207,16-05-2024,ABSENT,Sick
STU0316,21-02-2024,PRESENT,
STU0105,02-07-2024,PRESENT,
STU0338,08-03-2025,ABSENT,
STU0276,30-07-2024,PRESENT,
STU0256,14-07-2025,PRESENT,
STU0275,17-08-2024,PRESENT,
STU0230,20-04-2023,PRESENT,
STU0136,30-06-2025,LATE,
STU0211,13-06-2023,PRESENT,
STU0033,02-05-2025,PRESENT,
STU0100,13-01-2026,PRESENT,
STU0270,03-12-2024,PRESENT,
STU0078,22-06-2023,PRESENT,
STU0034,03-06-2023,PRESENT,
STU0023,02-02-2026,PRESENT,
STU0430,15-03-2025,PRESENT,
STU0336,09-12-2023,PRESENT,
STU0241,19-11-2024,PRESENT,
STU0286,13-01-2026,PRESENT,
STU0208,30-07-2024,PRESENT,
STU0057,30-11-2023,PRESENT,
STU0216,30-04-2025,PRESENT,
STU0208,16-05-2024,ABSENT,Sick
STU0066,01-10-2024,PRESENT,
STU0086,17-07-2023,PRESENT,
STU0242,26-07-2024,PRESENT,
STU0147,20-02-2026,HALF_DAY,
STU0187,01-10-2024,PRESENT,
STU0476,26-07-2024,LATE,
STU0275,02-07-2024,ABSENT,Not informed
STU0486,12-03-2024,PRESENT,
STU0430,28-08-2025,PRESENT,
STU0206,26-09-2023,LATE,
STU0216,27-04-2023,PRESENT,
STU0010,17-08-2024,PRESENT,
STU0094,17-07-2023,PRESENT,
STU0216,14-04-2023,LEAVE,Medical leave
STU0319,03-12-2024,PRESENT,
STU0275,02-09-2024,PRESENT,
STU0276,19-11-2024,PRESENT,
STU0311,12-01-2026,PRESENT,
STU0403,02-06-2025,PRESENT,
STU0246,03-02-2026,PRESENT,
STU0303,23-09-2024,PRESENT,
STU0287,05-01-2026,PRESENT,
STU0357,06-02-2025,PRESENT,
STU0380,05-04-2024,PRESENT,
STU0332,03-06-2025,PRESENT,
STU0195,03-02-2026,PRESENT,
STU0008,17-11-2023,PRESENT,
STU0477,06-01-2024,PRESENT,
STU0207,30-09-2024,PRESENT,
STU0380,31-07-2024,HALF_DAY,
STU0457,28-08-2024,ABSENT,
STU0188,22-08-2025,PRESENT,
STU0211,30-10-2025,ABSENT,Sick
STU0332,08-12-2025,PRESENT,
STU0392,21-02-2024,PRESENT,
STU0094,21-02-2024,HALF_DAY,
STU0486,06-09-2023,PRESENT,
STU0057,09-11-2023,PRESENT,
STU0041,16-12-2025,ABSENT,Not informed
STU0256,10-01-2026,PRESENT,
STU0039,02-01-2026,ABSENT,
STU0078,02-02-2026,PRESENT,
STU0258,26-09-2023,PRESENT,
STU0269,28-08-2024,PRESENT,
STU0230,29-01-2024,PRESENT,
STU0208,05-04-2024,PRESENT,
STU0078,20-04-2023,ABSENT,Sick
STU0485,27-04-2023,PRESENT,
STU0157,31-07-2024,PRESENT,
STU0450,17-07-2023,PRESENT,
STU0157,26-11-2024,PRESENT,
STU0162,02-11-2024,PRESENT,
STU0212,08-01-2026,PRESENT,
STU0066,17-08-2024,PRESENT,
STU0324,30-11-2023,PRESENT,
STU0361,21-02-2024,PRESENT,
STU0113,01-07-2024,PRESENT,
STU0356,15-03-2024,LATE,
STU0186,24-06-2023,ABSENT,Family event
STU0324,03-02-2026,PRESENT,
STU0357,11-06-2024,PRESENT,
STU0325,23-09-2024,PRESENT,
STU0105,01-08-2024,PRESENT,
STU0461,08-03-2025,PRESENT,
STU0185,01-07-2024,PRESENT,
STU0246,23-12-2025,PRESENT,
STU0211,16-12-2025,ABSENT,Not informed
STU0100,02-06-2025,PRESENT,
STU0180,24-06-2023,LATE,
STU0016,19-11-2024,ABSENT,Not informed
STU0269,01-07-2024,PRESENT,
STU0150,02-05-2025,PRESENT,
STU0211,04-07-2024,PRESENT,
STU0152,13-01-2026,PRESENT,
STU0485,01-02-2024,LATE,
STU0143,29-05-2024,PRESENT,
STU0140,01-03-2024,PRESENT,
STU0477,26-09-2023,PRESENT,
STU0395,01-07-2024,PRESENT,
STU0286,19-02-2026,PRESENT,
STU0016,30-07-2024,PRESENT,
STU0061,10-12-2024,ABSENT,Sick
STU0486,24-04-2023,PRESENT,
STU0366,19-03-2024,PRESENT,
STU0162,12-04-2024,PRESENT,
STU0509,08-07-2023,PRESENT,
STU0094,24-06-2023,PRESENT,
STU0342,11-06-2024,PRESENT,
STU0275,03-12-2024,PRESENT,
STU0298,29-01-2024,LATE,
STU0456,17-08-2024,PRESENT,
STU0287,28-08-2025,PRESENT,
STU0476,31-07-2024,PRESENT,
STU0113,11-06-2024,ABSENT,Sick
STU0274,30-08-2023,PRESENT,
STU0382,09-12-2023,PRESENT,
STU0403,30-04-2025,PRESENT,
STU0382,10-05-2023,PRESENT,
STU0039,22-11-2025,PRESENT,
STU0338,11-06-2024,PRESENT,
STU0429,08-12-2025,PRESENT,
STU0166,08-02-2024,PRESENT,
STU0478,20-04-2023,ABSENT,Family event
STU0357,01-08-2024,PRESENT,
STU0073,15-07-2024,PRESENT,
STU0298,21-02-2024,LATE,
STU0456,11-06-2024,PRESENT,
STU0211,22-06-2023,PRESENT,
STU0370,10-05-2023,PRESENT,
STU0046,30-10-2025,PRESENT,
STU0452,04-07-2024,PRESENT,
STU0275,02-11-2024,PRESENT,
STU0324,02-02-2026,PRESENT,
STU0110,27-06-2024,PRESENT,
STU0286,04-06-2025,PRESENT,
STU0418,24-04-2023,PRESENT,
STU0380,11-06-2024,PRESENT,
STU0477,06-09-2023,PRESENT,
STU0403,12-02-2026,PRESENT,
STU0269,04-07-2024,PRESENT,
STU0222,15-07-2024,PRESENT,
STU0207,08-03-2025,PRESENT,
STU0185,11-09-2024,PRESENT,
STU0336,21-02-2024,PRESENT,
STU0366,04-03-2024,PRESENT,
STU0039,30-10-2025,PRESENT,
STU0275,30-07-2024,PRESENT,
STU0324,22-06-2023,PRESENT,
STU0357,28-08-2024,PRESENT,
STU0430,20-02-2025,HALF_DAY,
STU0162,29-05-2024,PRESENT,
STU0126,03-12-2024,PRESENT,
STU0493,24-04-2023,ABSENT,
STU0105,19-11-2024,PRESENT,
STU0395,15-03-2025,HALF_DAY,
STU0211,30-04-2025,PRESENT,
STU0166,10-05-2023,PRESENT,
STU0067,23-06-2025,PRESENT,
STU0491,05-02-2024,PRESENT,
STU0509,28-08-2023,PRESENT,
STU0034,01-02-2024,PRESENT,
STU0457,16-05-2024,ABSENT,
STU0044,10-12-2024,LATE,
STU0126,28-08-2024,PRESENT,
STU0216,08-02-2024,PRESENT,
STU0485,14-04-2023,PRESENT,
STU0336,19-02-2026,ABSENT,Sick
STU0166,12-12-2023,PRESENT,
STU0008,22-01-2024,PRESENT,
STU0311,29-10-2025,PRESENT,
STU0429,23-08-2025,PRESENT,
STU0287,20-02-2026,ABSENT,Not informed
STU0390,31-07-2024,PRESENT,
STU0343,30-11-2023,PRESENT,
STU0509,24-06-2023,PRESENT,
STU0303,06-07-2024,PRESENT,
STU0452,12-02-2025,PRESENT,
STU0207,22-01-2024,PRESENT,
STU0209,12-01-2026,PRESENT,
STU0230,30-08-2023,PRESENT,
STU0044,16-05-2024,PRESENT,
STU0287,14-07-2025,PRESENT,
STU0405,09-07-2025,PRESENT,
STU0033,05-09-2025,PRESENT,
STU0192,06-02-2025,LATE,
STU0136,05-01-2026,PRESENT,
STU0113,31-07-2024,PRESENT,
STU0112,02-09-2024,PRESENT,
STU0216,02-02-2026,PRESENT,
STU0432,23-08-2025,PRESENT,
STU0185,19-11-2024,PRESENT,
STU0403,02-05-2025,PRESENT,
STU0278,19-02-2026,PRESENT,
STU0478,26-09-2023,PRESENT,
STU0343,01-02-2024,PRESENT,
STU0432,09-07-2025,ABSENT,Not informed
STU0332,23-08-2025,PRESENT,
STU0509,09-11-2023,ABSENT,Sick
STU0046,04-06-2025,PRESENT,
STU0195,30-06-2025,PRESENT,
STU0071,14-07-2025,PRESENT,
STU0324,20-02-2026,PRESENT,
STU0405,09-01-2026,PRESENT,
STU0110,30-09-2024,PRESENT,
STU0307,30-10-2025,PRESENT,
STU0071,16-12-2025,LATE,
STU0078,08-12-2025,PRESENT,
STU0216,24-04-2023,PRESENT,
STU0053,09-07-2025,PRESENT,
STU0187,06-07-2024,PRESENT,
STU0105,01-10-2024,PRESENT,
STU0212,22-11-2025,PRESENT,
STU0349,03-10-2023,PRESENT,
STU0478,13-06-2023,HALF_DAY,
STU0361,12-12-2023,PRESENT,
STU0100,14-06-2025,PRESENT,
STU0079,05-02-2024,ABSENT,
STU0187,01-08-2024,PRESENT,
STU0349,09-11-2023,PRESENT,
STU0367,02-05-2025,PRESENT,
STU0211,20-02-2025,PRESENT,
STU0222,23-09-2024,PRESENT,
STU0405,20-02-2026,PRESENT,
STU0044,30-07-2024,PRESENT,
STU0162,26-09-2024,PRESENT,
STU0216,19-02-2026,PRESENT,
STU0113,27-03-2025,PRESENT,
STU0147,01-03-2024,PRESENT,
STU0438,30-08-2023,LATE,
STU0067,03-02-2026,PRESENT,
STU0211,23-06-2025,LATE,
STU0380,29-05-2024,PRESENT,
STU0094,03-10-2023,PRESENT,
STU0113,15-03-2025,PRESENT,
STU0034,30-08-2023,PRESENT,
STU0457,11-06-2024,PRESENT,
STU0112,15-03-2025,ABSENT,
STU0055,16-12-2025,LEAVE,
STU0101,26-09-2024,PRESENT,
STU0195,14-07-2025,PRESENT,
STU0324,13-01-2026,PRESENT,
STU0491,17-07-2023,PRESENT,
STU0278,03-11-2025,PRESENT,
STU0246,30-10-2025,PRESENT,
STU0509,20-04-2023,PRESENT,
STU0187,15-03-2025,PRESENT,
STU0211,15-10-2024,PRESENT,
STU0125,28-08-2024,ABSENT,Sick
STU0347,26-09-2023,PRESENT,
STU0241,23-09-2024,PRESENT,
STU0491,30-11-2023,PRESENT,
STU0356,10-05-2023,PRESENT,
STU0212,10-01-2026,PRESENT,
STU0307,02-02-2026,PRESENT,
STU0034,02-06-2023,PRESENT,
STU0078,02-05-2025,PRESENT,
STU0064,04-03-2024,PRESENT,
STU0390,01-10-2024,PRESENT,
STU0216,09-01-2026,PRESENT,
STU0211,02-11-2024,ABSENT,Sick
STU0493,10-05-2023,PRESENT,
STU0452,10-12-2024,LEAVE,Medical leave
STU0269,28-03-2025,LEAVE,
STU0100,04-06-2025,ABSENT,Family event
STU0254,29-05-2024,PRESENT,
STU0143,06-07-2024,PRESENT,
STU0067,29-10-2025,PRESENT,
STU0162,19-11-2024,PRESENT,
STU0303,16-05-2024,PRESENT,
STU0022,31-07-2023,PRESENT,
STU0180,03-10-2023,PRESENT,
STU0211,19-03-2024,PRESENT,
STU0016,02-09-2024,ABSENT,Not informed
STU0286,14-06-2025,PRESENT,
STU0150,29-10-2025,PRESENT,
STU0078,06-01-2024,PRESENT,
STU0033,12-04-2025,ABSENT,Sick
STU0140,14-04-2023,PRESENT,
STU0438,27-04-2023,PRESENT,
STU0211,26-09-2024,PRESENT,
STU0380,03-11-2025,PRESENT,
STU0432,14-07-2025,PRESENT,
STU0008,09-12-2023,PRESENT,
STU0361,31-07-2023,PRESENT,
STU0152,03-11-2025,ABSENT,Sick
STU0316,12-12-2023,PRESENT,
STU0071,08-12-2025,ABSENT,Sick
STU0438,19-06-2023,PRESENT,
STU0370,09-12-2023,PRESENT,
STU0430,18-06-2024,PRESENT,
STU0044,15-07-2024,ABSENT,
STU0140,10-05-2023,PRESENT,
STU0162,06-02-2025,PRESENT,
STU0044,26-09-2024,PRESENT,
STU0392,29-01-2024,PRESENT,
STU0342,01-07-2024,PRESENT,
STU0195,14-06-2025,PRESENT,
STU0241,01-11-2024,PRESENT,
STU0319,29-05-2024,PRESENT,
STU0211,21-05-2024,PRESENT,
STU0432,28-08-2025,PRESENT,
STU0405,30-10-2025,PRESENT,
STU0380,23-06-2025,PRESENT,
STU0366,06-09-2023,PRESENT,
STU0061,05-08-2024,PRESENT,
STU0147,29-10-2025,PRESENT,
STU0112,01-08-2024,PRESENT,
STU0180,30-08-2023,PRESENT,
STU0162,08-03-2025,PRESENT,
STU0152,12-04-2025,HALF_DAY,
STU0126,29-05-2024,PRESENT,
STU0105,05-04-2024,ABSENT,
STU0289,09-01-2026,PRESENT,
STU0078,13-06-2023,PRESENT,
STU0041,05-01-2026,PRESENT,
STU0211,17-07-2023,PRESENT,
STU0286,16-12-2025,PRESENT,
STU0405,12-02-2026,PRESENT,
STU0356,22-06-2023,PRESENT,
STU0336,06-01-2024,PRESENT,
STU0357,24-04-2023,PRESENT,
STU0457,19-11-2024,HALF_DAY,
STU0180,04-03-2024,PRESENT,
STU0461,29-05-2024,PRESENT,
STU0150,13-01-2026,PRESENT,
STU0478,13-02-2024,PRESENT,
STU0274,06-01-2024,PRESENT,
STU0147,04-03-2024,PRESENT,
STU0319,04-07-2024,PRESENT,
STU0136,12-05-2025,LATE,
STU0275,26-11-2024,PRESENT,
STU0425,05-02-2024,PRESENT,
STU0061,21-05-2024,PRESENT,
STU0207,31-07-2023,LEAVE,Family function
STU0066,02-09-2024,PRESENT,
STU0206,19-12-2023,LATE,
STU0418,30-08-2023,PRESENT,
STU0382,21-02-2024,PRESENT,
STU0217,08-01-2026,ABSENT,Family event
STU0211,26-11-2024,PRESENT,
STU0278,12-04-2025,PRESENT,
STU0010,06-07-2024,LEAVE,Family function
STU0316,28-08-2023,PRESENT,
STU0276,06-02-2025,PRESENT,
STU0206,15-09-2023,PRESENT,
STU0112,12-04-2024,PRESENT,
STU0457,04-07-2024,PRESENT,
STU0041,02-06-2025,PRESENT,
STU0276,17-08-2024,PRESENT,
STU0039,19-02-2026,PRESENT,
STU0254,15-03-2025,PRESENT,
STU0349,22-06-2023,HALF_DAY,
STU0461,05-04-2024,PRESENT,
STU0405,22-08-2025,PRESENT,
STU0461,12-04-2024,ABSENT,Family event
STU0241,31-07-2024,PRESENT,
STU0044,01-10-2024,PRESENT,
STU0067,03-06-2025,PRESENT,
STU0357,18-06-2024,PRESENT,
STU0192,28-08-2024,ABSENT,Family event
STU0188,19-02-2026,PRESENT,
STU0192,23-09-2024,PRESENT,
STU0316,31-07-2023,PRESENT,
STU0254,03-12-2024,PRESENT,
STU0356,19-12-2023,PRESENT,
STU0430,11-06-2024,PRESENT,
STU0188,30-04-2025,LEAVE,
STU0324,05-01-2026,PRESENT,
STU0357,01-03-2024,PRESENT,
STU0212,09-07-2025,PRESENT,
STU0147,12-05-2025,LEAVE,
STU0347,01-03-2024,PRESENT,
STU0211,15-03-2024,PRESENT,
STU0258,03-06-2023,PRESENT,
STU0185,12-04-2024,PRESENT,
STU0269,27-06-2024,PRESENT,
STU0053,22-08-2025,PRESENT,
STU0212,30-06-2025,PRESENT,
STU0405,12-01-2026,PRESENT,
STU0260,03-06-2025,PRESENT,
STU0325,15-07-2024,PRESENT,
STU0332,02-06-2025,PRESENT,
STU0094,15-09-2023,LATE,
STU0166,30-11-2023,PRESENT,
STU0425,21-02-2024,PRESENT,
STU0278,12-05-2025,PRESENT,
STU0380,01-10-2024,PRESENT,
STU0303,20-02-2025,PRESENT,
STU0343,01-03-2024,PRESENT,
STU0403,30-10-2025,PRESENT,
STU0185,15-03-2025,PRESENT,
STU0136,03-11-2025,PRESENT,
STU0457,30-09-2024,PRESENT,
STU0477,10-05-2023,PRESENT,
STU0366,10-05-2023,PRESENT,
STU0403,08-01-2026,ABSENT,Sick
STU0275,19-11-2024,PRESENT,
STU0086,14-04-2023,PRESENT,
STU0136,14-04-2025,PRESENT,
STU0033,03-06-2025,PRESENT,
STU0216,02-06-2023,PRESENT,
STU0113,27-06-2024,PRESENT,
STU0055,28-08-2025,PRESENT,
STU0023,20-02-2026,LEAVE,Medical leave
STU0349,02-06-2023,PRESENT,
STU0079,01-03-2024,PRESENT,
STU0207,21-02-2024,PRESENT,
STU0212,23-12-2025,PRESENT,
STU0276,26-09-2024,PRESENT,
STU0064,08-02-2024,PRESENT,
STU0336,30-08-2023,PRESENT,
STU0166,29-01-2024,LEAVE,Medical leave
STU0110,31-07-2024,HALF_DAY,
STU0370,30-08-2023,PRESENT,
STU0241,27-03-2025,PRESENT,
STU0110,06-02-2025,PRESENT,
STU0073,26-11-2024,PRESENT,
STU0147,03-11-2025,LATE,
STU0039,14-06-2025,HALF_DAY,
STU0425,13-02-2024,ABSENT,Sick
STU0254,01-11-2024,LATE,
STU0207,28-03-2025,ABSENT,Family event
STU0274,26-09-2023,PRESENT,
STU0230,19-03-2024,PRESENT,
STU0307,05-09-2025,PRESENT,
STU0186,27-04-2023,PRESENT,
STU0260,09-07-2025,PRESENT,
STU0405,14-07-2025,ABSENT,Not informed
STU0187,28-08-2024,PRESENT,
STU0356,19-06-2023,ABSENT,
STU0041,03-06-2025,ABSENT,Sick
STU0192,26-07-2024,PRESENT,
STU0357,16-05-2024,PRESENT,
STU0186,12-12-2023,PRESENT,
STU0044,11-06-2024,PRESENT,
STU0211,07-06-2023,PRESENT,
STU0039,05-01-2026,LATE,
STU0356,09-12-2023,PRESENT,
STU0212,02-05-2025,PRESENT,
STU0478,22-01-2024,PRESENT,
STU0150,23-12-2025,PRESENT,
STU0392,05-02-2024,HALF_DAY,
STU0166,31-07-2023,PRESENT,
STU0342,11-09-2024,PRESENT,
STU0105,01-07-2024,PRESENT,
STU0094,09-12-2023,PRESENT,
STU0034,31-07-2023,PRESENT,
STU0078,09-11-2023,PRESENT,
STU0272,09-01-2026,PRESENT,
STU0256,16-12-2025,PRESENT,
STU0071,02-01-2026,PRESENT,
STU0269,27-03-2025,PRESENT,
STU0382,13-06-2023,PRESENT,
STU0395,01-11-2024,PRESENT,
STU0395,26-07-2024,PRESENT,
STU0357,15-03-2025,PRESENT,
STU0008,13-06-2023,LATE,
STU0324,29-01-2024,PRESENT,
STU0222,16-05-2024,PRESENT,
STU0187,21-05-2024,PRESENT,
STU0073,02-09-2024,PRESENT,
STU0438,09-12-2023,PRESENT,
STU0230,19-06-2023,PRESENT,
STU0046,10-09-2025,PRESENT,
STU0136,04-06-2025,PRESENT,
STU0486,03-10-2023,PRESENT,
STU0325,01-07-2024,ABSENT,Not informed
STU0067,02-06-2025,PRESENT,
STU0356,26-09-2023,PRESENT,
STU0023,09-07-2025,PRESENT,
STU0073,11-09-2024,PRESENT,
STU0157,01-07-2024,PRESENT,
STU0403,20-06-2025,PRESENT,
STU0457,13-06-2023,ABSENT,Sick
STU0041,23-12-2025,PRESENT,
STU0111,20-04-2023,ABSENT,
STU0493,07-06-2023,PRESENT,
STU0078,02-06-2025,PRESENT,
STU0389,31-07-2024,LEAVE,Family function
STU0361,28-08-2023,ABSENT,Sick
STU0430,03-12-2024,PRESENT,
STU0272,30-04-2025,PRESENT,
STU0476,23-09-2024,PRESENT,
STU0147,24-04-2023,PRESENT,
STU0112,15-07-2024,PRESENT,
STU0274,17-11-2023,LATE,
STU0039,28-08-2025,PRESENT,
STU0110,05-04-2024,PRESENT,
STU0055,10-01-2026,PRESENT,
STU0289,03-02-2026,PRESENT,
STU0272,05-01-2026,PRESENT,
STU0206,27-04-2023,PRESENT,
STU0287,19-02-2026,ABSENT,
STU0008,04-03-2024,HALF_DAY,
STU0061,12-02-2025,PRESENT,
STU0316,09-12-2023,PRESENT,
STU0365,13-06-2023,PRESENT,
STU0432,04-06-2025,PRESENT,
STU0071,12-05-2025,PRESENT,
STU0057,03-10-2023,PRESENT,
STU0324,10-01-2026,PRESENT,
STU0476,28-08-2024,PRESENT,
STU0112,12-02-2025,PRESENT,
STU0112,21-05-2024,LATE,
STU0157,30-09-2024,PRESENT,
STU0242,06-07-2024,PRESENT,
STU0325,11-06-2024,PRESENT,
STU0319,12-04-2024,ABSENT,Not informed
STU0429,03-06-2025,PRESENT,
STU0078,03-06-2023,PRESENT,
STU0187,03-12-2024,HALF_DAY,
STU0078,08-02-2024,PRESENT,
STU0241,21-05-2024,PRESENT,
STU0033,03-11-2025,PRESENT,
STU0389,01-10-2024,PRESENT,
STU0078,12-05-2025,PRESENT,
STU0418,03-06-2023,PRESENT,
STU0493,19-12-2023,PRESENT,
STU0022,19-03-2024,ABSENT,Family event
STU0100,12-02-2026,PRESENT,
STU0186,10-05-2023,PRESENT,
STU0429,14-04-2025,PRESENT,
