admission_number,date,status,remarks
5,16-08-2025,PRESENT,
5,19-08-2025,PRESENT,
5,01-10-2025,PRESENT,
5,02-10-2025,ABSENT,Family event
5,06-10-2025,PRESENT,
5,13-10-2025,PRESENT,
5,15-10-2025,PRESENT,
5,03-11-2025,LEAVE,Not informed
5,15-11-2025,PRESENT,
5,25-11-2025,PRESENT,
5,26-11-2025,PRESENT,
5,04-12-2025,PRESENT,
5,16-12-2025,PRESENT,
5,18-12-2025,ABSENT,Sick
5,22-12-2025,PRESENT,
5,24-12-2025,PRESENT,
5,07-01-2026,PRESENT,
5,15-01-2026,PRESENT,
5,21-01-2026,PRESENT,
5,24-01-2026,PRESENT,
5,28-01-2026,PRESENT,
5,02-02-2026,PRESENT,
5,09-02-2026,PRESENT,
5,10-02-2026,ABSENT,Not informed
5,17-02-2026,PRESENT,
5,02-03-2026,PRESENT,
6,10-07-2025,PRESENT,
6,01-08-2025,PRESENT,
6,16-08-2025,PRESENT,
6,23-08-2025,PRESENT,
6,09-09-2025,PRESENT,
6,29-09-2025,PRESENT,
6,30-09-2025,PRESENT,
6,06-10-2025,PRESENT,
6,17-10-2025,PRESENT,
6,18-10-2025,PRESENT,
6,24-10-2025,HALF_DAY,
6,25-10-2025,PRESENT,
6,29-10-2025,PRESENT,
6,07-11-2025,PRESENT,
6,10-11-2025,PRESENT,
6,11-11-2025,ABSENT,Not informed
6,15-11-2025,PRESENT,
6,17-11-2025,PRESENT,
6,20-12-2025,PRESENT,
6,29-12-2025,PRESENT,
6,05-02-2026,LATE,
6,09-02-2026,PRESENT,
6,12-02-2026,HALF_DAY,
6,03-03-2026,PRESENT,
6,04-03-2026,PRESENT,
6,09-03-2026,PRESENT,
6,10-03-2026,PRESENT,
6,12-03-2026,PRESENT,
6,13-03-2026,PRESENT,
6,18-03-2026,PRESENT,
7,07-07-2025,PRESENT,
7,14-07-2025,PRESENT,
7,18-07-2025,PRESENT,
7,12-08-2025,HALF_DAY,
7,21-08-2025,PRESENT,
7,28-08-2025,PRESENT,
7,11-09-2025,PRESENT,
7,23-09-2025,PRESENT,
7,30-09-2025,HALF_DAY,
7,03-10-2025,PRESENT,
7,04-10-2025,PRESENT,
7,07-11-2025,PRESENT,
7,21-11-2025,PRESENT,
7,24-11-2025,PRESENT,
7,29-11-2025,PRESENT,
7,01-12-2025,ABSENT,Medical leave
7,20-12-2025,ABSENT,Sick
7,27-12-2025,PRESENT,
7,12-01-2026,PRESENT,
7,13-01-2026,LATE,
7,15-01-2026,PRESENT,
7,17-01-2026,PRESENT,
7,21-01-2026,PRESENT,
7,28-01-2026,PRESENT,
7,12-02-2026,PRESENT,
7,27-02-2026,PRESENT,
7,09-03-2026,PRESENT,
7,10-03-2026,PRESENT,
7,12-03-2026,PRESENT,
7,27-03-2026,ABSENT,Family event
8,21-07-2025,ABSENT,Not informed
8,22-07-2025,PRESENT,
8,29-07-2025,PRESENT,
8,04-08-2025,PRESENT,
8,23-08-2025,PRESENT,
8,25-08-2025,PRESENT,
8,29-08-2025,PRESENT,
8,02-09-2025,PRESENT,
8,25-09-2025,PRESENT,
8,01-10-2025,PRESENT,
8,04-10-2025,PRESENT,
8,08-10-2025,LEAVE,Medical leave
8,10-10-2025,PRESENT,
8,21-10-2025,PRESENT,
8,22-10-2025,PRESENT,
8,08-11-2025,PRESENT,
8,06-12-2025,PRESENT,
8,11-12-2025,PRESENT,
8,16-12-2025,PRESENT,
8,01-01-2026,PRESENT,
8,09-01-2026,PRESENT,
8,12-01-2026,PRESENT,
8,13-01-2026,PRESENT,
8,27-01-2026,ABSENT,
8,16-02-2026,PRESENT,
8,19-02-2026,LATE,
8,20-02-2026,PRESENT,
8,20-03-2026,ABSENT,Sick
8,27-03-2026,PRESENT,
8,31-03-2026,PRESENT,
9,11-07-2025,PRESENT,
9,15-07-2025,PRESENT,
9,29-07-2025,PRESENT,
9,09-08-2025,PRESENT,
9,11-08-2025,PRESENT,
9,13-08-2025,ABSENT,Sick
9,14-08-2025,PRESENT,
9,16-08-2025,PRESENT,
9,18-08-2025,LEAVE,Medical leave
9,27-08-2025,HALF_DAY,
9,10-09-2025,PRESENT,
9,12-09-2025,PRESENT,
9,04-10-2025,PRESENT,
9,06-10-2025,PRESENT,
9,07-10-2025,PRESENT,
9,16-10-2025,ABSENT,
9,18-10-2025,PRESENT,
9,22-10-2025,PRESENT,
9,15-11-2025,PRESENT,
9,26-11-2025,PRESENT,
9,09-12-2025,PRESENT,
9,31-12-2025,PRESENT,
9,28-01-2026,PRESENT,
9,29-01-2026,PRESENT,
9,03-02-2026,ABSENT,Sick
9,13-02-2026,HALF_DAY,
9,19-02-2026,PRESENT,
9,07-03-2026,PRESENT,
9,21-03-2026,PRESENT,
9,28-03-2026,PRESENT,
10,10-07-2025,PRESENT,
10,15-07-2025,PRESENT,
10,26-07-2025,PRESENT,
10,02-08-2025,HALF_DAY,
10,05-08-2025,PRESENT,
10,19-08-2025,PRESENT,
10,23-08-2025,LATE,
10,30-08-2025,PRESENT,
10,04-09-2025,PRESENT,
10,09-09-2025,PRESENT,
10,16-09-2025,LATE,
10,27-09-2025,PRESENT,
10,18-10-2025,PRESENT,
10,20-10-2025,ABSENT,
10,03-12-2025,PRESENT,
10,04-12-2025,PRESENT,
10,11-12-2025,ABSENT,Sick
10,23-12-2025,PRESENT,
10,26-12-2025,PRESENT,
10,29-12-2025,PRESENT,
10,05-01-2026,PRESENT,
10,22-01-2026,PRESENT,
10,05-02-2026,PRESENT,
10,09-02-2026,PRESENT,
10,14-02-2026,PRESENT,
10,19-02-2026,PRESENT,
10,24-02-2026,HALF_DAY,
10,16-03-2026,PRESENT,
10,18-03-2026,PRESENT,
10,26-03-2026,PRESENT,
11,18-07-2025,PRESENT,
11,26-07-2025,ABSENT,Not informed
11,31-07-2025,PRESENT,
11,08-08-2025,PRESENT,
11,09-08-2025,ABSENT,Medical leave
11,15-08-2025,ABSENT,Sick
11,01-09-2025,PRESENT,
11,11-09-2025,PRESENT,
11,29-09-2025,PRESENT,
11,30-09-2025,ABSENT,Sick
11,01-10-2025,PRESENT,
11,07-10-2025,PRESENT,
11,11-10-2025,PRESENT,
11,22-10-2025,PRESENT,
11,29-10-2025,ABSENT,
11,05-11-2025,PRESENT,
11,11-11-2025,LATE,
11,15-11-2025,PRESENT,
11,19-11-2025,PRESENT,
11,01-12-2025,PRESENT,
11,09-12-2025,PRESENT,
11,18-12-2025,PRESENT,
11,19-12-2025,PRESENT,
11,01-01-2026,PRESENT,
11,27-01-2026,PRESENT,
11,02-02-2026,PRESENT,
11,06-02-2026,PRESENT,
11,11-02-2026,PRESENT,
11,19-02-2026,LATE,
11,27-03-2026,PRESENT,
12,07-08-2025,PRESENT,
12,12-08-2025,PRESENT,
12,19-08-2025,PRESENT,
12,13-09-2025,LATE,
12,19-09-2025,PRESENT,
12,25-09-2025,PRESENT,
12,27-09-2025,PRESENT,
12,21-10-2025,ABSENT,Sick
12,03-11-2025,PRESENT,
12,04-11-2025,PRESENT,
12,19-11-2025,PRESENT,
12,25-11-2025,ABSENT,Not informed
12,28-11-2025,PRESENT,
12,29-11-2025,PRESENT,
12,02-12-2025,PRESENT,
12,05-12-2025,PRESENT,
12,26-12-2025,PRESENT,
12,30-12-2025,HALF_DAY,
12,02-01-2026,PRESENT,
12,09-01-2026,ABSENT,
12,14-01-2026,LEAVE,Medical leave
12,21-01-2026,PRESENT,
12,04-02-2026,PRESENT,
12,17-02-2026,PRESENT,
12,19-02-2026,ABSENT,Medical leave
12,20-02-2026,PRESENT,
12,27-02-2026,PRESENT,
12,03-03-2026,PRESENT,
12,27-03-2026,PRESENT,
12,31-03-2026,PRESENT,
13,11-07-2025,PRESENT,
13,16-07-2025,HALF_DAY,
13,17-07-2025,PRESENT,
13,11-08-2025,PRESENT,
13,15-08-2025,ABSENT,Medical leave
13,25-08-2025,ABSENT,
13,28-08-2025,ABSENT,
13,04-10-2025,PRESENT,
13,07-10-2025,PRESENT,
13,08-10-2025,PRESENT,
13,27-10-2025,PRESENT,
13,29-10-2025,PRESENT,
13,30-10-2025,PRESENT,
13,12-11-2025,PRESENT,
13,15-11-2025,PRESENT,
13,18-11-2025,PRESENT,
13,20-11-2025,PRESENT,
13,29-11-2025,PRESENT,
13,15-12-2025,PRESENT,
13,16-12-2025,PRESENT,
13,19-12-2025,ABSENT,Not informed
13,19-01-2026,LEAVE,Not informed
13,02-02-2026,PRESENT,
13,05-02-2026,PRESENT,
13,19-02-2026,PRESENT,
13,24-02-2026,PRESENT,
13,05-03-2026,PRESENT,
13,20-03-2026,PRESENT,
13,23-03-2026,PRESENT,
13,24-03-2026,PRESENT,
14,12-07-2025,PRESENT,
14,14-07-2025,PRESENT,
14,23-07-2025,PRESENT,
14,25-07-2025,PRESENT,
14,31-07-2025,ABSENT,Medical leave
14,04-08-2025,PRESENT,
14,09-08-2025,PRESENT,
14,26-08-2025,PRESENT,
14,15-09-2025,PRESENT,
14,17-09-2025,PRESENT,
14,18-09-2025,ABSENT,Medical leave
14,06-10-2025,PRESENT,
14,07-10-2025,PRESENT,
14,15-10-2025,PRESENT,
14,16-10-2025,PRESENT,
14,17-10-2025,PRESENT,
14,18-10-2025,PRESENT,
14,21-10-2025,PRESENT,
14,28-10-2025,PRESENT,
14,06-11-2025,PRESENT,
14,11-11-2025,PRESENT,
14,27-12-2025,PRESENT,
14,30-12-2025,ABSENT,Family event
14,09-01-2026,PRESENT,
14,15-01-2026,PRESENT,
14,20-01-2026,PRESENT,
14,28-01-2026,HALF_DAY,
14,12-02-2026,ABSENT,Not informed
14,19-02-2026,PRESENT,
14,05-03-2026,PRESENT,
15,21-07-2025,PRESENT,
15,29-07-2025,PRESENT,
15,02-08-2025,PRESENT,
15,04-08-2025,PRESENT,
15,04-09-2025,PRESENT,
15,08-09-2025,PRESENT,
15,11-09-2025,PRESENT,
15,23-09-2025,PRESENT,
15,25-09-2025,ABSENT,Not informed
15,30-09-2025,PRESENT,
15,03-10-2025,PRESENT,
15,15-10-2025,PRESENT,
15,23-10-2025,ABSENT,
15,03-11-2025,PRESENT,
15,13-11-2025,PRESENT,
15,02-12-2025,PRESENT,
15,13-12-2025,PRESENT,
15,24-12-2025,PRESENT,
15,26-12-2025,PRESENT,
15,30-12-2025,PRESENT,
15,08-01-2026,PRESENT,
15,12-01-2026,ABSENT,
15,05-02-2026,PRESENT,
15,13-02-2026,PRESENT,
15,26-02-2026,ABSENT,
15,03-03-2026,PRESENT,
15,14-03-2026,PRESENT,
15,16-03-2026,PRESENT,
15,17-03-2026,PRESENT,
15,31-03-2026,ABSENT,Medical leave
16,24-07-2025,PRESENT,
16,25-07-2025,PRESENT,
16,19-08-2025,ABSENT,Family event
16,20-08-2025,PRESENT,
16,04-09-2025,ABSENT,
16,05-09-2025,PRESENT,
16,16-09-2025,PRESENT,
16,24-09-2025,PRESENT,
16,03-10-2025,PRESENT,
16,09-10-2025,PRESENT,
16,23-10-2025,PRESENT,
16,06-11-2025,PRESENT,
16,13-11-2025,PRESENT,
16,21-11-2025,PRESENT,
16,09-12-2025,PRESENT,
16,12-12-2025,PRESENT,
16,22-12-2025,PRESENT,
16,06-01-2026,PRESENT,
16,09-01-2026,PRESENT,
16,12-01-2026,ABSENT,Sick
16,13-01-2026,PRESENT,
16,27-01-2026,PRESENT,
16,09-02-2026,PRESENT,
16,14-02-2026,PRESENT,
16,19-02-2026,PRESENT,
16,20-02-2026,PRESENT,
16,03-03-2026,PRESENT,
16,05-03-2026,ABSENT,
16,18-03-2026,PRESENT,
16,23-03-2026,ABSENT,Sick
17,12-07-2025,PRESENT,
17,23-07-2025,PRESENT,
17,25-07-2025,PRESENT,
17,31-07-2025,PRESENT,
17,02-08-2025,PRESENT,
17,08-08-2025,PRESENT,
17,11-08-2025,LEAVE,Not informed
17,16-08-2025,PRESENT,
17,15-09-2025,PRESENT,
17,03-10-2025,LATE,
17,08-10-2025,PRESENT,
17,23-10-2025,HALF_DAY,
17,01-11-2025,HALF_DAY,
17,05-11-2025,PRESENT,
17,28-11-2025,PRESENT,
17,03-12-2025,PRESENT,
17,09-12-2025,PRESENT,
17,10-12-2025,PRESENT,
17,24-12-2025,PRESENT,
17,26-12-2025,PRESENT,
17,02-01-2026,PRESENT,
17,19-01-2026,PRESENT,
17,21-01-2026,PRESENT,
17,22-01-2026,PRESENT,
17,06-02-2026,PRESENT,
17,07-02-2026,PRESENT,
17,11-02-2026,PRESENT,
17,23-02-2026,PRESENT,
17,25-02-2026,PRESENT,
17,20-03-2026,ABSENT,Sick
18,12-07-2025,PRESENT,
18,16-07-2025,ABSENT,Not informed
18,22-07-2025,ABSENT,Sick
18,19-08-2025,PRESENT,
18,16-09-2025,PRESENT,
18,18-09-2025,PRESENT,
18,19-09-2025,PRESENT,
18,27-09-2025,PRESENT,
18,06-10-2025,PRESENT,
18,09-10-2025,PRESENT,
18,22-10-2025,PRESENT,
18,24-10-2025,PRESENT,
18,29-10-2025,HALF_DAY,
18,10-11-2025,PRESENT,
18,25-11-2025,PRESENT,
18,16-12-2025,PRESENT,
18,18-12-2025,PRESENT,
18,03-01-2026,PRESENT,
18,15-01-2026,ABSENT,Not informed
18,20-01-2026,LEAVE,Medical leave
18,22-01-2026,PRESENT,
18,26-01-2026,PRESENT,
18,28-01-2026,PRESENT,
18,05-02-2026,LEAVE,Medical leave
18,12-02-2026,PRESENT,
18,25-02-2026,LATE,
18,26-02-2026,PRESENT,
18,02-03-2026,PRESENT,
18,09-03-2026,LATE,
18,27-03-2026,PRESENT,
19,15-07-2025,PRESENT,
19,22-07-2025,PRESENT,
19,25-07-2025,PRESENT,
19,05-08-2025,ABSENT,Not informed
19,15-08-2025,PRESENT,
19,23-08-2025,PRESENT,
19,30-08-2025,PRESENT,
19,22-09-2025,PRESENT,
19,11-10-2025,PRESENT,
19,20-10-2025,PRESENT,
19,08-11-2025,PRESENT,
19,15-11-2025,LATE,
19,19-11-2025,LEAVE,Family event
19,04-12-2025,PRESENT,
19,17-12-2025,ABSENT,Medical leave
19,02-01-2026,PRESENT,
19,10-01-2026,PRESENT,
19,14-01-2026,PRESENT,
19,29-01-2026,LATE,
19,30-01-2026,PRESENT,
19,09-02-2026,PRESENT,
19,11-02-2026,PRESENT,
19,19-02-2026,ABSENT,
19,27-02-2026,PRESENT,
19,04-03-2026,PRESENT,
19,05-03-2026,PRESENT,
19,06-03-2026,PRESENT,
19,07-03-2026,PRESENT,
19,10-03-2026,PRESENT,
19,25-03-2026,PRESENT,
20,12-07-2025,PRESENT,
20,21-07-2025,PRESENT,
20,01-08-2025,LATE,
20,20-08-2025,PRESENT,
20,26-08-2025,PRESENT,
20,03-09-2025,LEAVE,Medical leave
20,11-09-2025,ABSENT,Medical leave
20,12-09-2025,PRESENT,
20,22-09-2025,PRESENT,
20,23-09-2025,LATE,
20,24-10-2025,PRESENT,
20,27-10-2025,PRESENT,
20,31-10-2025,PRESENT,
20,03-11-2025,PRESENT,
20,11-11-2025,HALF_DAY,
20,21-11-2025,PRESENT,
20,19-12-2025,PRESENT,
20,23-12-2025,PRESENT,
20,24-12-2025,PRESENT,
20,01-01-2026,PRESENT,
20,05-01-2026,PRESENT,
20,07-01-2026,PRESENT,
20,09-01-2026,PRESENT,
20,15-01-2026,LATE,
20,31-01-2026,ABSENT,Family event
20,10-03-2026,PRESENT,
20,12-03-2026,PRESENT,
20,16-03-2026,PRESENT,
20,24-03-2026,PRESENT,
20,25-03-2026,PRESENT,
21,09-07-2025,PRESENT,
21,28-07-2025,PRESENT,
21,31-07-2025,PRESENT,
21,04-08-2025,PRESENT,
21,15-08-2025,PRESENT,
21,08-09-2025,PRESENT,
21,15-09-2025,PRESENT,
21,18-09-2025,ABSENT,
21,20-09-2025,LATE,
21,23-09-2025,HALF_DAY,
21,01-10-2025,PRESENT,
21,10-10-2025,PRESENT,
21,24-10-2025,PRESENT,
21,29-10-2025,PRESENT,
21,01-11-2025,PRESENT,
21,10-11-2025,PRESENT,
21,18-11-2025,PRESENT,
21,20-11-2025,PRESENT,
21,24-11-2025,ABSENT,Not informed
21,19-12-2025,PRESENT,
21,27-12-2025,PRESENT,
21,31-12-2025,PRESENT,
21,07-01-2026,PRESENT,
21,15-01-2026,PRESENT,
21,27-01-2026,PRESENT,
21,29-01-2026,PRESENT,
21,03-02-2026,PRESENT,
21,04-02-2026,PRESENT,
21,11-02-2026,PRESENT,
21,21-03-2026,PRESENT,
22,19-07-2025,HALF_DAY,
22,01-08-2025,PRESENT,
22,09-08-2025,PRESENT,
22,13-08-2025,ABSENT,Medical leave
22,14-08-2025,PRESENT,
22,18-08-2025,PRESENT,
22,25-08-2025,PRESENT,
22,22-09-2025,PRESENT,
22,23-09-2025,PRESENT,
22,27-09-2025,PRESENT,
22,29-09-2025,PRESENT,
22,08-10-2025,PRESENT,
22,09-10-2025,PRESENT,
22,22-10-2025,PRESENT,
22,12-11-2025,LATE,
22,13-11-2025,PRESENT,
22,29-11-2025,PRESENT,
22,02-12-2025,PRESENT,
22,08-12-2025,PRESENT,
22,11-12-2025,PRESENT,
22,05-01-2026,PRESENT,
22,03-02-2026,PRESENT,
22,11-02-2026,LATE,
22,14-02-2026,PRESENT,
22,18-02-2026,PRESENT,
22,03-03-2026,PRESENT,
22,09-03-2026,PRESENT,
22,12-03-2026,PRESENT,
22,20-03-2026,LATE,
22,25-03-2026,PRESENT,
23,08-07-2025,PRESENT,
23,29-07-2025,PRESENT,
23,02-08-2025,PRESENT,
23,04-08-2025,ABSENT,Sick
23,12-08-2025,PRESENT,
23,26-08-2025,PRESENT,
23,29-08-2025,PRESENT,
23,05-09-2025,PRESENT,
23,08-09-2025,PRESENT,
23,18-09-2025,PRESENT,
23,25-09-2025,PRESENT,
23,29-09-2025,PRESENT,
23,18-10-2025,PRESENT,
23,07-11-2025,LATE,
23,02-12-2025,ABSENT,Medical leave
23,05-12-2025,PRESENT,
23,10-12-2025,ABSENT,Not informed
23,22-12-2025,PRESENT,
23,24-12-2025,ABSENT,Sick
23,27-12-2025,PRESENT,
23,20-01-2026,PRESENT,
23,24-01-2026,ABSENT,
23,14-02-2026,PRESENT,
23,20-02-2026,PRESENT,
23,07-03-2026,LATE,
23,09-03-2026,LATE,
23,12-03-2026,PRESENT,
23,13-03-2026,PRESENT,
23,23-03-2026,PRESENT,
23,24-03-2026,PRESENT,
24,12-07-2025,PRESENT,
24,23-07-2025,PRESENT,
24,28-07-2025,PRESENT,
24,01-08-2025,PRESENT,
24,02-08-2025,LATE,
24,21-08-2025,PRESENT,
24,23-08-2025,ABSENT,
24,28-08-2025,PRESENT,
24,06-09-2025,PRESENT,
24,16-09-2025,ABSENT,Sick
24,20-09-2025,PRESENT,
24,29-09-2025,PRESENT,
24,10-10-2025,PRESENT,
24,28-10-2025,PRESENT,
24,30-10-2025,PRESENT,
24,03-11-2025,PRESENT,
24,04-11-2025,PRESENT,
24,17-12-2025,PRESENT,
24,02-01-2026,PRESENT,
24,14-01-2026,PRESENT,
24,15-01-2026,PRESENT,
24,17-01-2026,PRESENT,
24,13-02-2026,HALF_DAY,
24,16-02-2026,PRESENT,
24,21-02-2026,PRESENT,
24,24-02-2026,PRESENT,
24,02-03-2026,PRESENT,
24,03-03-2026,PRESENT,
24,17-03-2026,ABSENT,Medical leave
24,28-03-2026,PRESENT,
25,18-07-2025,PRESENT,
25,30-07-2025,PRESENT,
25,31-07-2025,PRESENT,
25,13-08-2025,PRESENT,
25,20-08-2025,PRESENT,
25,21-08-2025,PRESENT,
25,11-09-2025,PRESENT,
25,18-09-2025,PRESENT,
25,01-10-2025,PRESENT,
25,03-10-2025,PRESENT,
25,16-10-2025,PRESENT,
25,11-11-2025,PRESENT,
25,13-11-2025,PRESENT,
25,21-11-2025,ABSENT,
25,22-11-2025,PRESENT,
25,26-11-2025,PRESENT,
25,01-12-2025,PRESENT,
25,06-12-2025,PRESENT,
25,09-12-2025,PRESENT,
25,10-12-2025,LEAVE,
25,10-01-2026,PRESENT,
25,15-01-2026,PRESENT,
25,24-01-2026,LATE,
25,27-01-2026,ABSENT,Medical leave
25,04-02-2026,PRESENT,
25,03-03-2026,PRESENT,
25,05-03-2026,PRESENT,
25,18-03-2026,PRESENT,
25,23-03-2026,PRESENT,
25,24-03-2026,PRESENT,
26,08-07-2025,PRESENT,
26,11-07-2025,PRESENT,
26,30-07-2025,ABSENT,Medical leave
26,07-08-2025,PRESENT,
26,09-08-2025,ABSENT,Medical leave
26,30-08-2025,ABSENT,
26,08-09-2025,LATE,
26,22-09-2025,PRESENT,
26,23-09-2025,PRESENT,
26,03-10-2025,PRESENT,
26,08-10-2025,PRESENT,
26,16-10-2025,PRESENT,
26,01-11-2025,ABSENT,Medical leave
26,13-11-2025,PRESENT,
26,18-11-2025,PRESENT,
26,19-11-2025,PRESENT,
26,12-12-2025,PRESENT,
26,29-12-2025,PRESENT,
26,02-01-2026,PRESENT,
26,08-01-2026,PRESENT,
26,22-01-2026,PRESENT,
26,23-01-2026,ABSENT,Family event
26,02-02-2026,PRESENT,
26,07-02-2026,PRESENT,
26,14-02-2026,PRESENT,
26,17-02-2026,ABSENT,Family event
26,04-03-2026,ABSENT,Family event
26,05-03-2026,PRESENT,
26,13-03-2026,ABSENT,
26,25-03-2026,PRESENT,
27,09-07-2025,PRESENT,
27,12-07-2025,PRESENT,
27,22-07-2025,PRESENT,
27,01-08-2025,LATE,
27,06-08-2025,PRESENT,
27,09-08-2025,PRESENT,
27,19-08-2025,LATE,
27,21-08-2025,PRESENT,
27,25-08-2025,PRESENT,
27,04-09-2025,PRESENT,
27,17-09-2025,PRESENT,
27,02-10-2025,PRESENT,
27,04-10-2025,PRESENT,
27,14-10-2025,PRESENT,
27,31-10-2025,PRESENT,
27,10-11-2025,LATE,
27,15-11-2025,PRESENT,
27,18-11-2025,ABSENT,Medical leave
27,21-11-2025,PRESENT,
27,24-11-2025,LATE,
27,25-11-2025,PRESENT,
27,28-11-2025,PRESENT,
27,23-12-2025,PRESENT,
27,27-12-2025,PRESENT,
27,10-01-2026,PRESENT,
27,31-01-2026,PRESENT,
27,04-02-2026,PRESENT,
27,12-02-2026,PRESENT,
27,21-02-2026,PRESENT,
27,23-03-2026,ABSENT,Medical leave
28,12-07-2025,LATE,
28,09-08-2025,LATE,
28,14-08-2025,PRESENT,
28,23-08-2025,PRESENT,
28,02-09-2025,ABSENT,Not informed
28,10-09-2025,PRESENT,
28,13-09-2025,PRESENT,
28,30-09-2025,PRESENT,
28,02-10-2025,PRESENT,
28,15-10-2025,PRESENT,
28,17-10-2025,ABSENT,Sick
28,13-11-2025,ABSENT,Medical leave
28,14-11-2025,PRESENT,
28,17-11-2025,PRESENT,
28,22-11-2025,PRESENT,
28,24-11-2025,PRESENT,
28,25-11-2025,PRESENT,
28,01-12-2025,PRESENT,
28,04-12-2025,PRESENT,
28,29-12-2025,PRESENT,
28,02-01-2026,PRESENT,
28,08-01-2026,PRESENT,
28,15-01-2026,PRESENT,
28,19-01-2026,PRESENT,
28,27-01-2026,PRESENT,
28,30-01-2026,PRESENT,
28,05-02-2026,PRESENT,
28,07-02-2026,PRESENT,
28,24-03-2026,PRESENT,
28,28-03-2026,PRESENT,
29,16-07-2025,PRESENT,
29,19-07-2025,ABSENT,Sick
29,25-07-2025,LATE,
29,09-08-2025,PRESENT,
29,11-08-2025,PRESENT,
29,20-08-2025,PRESENT,
29,22-08-2025,HALF_DAY,
29,27-08-2025,PRESENT,
29,11-09-2025,PRESENT,
29,12-09-2025,PRESENT,
29,22-09-2025,PRESENT,
29,24-09-2025,PRESENT,
29,15-10-2025,PRESENT,
29,16-10-2025,PRESENT,
29,20-10-2025,PRESENT,
