invoice_number,admission_number,fee_type,amount,due_date,invoice_date,academic_year
INV/2025-26/000049,4,Tuition Fee,2000,10-01-2026,01-01-2026,2025-26
INV/2025-26/000050,4,Tuition Fee,2000,10-02-2026,01-02-2026,2025-26
INV/2025-26/000051,4,Tuition Fee,2000,10-03-2026,01-03-2026,2025-26
INV/2025-26/000052,4,Annual Fee,5000,22-07-2025,07-07-2025,2025-26
INV/2025-26/000053,4,Library Fee,500,22-07-2025,07-07-2025,2025-26
INV/2025-26/000054,4,Sports Fee,1000,22-07-2025,07-07-2025,2025-26
INV/2025-26/000055,4,Exam Fee,250,22-07-2025,07-07-2025,2025-26
INV/2025-26/000056,4,Exam Fee,250,16-01-2026,01-01-2026,2025-26
INV/2025-26/000057,5,Tuition Fee,2000,10-07-2025,01-07-2025,2025-26
INV/2025-26/000058,5,Tuition Fee,2000,10-08-2025,01-08-2025,2025-26
INV/2025-26/000059,5,Tuition Fee,2000,10-09-2025,01-09-2025,2025-26
INV/2025-26/000060,5,Tuition Fee,2000,10-10-2025,01-10-2025,2025-26
INV/2025-26/000061,5,Tuition Fee,2000,10-11-2025,01-11-2025,2025-26
INV/2025-26/000062,5,Tuition Fee,2000,10-12-2025,01-12-2025,2025-26
INV/2025-26/000063,5,Tuition Fee,2000,10-01-2026,01-01-2026,2025-26
INV/2025-26/000064,5,Tuition Fee,2000,10-02-2026,01-02-2026,2025-26
INV/2025-26/000065,5,Tuition Fee,2000,10-03-2026,01-03-2026,2025-26
INV/2025-26/000066,5,Annual Fee,5000,22-07-2025,07-07-2025,2025-26
INV/2025-26/000067,5,Library Fee,500,22-07-2025,07-07-2025,2025-26
INV/2025-26/000068,5,Sports Fee,1000,22-07-2025,07-07-2025,2025-26
INV/2025-26/000069,5,Exam Fee,250,22-07-2025,07-07-2025,2025-26
INV/2025-26/000070,5,Exam Fee,250,16-01-2026,01-01-2026,2025-26
INV/2025-26/000071,6,Tuition Fee,2000,10-07-2025,01-07-2025,2025-26
INV/2025-26/000072,6,Tuition Fee,2000,10-08-2025,01-08-2025,2025-26
INV/2025-26/000073,6,Tuition Fee,2000,10-09-2025,01-09-2025,2025-26
INV/2025-26/000074,6,Tuition Fee,2000,10-10-2025,01-10-2025,2025-26
INV/2025-26/000075,6,Tuition Fee,2000,10-11-2025,01-11-2025,2025-26
INV/2025-26/000076,6,Tuition Fee,2000,10-12-2025,01-12-2025,2025-26
INV/2025-26/000077,6,Tuition Fee,2000,10-01-2026,01-01-2026,2025-26
INV/2025-26/000078,6,Tuition Fee,2000,10-02-2026,01-02-2026,2025-26
INV/2025-26/000079,6,Tuition Fee,2000,10-03-2026,01-03-2026,2025-26
INV/2025-26/000080,6,Annual Fee,5000,22-07-2025,07-07-2025,2025-26
INV/2025-26/000081,6,Library Fee,500,22-07-2025,07-07-2025,2025-26
INV/2025-26/000082,6,Sports Fee,1000,22-07-2025,07-07-2025,2025-26
INV/2025-26/000083,6,Exam Fee,250,22-07-2025,07-07-2025,2025-26
INV/2025-26/000084,6,Exam Fee,250,16-01-2026,01-01-2026,2025-26
INV/2025-26/000085,7,Tuition Fee,2000,10-07-2025,01-07-2025,2025-26
INV/2025-26/000086,7,Tuition Fee,2000,10-08-2025,01-08-2025,2025-26
INV/2025-26/000087,7,Tuition Fee,2000,10-09-2025,01-09-2025,2025-26
INV/2025-26/000088,7,Tuition Fee,2000,10-10-2025,01-10-2025,2025-26
INV/2025-26/000089,7,Tuition Fee,2000,10-11-2025,01-11-2025,2025-26
INV/2025-26/000090,7,Tuition Fee,2000,10-12-2025,01-12-2025,2025-26
INV/2025-26/000091,7,Tuition Fee,2000,10-01-2026,01-01-2026,2025-26
INV/2025-26/000092,7,Tuition Fee,2000,10-02-2026,01-02-2026,2025-26
INV/2025-26/000093,7,Tuition Fee,2000,10-03-2026,01-03-2026,2025-26
INV/2025-26/000094,7,Annual Fee,5000,22-07-2025,07-07-2025,2025-26
INV/2025-26/000095,7,Library Fee,500,22-07-2025,07-07-2025,2025-26
INV/2025-26/000096,7,Sports Fee,1000,22-07-2025,07-07-2025,2025-26
INV/2025-26/000097,7,Exam Fee,250,22-07-2025,07-07-2025,2025-26
INV/2025-26/000098,7,Exam Fee,250,16-01-2026,01-01-2026,2025-26
INV/2025-26/000099,8,Tuition Fee,2000,10-07-2025,01-07-2025,2025-26
INV/2025-26/000100,8,Tuition Fee,2000,10-08-2025,01-08-2025,2025-26
INV/2025-26/000101,8,Tuition Fee,2000,10-09-2025,01-09-2025,2025-26
INV/2025-26/000102,8,Tuition Fee,2000,10-10-2025,01-10-2025,2025-26
INV/2025-26/000103,8,Tuition Fee,2000,10-11-2025,01-11-2025,2025-26
INV/2025-26/000104,8,Tuition Fee,2000,10-12-2025,01-12-2025,2025-26
INV/2025-26/000105,8,Tuition Fee,2000,10-01-2026,01-01-2026,2025-26
INV/2025-26/000106,8,Tuition Fee,2000,10-02-2026,01-02-2026,2025-26
INV/2025-26/000107,8,Tuition Fee,2000,10-03-2026,01-03-2026,2025-26
INV/2025-26/000108,8,Annual Fee,5000,22-07-2025,07-07-2025,2025-26
INV/2025-26/000109,8,Library Fee,500,22-07-2025,07-07-2025,2025-26
INV/2025-26/000110,8,Sports Fee,1000,22-07-2025,07-07-2025,2025-26
INV/2025-26/000111,8,Exam Fee,250,22-07-2025,07-07-2025,2025-26
INV/2025-26/000112,8,Exam Fee,250,16-01-2026,01-01-2026,2025-26
INV/2025-26/000113,9,Tuition Fee,2000,10-07-2025,01-07-2025,2025-26
INV/2025-26/000114,9,Tuition Fee,2000,10-08-2025,01-08-2025,2025-26
INV/2025-26/000115,9,Tuition Fee,2000,10-09-2025,01-09-2025,2025-26
INV/2025-26/000116,9,Tuition Fee,2000,10-10-2025,01-10-2025,2025-26
INV/2025-26/000117,9,Tuition Fee,2000,10-11-2025,01-11-2025,2025-26
INV/2025-26/000118,9,Tuition Fee,2000,10-12-2025,01-12-2025,2025-26
INV/2025-26/000119,9,Tuition Fee,2000,10-01-2026,01-01-2026,2025-26
INV/2025-26/000120,9,Tuition Fee,2000,10-02-2026,01-02-2026,2025-26
INV/2025-26/000121,9,Tuition Fee,2000,10-03-2026,01-03-2026,2025-26
INV/2025-26/000122,9,Annual Fee,5000,22-07-2025,07-07-2025,2025-26
INV/2025-26/000123,9,Library Fee,500,22-07-2025,07-07-2025,2025-26
INV/2025-26/000124,9,Sports Fee,1000,22-07-2025,07-07-2025,2025-26
INV/2025-26/000125,9,Exam Fee,250,22-07-2025,07-07-2025,2025-26
INV/2025-26/000126,9,Exam Fee,250,16-01-2026,01-01-2026,2025-26
INV/2025-26/000127,10,Tuition Fee,2000,10-07-2025,01-07-2025,2025-26
INV/2025-26/000128,10,Tuition Fee,2000,10-08-2025,01-08-2025,2025-26
INV/2025-26/000129,10,Tuition Fee,2000,10-09-2025,01-09-2025,2025-26
INV/2025-26/000130,10,Tuition Fee,2000,10-10-2025,01-10-2025,2025-26
INV/2025-26/000131,10,Tuition Fee,2000,10-11-2025,01-11-2025,2025-26
INV/2025-26/000132,10,Tuition Fee,2000,10-12-2025,01-12-2025,2025-26
INV/2025-26/000133,10,Tuition Fee,2000,10-01-2026,01-01-2026,2025-26
INV/2025-26/000134,10,Tuition Fee,2000,10-02-2026,01-02-2026,2025-26
INV/2025-26/000135,10,Tuition Fee,2000,10-03-2026,01-03-2026,2025-26
INV/2025-26/000136,10,Annual Fee,5000,22-07-2025,07-07-2025,2025-26
INV/2025-26/000137,10,Library Fee,500,22-07-2025,07-07-2025,2025-26
INV/2025-26/000138,10,Sports Fee,1000,22-07-2025,07-07-2025,2025-26
INV/2025-26/000139,10,Exam Fee,250,22-07-2025,07-07-2025,2025-26
INV/2025-26/000140,10,Exam Fee,250,16-01-2026,01-01-2026,2025-26
INV/2025-26/000141,11,Tuition Fee,2000,10-07-2025,01-07-2025,2025-26
INV/2025-26/000142,11,Tuition Fee,2000,10-08-2025,01-08-2025,2025-26
INV/2025-26/000143,11,Tuition Fee,2000,10-09-2025,01-09-2025,2025-26
INV/2025-26/000144,11,Tuition Fee,2000,10-10-2025,01-10-2025,2025-26
INV/2025-26/000145,11,Tuition Fee,2000,10-11-2025,01-11-2025,2025-26
INV/2025-26/000146,11,Tuition Fee,2000,10-12-2025,01-12-2025,2025-26
INV/2025-26/000147,11,Tuition Fee,2000,10-01-2026,01-01-2026,2025-26
INV/2025-26/000148,11,Tuition Fee,2000,10-02-2026,01-02-2026,2025-26
INV/2025-26/000149,11,Tuition Fee,2000,10-03-2026,01-03-2026,2025-26
INV/2025-26/000150,11,Annual Fee,5000,22-07-2025,07-07-2025,2025-26
INV/2025-26/000151,11,Library Fee,500,22-07-2025,07-07-2025,2025-26
INV/2025-26/000152,11,Sports Fee,1000,22-07-2025,07-07-2025,2025-26
INV/2025-26/000153,11,Exam Fee,250,22-07-2025,07-07-2025,2025-26
INV/2025-26/000154,11,Exam Fee,250,16-01-2026,01-01-2026,2025-26
INV/2025-26/000155,12,Tuition Fee,2000,10-07-2025,01-07-2025,2025-26
INV/2025-26/000156,12,Tuition Fee,2000,10-08-2025,01-08-2025,2025-26
INV/2025-26/000157,12,Tuition Fee,2000,10-09-2025,01-09-2025,2025-26
INV/2025-26/000158,12,Tuition Fee,2000,10-10-2025,01-10-2025,2025-26
INV/2025-26/000159,12,Tuition Fee,2000,10-11-2025,01-11-2025,2025-26
INV/2025-26/000160,12,Tuition Fee,2000,10-12-2025,01-12-2025,2025-26
INV/2025-26/000161,12,Tuition Fee,2000,10-01-2026,01-01-2026,2025-26
INV/2025-26/000162,12,Tuition Fee,2000,10-02-2026,01-02-2026,2025-26
INV/2025-26/000163,12,Tuition Fee,2000,10-03-2026,01-03-2026,2025-26
INV/2025-26/000164,12,Annual Fee,5000,22-07-2025,07-07-2025,2025-26
INV/2025-26/000165,12,Library Fee,500,22-07-2025,07-07-2025,2025-26
INV/2025-26/000166,12,Sports Fee,1000,22-07-2025,07-07-2025,2025-26
INV/2025-26/000167,12,Exam Fee,250,22-07-2025,07-07-2025,2025-26
INV/2025-26/000168,12,Exam Fee,250,16-01-2026,01-01-2026,2025-26
INV/2025-26/000169,13,Tuition Fee,2000,10-07-2025,01-07-2025,2025-26
INV/2025-26/000170,13,Tuition Fee,2000,10-08-2025,01-08-2025,2025-26
INV/2025-26/000171,13,Tuition Fee,2000,10-09-2025,01-09-2025,2025-26
INV/2025-26/000172,13,Tuition Fee,2000,10-10-2025,01-10-2025,2025-26
INV/2025-26/000173,13,Tuition Fee,2000,10-11-2025,01-11-2025,2025-26
INV/2025-26/000174,13,Tuition Fee,2000,10-12-2025,01-12-2025,2025-26
INV/2025-26/000175,13,Tuition Fee,2000,10-01-2026,01-01-2026,2025-26
INV/2025-26/000176,13,Tuition Fee,2000,10-02-2026,01-02-2026,2025-26
INV/2025-26/000177,13,Tuition Fee,2000,10-03-2026,01-03-2026,2025-26
INV/2025-26/000178,13,Annual Fee,5000,22-07-2025,07-07-2025,2025-26
INV/2025-26/000179,13,Library Fee,500,22-07-2025,07-07-2025,2025-26
INV/2025-26/000180,13,Sports Fee,1000,22-07-2025,07-07-2025,2025-26
INV/2025-26/000181,13,Exam Fee,250,22-07-2025,07-07-2025,2025-26
INV/2025-26/000182,13,Exam Fee,250,16-01-2026,01-01-2026,2025-26
INV/2025-26/000183,14,Tuition Fee,2000,10-07-2025,01-07-2025,2025-26
INV/2025-26/000184,14,Tuition Fee,2000,10-08-2025,01-08-2025,2025-26
INV/2025-26/000185,14,Tuition Fee,2000,10-09-2025,01-09-2025,2025-26
INV/2025-26/000186,14,Tuition Fee,2000,10-10-2025,01-10-2025,2025-26
INV/2025-26/000187,14,Tuition Fee,2000,10-11-2025,01-11-2025,2025-26
INV/2025-26/000188,14,Tuition Fee,2000,10-12-2025,01-12-2025,2025-26
INV/2025-26/000189,14,Tuition Fee,2000,10-01-2026,01-01-2026,2025-26
INV/2025-26/000190,14,Tuition Fee,2000,10-02-2026,01-02-2026,2025-26
INV/2025-26/000191,14,Tuition Fee,2000,10-03-2026,01-03-2026,2025-26
INV/2025-26/000192,14,Annual Fee,5000,22-07-2025,07-07-2025,2025-26
INV/2025-26/000193,14,Library Fee,500,22-07-2025,07-07-2025,2025-26
INV/2025-26/000194,14,Sports Fee,1000,22-07-2025,07-07-2025,2025-26
INV/2025-26/000195,14,Exam Fee,250,22-07-2025,07-07-2025,2025-26
INV/2025-26/000196,14,Exam Fee,250,16-01-2026,01-01-2026,2025-26
INV/2025-26/000197,15,Tuition Fee,2000,10-07-2025,01-07-2025,2025-26
INV/2025-26/000198,15,Tuition Fee,2000,10-08-2025,01-08-2025,2025-26
INV/2025-26/000199,15,Tuition Fee,2000,10-09-2025,01-09-2025,2025-26
INV/2025-26/000200,15,Tuition Fee,2000,10-10-2025,01-10-2025,2025-26
INV/2025-26/000201,15,Tuition Fee,2000,10-11-2025,01-11-2025,2025-26
INV/2025-26/000202,15,Tuition Fee,2000,10-12-2025,01-12-2025,2025-26
INV/2025-26/000203,15,Tuition Fee,2000,10-01-2026,01-01-2026,2025-26
INV/2025-26/000204,15,Tuition Fee,2000,10-02-2026,01-02-2026,2025-26
INV/2025-26/000205,15,Tuition Fee,2000,10-03-2026,01-03-2026,2025-26
INV/2025-26/000206,15,Annual Fee,5000,22-07-2025,07-07-2025,2025-26
INV/2025-26/000207,15,Library Fee,500,22-07-2025,07-07-2025,2025-26
INV/2025-26/000208,15,Sports Fee,1000,22-07-2025,07-07-2025,2025-26
INV/2025-26/000209,15,Exam Fee,250,22-07-2025,07-07-2025,2025-26
INV/2025-26/000210,15,Exam Fee,250,16-01-2026,01-01-2026,2025-26
INV/2025-26/000211,16,Tuition Fee,2000,10-07-2025,01-07-2025,2025-26
INV/2025-26/000212,16,Tuition Fee,2000,10-08-2025,01-08-2025,2025-26
INV/2025-26/000213,16,Tuition Fee,2000,10-09-2025,01-09-2025,2025-26
INV/2025-26/000214,16,Tuition Fee,2000,10-10-2025,01-10-2025,2025-26
INV/2025-26/000215,16,Tuition Fee,2000,10-11-2025,01-11-2025,2025-26
INV/2025-26/000216,16,Tuition Fee,2000,10-12-2025,01-12-2025,2025-26
INV/2025-26/000217,16,Tuition Fee,2000,10-01-2026,01-01-2026,2025-26
INV/2025-26/000218,16,Tuition Fee,2000,10-02-2026,01-02-2026,2025-26
INV/2025-26/000219,16,Tuition Fee,2000,10-03-2026,01-03-2026,2025-26
INV/2025-26/000220,16,Annual Fee,5000,22-07-2025,07-07-2025,2025-26
INV/2025-26/000221,16,Library Fee,500,22-07-2025,07-07-2025,2025-26
INV/2025-26/000222,16,Sports Fee,1000,22-07-2025,07-07-2025,2025-26
INV/2025-26/000223,16,Exam Fee,250,22-07-2025,07-07-2025,2025-26
INV/2025-26/000224,16,Exam Fee,250,16-01-2026,01-01-2026,2025-26
INV/2025-26/000225,17,Tuition Fee,2000,10-07-2025,01-07-2025,2025-26
INV/2025-26/000226,17,Tuition Fee,2000,10-08-2025,01-08-2025,2025-26
INV/2025-26/000227,17,Tuition Fee,2000,10-09-2025,01-09-2025,2025-26
INV/2025-26/000228,17,Tuition Fee,2000,10-10-2025,01-10-2025,2025-26
INV/2025-26/000229,17,Tuition Fee,2000,10-11-2025,01-11-2025,2025-26
INV/2025-26/000230,17,Tuition Fee,2000,10-12-2025,01-12-2025,2025-26
INV/2025-26/000231,17,Tuition Fee,2000,10-01-2026,01-01-2026,2025-26
INV/2025-26/000232,17,Tuition Fee,2000,10-02-2026,01-02-2026,2025-26
INV/2025-26/000233,17,Tuition Fee,2000,10-03-2026,01-03-2026,2025-26
INV/2025-26/000234,17,Annual Fee,5000,22-07-2025,07-07-2025,2025-26
INV/2025-26/000235,17,Library Fee,500,22-07-2025,07-07-2025,2025-26
INV/2025-26/000236,17,Sports Fee,1000,22-07-2025,07-07-2025,2025-26
INV/2025-26/000237,17,Exam Fee,250,22-07-2025,07-07-2025,2025-26
INV/2025-26/000238,17,Exam Fee,250,16-01-2026,01-01-2026,2025-26
INV/2025-26/000239,18,Tuition Fee,2000,10-07-2025,01-07-2025,2025-26
INV/2025-26/000240,18,Tuition Fee,2000,10-08-2025,01-08-2025,2025-26
INV/2025-26/000241,18,Tuition Fee,2000,10-09-2025,01-09-2025,2025-26
INV/2025-26/000242,18,Tuition Fee,2000,10-10-2025,01-10-2025,2025-26
INV/2025-26/000243,18,Tuition Fee,2000,10-11-2025,01-11-2025,2025-26
INV/2025-26/000244,18,Tuition Fee,2000,10-12-2025,01-12-2025,2025-26
INV/2025-26/000245,18,Tuition Fee,2000,10-01-2026,01-01-2026,2025-26
INV/2025-26/000246,18,Tuition Fee,2000,10-02-2026,01-02-2026,2025-26
INV/2025-26/000247,18,Tuition Fee,2000,10-03-2026,01-03-2026,2025-26
INV/2025-26/000248,18,Annual Fee,5000,22-07-2025,07-07-2025,2025-26
INV/2025-26/000249,18,Library Fee,500,22-07-2025,07-07-2025,2025-26
INV/2025-26/000250,18,Sports Fee,1000,22-07-2025,07-07-2025,2025-26
INV/2025-26/000251,18,Exam Fee,250,22-07-2025,07-07-2025,2025-26
INV/2025-26/000252,18,Exam Fee,250,16-01-2026,01-01-2026,2025-26
INV/2025-26/000253,19,Tuition Fee,2000,10-07-2025,01-07-2025,2025-26
INV/2025-26/000254,19,Tuition Fee,2000,10-08-2025,01-08-2025,2025-26
INV/2025-26/000255,19,Tuition Fee,2000,10-09-2025,01-09-2025,2025-26
INV/2025-26/000256,19,Tuition Fee,2000,10-10-2025,01-10-2025,2025-26
INV/2025-26/000257,19,Tuition Fee,2000,10-11-2025,01-11-2025,2025-26
INV/2025-26/000258,19,Tuition Fee,2000,10-12-2025,01-12-2025,2025-26
INV/2025-26/000259,19,Tuition Fee,2000,10-01-2026,01-01-2026,2025-26
INV/2025-26/000260,19,Tuition Fee,2000,10-02-2026,01-02-2026,2025-26
INV/2025-26/000261,19,Tuition Fee,2000,10-03-2026,01-03-2026,2025-26
INV/2025-26/000262,19,Annual Fee,5000,22-07-2025,07-07-2025,2025-26
INV/2025-26/000263,19,Library Fee,500,22-07-2025,07-07-2025,2025-26
INV/2025-26/000264,19,Sports Fee,1000,22-07-2025,07-07-2025,2025-26
INV/2025-26/000265,19,Exam Fee,250,22-07-2025,07-07-2025,2025-26
INV/2025-26/000266,19,Exam Fee,250,16-01-2026,01-01-2026,2025-26
INV/2025-26/000267,20,Tuition Fee,2000,10-07-2025,01-07-2025,2025-26
INV/2025-26/000268,20,Tuition Fee,2000,10-08-2025,01-08-2025,2025-26
INV/2025-26/000269,20,Tuition Fee,2000,10-09-2025,01-09-2025,2025-26
INV/2025-26/000270,20,Tuition Fee,2000,10-10-2025,01-10-2025,2025-26
INV/2025-26/000271,20,Tuition Fee,2000,10-11-2025,01-11-2025,2025-26
INV/2025-26/000272,20,Tuition Fee,2000,10-12-2025,01-12-2025,2025-26
INV/2025-26/000273,20,Tuition Fee,2000,10-01-2026,01-01-2026,2025-26
INV/2025-26/000274,20,Tuition Fee,2000,10-02-2026,01-02-2026,2025-26
INV/2025-26/000275,20,Tuition Fee,2000,10-03-2026,01-03-2026,2025-26
INV/2025-26/000276,20,Annual Fee,5000,22-07-2025,07-07-2025,2025-26
INV/2025-26/000277,20,Library Fee,500,22-07-2025,07-07-2025,2025-26
INV/2025-26/000278,20,Sports Fee,1000,22-07-2025,07-07-2025,2025-26
INV/2025-26/000279,20,Exam Fee,250,22-07-2025,07-07-2025,2025-26
INV/2025-26/000280,20,Exam Fee,250,16-01-2026,01-01-2026,2025-26
INV/2025-26/000281,21,Tuition Fee,2000,10-07-2025,01-07-2025,2025-26
INV/2025-26/000282,21,Tuition Fee,2000,10-08-2025,01-08-2025,2025-26
INV/2025-26/000283,21,Tuition Fee,2000,10-09-2025,01-09-2025,2025-26
INV/2025-26/000284,21,Tuition Fee,2000,10-10-2025,01-10-2025,2025-26
INV/2025-26/000285,21,Tuition Fee,2000,10-11-2025,01-11-2025,2025-26
INV/2025-26/000286,21,Tuition Fee,2000,10-12-2025,01-12-2025,2025-26
INV/2025-26/000287,21,Tuition Fee,2000,10-01-2026,01-01-2026,2025-26
INV/2025-26/000288,21,Tuition Fee,2000,10-02-2026,01-02-2026,2025-26
INV/2025-26/000289,21,Tuition Fee,2000,10-03-2026,01-03-2026,2025-26
INV/2025-26/000290,21,Annual Fee,5000,22-07-2025,07-07-2025,2025-26
INV/2025-26/000291,21,Library Fee,500,22-07-2025,07-07-2025,2025-26
INV/2025-26/000292,21,Sports Fee,1000,22-07-2025,07-07-2025,2025-26
INV/2025-26/000293,21,Exam Fee,250,22-07-2025,07-07-2025,2025-26
INV/2025-26/000294,21,Exam Fee,250,16-01-2026,01-01-2026,2025-26
INV/2025-26/000295,22,Tuition Fee,2000,10-07-2025,01-07-2025,2025-26
INV/2025-26/000296,22,Tuition Fee,2000,10-08-2025,01-08-2025,2025-26
INV/2025-26/000297,22,Tuition Fee,2000,10-09-2025,01-09-2025,2025-26
INV/2025-26/000298,22,Tuition Fee,2000,10-10-2025,01-10-2025,2025-26
INV/2025-26/000299,22,Tuition Fee,2000,10-11-2025,01-11-2025,2025-26
INV/2025-26/000300,22,Tuition Fee,2000,10-12-2025,01-12-2025,2025-26
INV/2025-26/000301,22,Tuition Fee,2000,10-01-2026,01-01-2026,2025-26
INV/2025-26/000302,22,Tuition Fee,2000,10-02-2026,01-02-2026,2025-26
INV/2025-26/000303,22,Tuition Fee,2000,10-03-2026,01-03-2026,2025-26
INV/2025-26/000304,22,Annual Fee,5000,22-07-2025,07-07-2025,2025-26
INV/2025-26/000305,22,Library Fee,500,22-07-2025,07-07-2025,2025-26
INV/2025-26/000306,22,Sports Fee,1000,22-07-2025,07-07-2025,2025-26
INV/2025-26/000307,22,Exam Fee,250,22-07-2025,07-07-2025,2025-26
INV/2025-26/000308,22,Exam Fee,250,16-01-2026,01-01-2026,2025-26
INV/2025-26/000309,23,Tuition Fee,2000,10-07-2025,01-07-2025,2025-26
INV/2025-26/000310,23,Tuition Fee,2000,10-08-2025,01-08-2025,2025-26
INV/2025-26/000311,23,Tuition Fee,2000,10-09-2025,01-09-2025,2025-26
INV/2025-26/000312,23,Tuition Fee,2000,10-10-2025,01-10-2025,2025-26
INV/2025-26/000313,23,Tuition Fee,2000,10-11-2025,01-11-2025,2025-26
INV/2025-26/000314,23,Tuition Fee,2000,10-12-2025,01-12-2025,2025-26
INV/2025-26/000315,23,Tuition Fee,2000,10-01-2026,01-01-2026,2025-26
INV/2025-26/000316,23,Tuition Fee,2000,10-02-2026,01-02-2026,2025-26
INV/2025-26/000317,23,Tuition Fee,2000,10-03-2026,01-03-2026,2025-26
INV/2025-26/000318,23,Annual Fee,5000,22-07-2025,07-07-2025,2025-26
INV/2025-26/000319,23,Library Fee,500,22-07-2025,07-07-2025,2025-26
INV/2025-26/000320,23,Sports Fee,1000,22-07-2025,07-07-2025,2025-26
INV/2025-26/000321,23,Exam Fee,250,22-07-2025,07-07-2025,2025-26
INV/2025-26/000322,23,Exam Fee,250,16-01-2026,01-01-2026,2025-26
INV/2025-26/000323,24,Tuition Fee,2000,10-07-2025,01-07-2025,2025-26
INV/2025-26/000324,24,Tuition Fee,2000,10-08-2025,01-08-2025,2025-26
INV/2025-26/000325,24,Tuition Fee,2000,10-09-2025,01-09-2025,2025-26
INV/2025-26/000326,24,Tuition Fee,2000,10-10-2025,01-10-2025,2025-26
INV/2025-26/000327,24,Tuition Fee,2000,10-11-2025,01-11-2025,2025-26
INV/2025-26/000328,24,Tuition Fee,2000,10-12-2025,01-12-2025,2025-26
