receipt_number,invoice_number,amount_paid,payment_date,payment_mode,remarks
RCP-INV-STU20240012-02-2,INV-STU20240012-02,2842.94,10-10-2025,CASH,Auto-generated payment
RCP-INV-STU20240013-01-1,INV-STU20240013-01,2915.54,25-08-2025,ONLINE,Auto-generated payment
RCP-INV-STU20240014-01-1,INV-STU20240014-01,2256.69,29-11-2025,CHEQUE,Auto-generated payment
RCP-INV-STU20240014-02-1,INV-STU20240014-02,2490.62,19-10-2025,UPI,Auto-generated payment
RCP-INV-STU20240014-02-2,INV-STU20240014-02,807.85,24-10-2025,CASH,Auto-generated payment
RCP-INV-STU20240015-01-1,INV-STU20240015-01,356.21,31-10-2025,CHEQUE,Auto-generated payment
RCP-INV-STU20240015-02-1,INV-STU20240015-02,981.42,03-10-2025,CASH,Auto-generated payment
RCP-INV-STU20240015-02-2,INV-STU20240015-02,497.54,24-10-2025,CASH,Auto-generated payment
RCP-INV-STU20240016-01-1,INV-STU20240016-01,2429.54,23-09-2025,ONLINE,Auto-generated payment
RCP-INV-STU20240016-01-2,INV-STU20240016-01,273.03,10-09-2025,CASH,Auto-generated payment
RCP-INV-STU20240016-02-1,INV-STU20240016-02,2405.48,10-12-2025,UPI,Auto-generated payment
RCP-INV-STU20240016-02-2,INV-STU20240016-02,631.27,30-12-2025,CHEQUE,Auto-generated payment
RCP-INV-STU20240017-01-1,INV-STU20240017-01,823.35,03-09-2025,CASH,Auto-generated payment
RCP-INV-STU20240018-02-1,INV-STU20240018-02,965.52,29-11-2025,UPI,Auto-generated payment
RCP-INV-STU20240019-01-1,INV-STU20240019-01,2228.28,01-10-2025,CHEQUE,Auto-generated payment
RCP-INV-STU20240019-02-1,INV-STU20240019-02,1178.10,09-11-2025,UPI,Auto-generated payment
RCP-INV-STU20240020-01-1,INV-STU20240020-01,821.25,02-10-2025,CHEQUE,Auto-generated payment
RCP-INV-STU20240020-02-1,INV-STU20240020-02,2325.87,18-12-2025,UPI,Auto-generated payment
RCP-INV-STU20240021-01-1,INV-STU20240021-01,1836.87,27-01-2026,CASH,Auto-generated payment
RCP-INV-STU20240021-02-1,INV-STU20240021-02,1773.89,12-12-2025,ONLINE,Auto-generated payment
RCP-INV-STU20240021-02-2,INV-STU20240021-02,914.02,25-12-2025,CHEQUE,Auto-generated payment
RCP-INV-STU20240022-01-1,INV-STU20240022-01,2284.17,06-12-2025,CASH,Auto-generated payment
RCP-INV-STU20240022-02-1,INV-STU20240022-02,1341.26,12-12-2025,UPI,Auto-generated payment
RCP-INV-STU20240022-02-2,INV-STU20240022-02,1089.12,25-12-2025,ONLINE,Auto-generated payment
RCP-INV-STU20240023-01-1,INV-STU20240023-01,1793.01,15-10-2025,CASH,Auto-generated payment
RCP-INV-STU20240023-01-2,INV-STU20240023-01,1138.81,21-10-2025,UPI,Auto-generated payment
RCP-INV-STU20240023-02-1,INV-STU20240023-02,1515.25,17-12-2025,ONLINE,Auto-generated payment
RCP-INV-STU20240024-01-1,INV-STU20240024-01,824.06,27-08-2025,UPI,Auto-generated payment
RCP-INV-STU20240024-02-1,INV-STU20240024-02,402.14,30-12-2025,ONLINE,Auto-generated payment
RCP-INV-STU20240024-02-2,INV-STU20240024-02,542.97,03-01-2026,CASH,Auto-generated payment
RCP-INV-STU20240025-01-1,INV-STU20240025-01,1940.39,17-11-2025,ONLINE,Auto-generated payment
RCP-INV-STU20240025-02-1,INV-STU20240025-02,2268.27,27-12-2025,ONLINE,Auto-generated payment
RCP-INV-STU20240026-01-1,INV-STU20240026-01,2343.93,28-11-2025,ONLINE,Auto-generated payment
RCP-INV-STU20240026-02-1,INV-STU20240026-02,1674.32,21-08-2025,CASH,Auto-generated payment
RCP-INV-STU20240026-02-2,INV-STU20240026-02,333.87,25-08-2025,CASH,Auto-generated payment
RCP-INV-STU20240027-01-1,INV-STU20240027-01,1090.16,19-12-2025,CASH,Auto-generated payment
RCP-INV-STU20240027-01-2,INV-STU20240027-01,1378.62,21-12-2025,ONLINE,Auto-generated payment
RCP-INV-STU20240027-02-1,INV-STU20240027-02,1887.35,28-10-2025,CASH,Auto-generated payment
RCP-INV-STU20240028-02-1,INV-STU20240028-02,2889.11,19-09-2025,CASH,Auto-generated payment
RCP-INV-STU20240028-02-2,INV-STU20240028-02,167.84,06-09-2025,CHEQUE,Auto-generated payment
RCP-INV-STU20240029-02-1,INV-STU20240029-02,3063.87,15-01-2026,CASH,Auto-generated payment
RCP-INV-STU20240030-01-1,INV-STU20240030-01,115.94,14-12-2025,CHEQUE,Auto-generated payment
RCP-INV-STU20240030-02-1,INV-STU20240030-02,169.72,24-01-2026,ONLINE,Auto-generated payment
RCP-INV-STU20240030-02-2,INV-STU20240030-02,626.29,09-01-2026,CHEQUE,Auto-generated payment
RCP-INV-STU20240031-02-1,INV-STU20240031-02,966.94,26-08-2025,CHEQUE,Auto-generated payment
RCP-INV-STU20240033-01-1,INV-STU20240033-01,1258.69,21-11-2025,UPI,Auto-generated payment
RCP-INV-STU20240033-01-2,INV-STU20240033-01,1633.65,12-12-2025,CHEQUE,Auto-generated payment
RCP-INV-STU20240033-02-1,INV-STU20240033-02,2766.87,08-01-2026,CHEQUE,Auto-generated payment
RCP-INV-STU20240034-01-1,INV-STU20240034-01,2527.64,18-12-2025,ONLINE,Auto-generated payment
RCP-INV-STU20240034-01-2,INV-STU20240034-01,133.72,20-12-2025,CASH,Auto-generated payment
RCP-INV-STU20240035-01-1,INV-STU20240035-01,452.85,29-09-2025,CHEQUE,Auto-generated payment
RCP-INV-STU20240035-01-2,INV-STU20240035-01,568.20,07-09-2025,UPI,Auto-generated payment
RCP-INV-STU20240035-02-1,INV-STU20240035-02,3250.71,26-12-2025,CHEQUE,Auto-generated payment
RCP-INV-STU20240036-01-1,INV-STU20240036-01,2910.92,30-11-2025,UPI,Auto-generated payment
RCP-INV-STU20240036-02-1,INV-STU20240036-02,1266.01,06-12-2025,CHEQUE,Auto-generated payment
RCP-INV-STU20240037-01-1,INV-STU20240037-01,642.20,02-10-2025,CHEQUE,Auto-generated payment
RCP-INV-STU20240037-01-2,INV-STU20240037-01,1268.56,04-09-2025,CASH,Auto-generated payment
RCP-INV-STU20240037-02-1,INV-STU20240037-02,2133.91,05-09-2025,ONLINE,Auto-generated payment
RCP-INV-STU20240037-02-2,INV-STU20240037-02,1333.34,16-08-2025,CHEQUE,Auto-generated payment
RCP-INV-STU20240038-01-1,INV-STU20240038-01,1023.62,15-11-2025,UPI,Auto-generated payment
RCP-INV-STU20240038-01-2,INV-STU20240038-01,1864.44,14-11-2025,UPI,Auto-generated payment
RCP-INV-STU20240038-02-1,INV-STU20240038-02,832.20,08-01-2026,CHEQUE,Auto-generated payment
RCP-INV-STU20240039-01-1,INV-STU20240039-01,570.93,01-10-2025,UPI,Auto-generated payment
RCP-INV-STU20240039-01-2,INV-STU20240039-01,1716.05,17-09-2025,CHEQUE,Auto-generated payment
RCP-INV-STU20240039-02-1,INV-STU20240039-02,2852.40,10-12-2025,ONLINE,Auto-generated payment
RCP-INV-STU20240039-02-2,INV-STU20240039-02,429.50,14-11-2025,CASH,Auto-generated payment
RCP-INV-STU20240040-01-1,INV-STU20240040-01,2999.04,22-09-2025,CASH,Auto-generated payment
RCP-INV-STU20240040-01-2,INV-STU20240040-01,5.79,03-09-2025,ONLINE,Auto-generated payment
RCP-INV-STU20240040-02-1,INV-STU20240040-02,2538.93,07-11-2025,ONLINE,Auto-generated payment
RCP-INV-STU20240041-01-1,INV-STU20240041-01,1908.85,11-12-2025,CASH,Auto-generated payment
RCP-INV-STU20240043-01-1,INV-STU20240043-01,1425.37,03-10-2025,CASH,Auto-generated payment
RCP-INV-STU20240043-01-2,INV-STU20240043-01,1223.60,23-09-2025,CHEQUE,Auto-generated payment
RCP-INV-STU20240044-01-1,INV-STU20240044-01,2488.78,14-09-2025,CHEQUE,Auto-generated payment
RCP-INV-STU20240044-02-1,INV-STU20240044-02,2997.30,27-09-2025,CASH,Auto-generated payment
RCP-INV-STU20240045-02-1,INV-STU20240045-02,2423.86,15-11-2025,CHEQUE,Auto-generated payment
RCP-INV-STU20240046-01-1,INV-STU20240046-01,1598.54,10-01-2026,UPI,Auto-generated payment
RCP-INV-STU20240046-01-2,INV-STU20240046-01,392.29,25-12-2025,UPI,Auto-generated payment
RCP-INV-STU20240046-02-1,INV-STU20240046-02,333.64,24-12-2025,UPI,Auto-generated payment
RCP-INV-STU20240046-02-2,INV-STU20240046-02,611.25,08-12-2025,CHEQUE,Auto-generated payment
RCP-INV-STU20240047-01-1,INV-STU20240047-01,2631.56,24-01-2026,ONLINE,Auto-generated payment
RCP-INV-STU20240047-01-2,INV-STU20240047-01,110.05,15-01-2026,CHEQUE,Auto-generated payment
RCP-INV-STU20240048-01-1,INV-STU20240048-01,905.98,13-11-2025,ONLINE,Auto-generated payment
RCP-INV-STU20240048-01-2,INV-STU20240048-01,1185.42,06-11-2025,CHEQUE,Auto-generated payment
RCP-INV-STU20240048-02-1,INV-STU20240048-02,3428.09,18-11-2025,CHEQUE,Auto-generated payment
RCP-INV-STU20240049-01-1,INV-STU20240049-01,2821.05,01-12-2025,CASH,Auto-generated payment
RCP-INV-STU20240049-01-2,INV-STU20240049-01,140.20,08-11-2025,ONLINE,Auto-generated payment
RCP-INV-STU20240049-02-1,INV-STU20240049-02,3219.86,21-01-2026,CASH,Auto-generated payment
RCP-INV-STU20240049-02-2,INV-STU20240049-02,245.28,23-12-2025,CASH,Auto-generated payment
RCP-INV-STU20240050-01-1,INV-STU20240050-01,1333.85,16-09-2025,CHEQUE,Auto-generated payment
RCP-INV-STU20240051-01-1,INV-STU20240051-01,2590.06,18-09-2025,CHEQUE,Auto-generated payment
RCP-INV-STU20240052-01-1,INV-STU20240052-01,305.47,13-12-2025,UPI,Auto-generated payment
RCP-INV-STU20240052-01-2,INV-STU20240052-01,1307.67,03-12-2025,CASH,Auto-generated payment
RCP-INV-STU20240052-02-1,INV-STU20240052-02,370.31,27-09-2025,CHEQUE,Auto-generated payment
RCP-INV-STU20240053-02-1,INV-STU20240053-02,3407.88,15-11-2025,ONLINE,Auto-generated payment
RCP-INV-STU20240053-02-2,INV-STU20240053-02,94.89,14-11-2025,ONLINE,Auto-generated payment
RCP-INV-STU20240054-01-1,INV-STU20240054-01,2314.34,27-10-2025,CASH,Auto-generated payment
RCP-INV-STU20240054-01-2,INV-STU20240054-01,289.26,31-10-2025,CASH,Auto-generated payment
RCP-INV-STU20240054-02-1,INV-STU20240054-02,1336.53,30-11-2025,CASH,Auto-generated payment
RCP-INV-STU20240055-01-1,INV-STU20240055-01,508.61,26-11-2025,CASH,Auto-generated payment
RCP-INV-STU20240055-01-2,INV-STU20240055-01,1690.09,24-10-2025,ONLINE,Auto-generated payment
RCP-INV-STU20240055-02-1,INV-STU20240055-02,2575.55,04-01-2026,UPI,Auto-generated payment
RCP-INV-STU20240055-02-2,INV-STU20240055-02,500.21,17-12-2025,CASH,Auto-generated payment
RCP-INV-STU20240056-01-1,INV-STU20240056-01,1647.73,20-09-2025,CHEQUE,Auto-generated payment
RCP-INV-STU20240056-01-2,INV-STU20240056-01,207.84,07-10-2025,ONLINE,Auto-generated payment
RCP-INV-STU20240056-02-1,INV-STU20240056-02,329.62,25-09-2025,UPI,Auto-generated payment
RCP-INV-STU20240057-02-1,INV-STU20240057-02,348.26,30-08-2025,UPI,Auto-generated payment
RCP-INV-STU20240057-02-2,INV-STU20240057-02,1537.11,06-09-2025,ONLINE,Auto-generated payment
RCP-INV-STU20240058-01-1,INV-STU20240058-01,1059.72,21-09-2025,CHEQUE,Auto-generated payment
RCP-INV-STU20240058-02-1,INV-STU20240058-02,1536.19,29-08-2025,ONLINE,Auto-generated payment
RCP-INV-STU20240060-02-1,INV-STU20240060-02,1314.07,17-12-2025,CASH,Auto-generated payment
RCP-INV-STU20240061-01-1,INV-STU20240061-01,1910.61,08-08-2025,CASH,Auto-generated payment
RCP-INV-STU20240061-01-2,INV-STU20240061-01,578.28,14-08-2025,CASH,Auto-generated payment
RCP-INV-STU20240061-02-1,INV-STU20240061-02,638.52,01-10-2025,CHEQUE,Auto-generated payment
RCP-INV-STU20240061-02-2,INV-STU20240061-02,2469.51,08-10-2025,ONLINE,Auto-generated payment
RCP-INV-STU20240062-02-1,INV-STU20240062-02,944.35,01-01-2026,ONLINE,Auto-generated payment
RCP-INV-STU20240062-02-2,INV-STU20240062-02,2146.33,06-01-2026,ONLINE,Auto-generated payment
RCP-INV-STU20240063-01-1,INV-STU20240063-01,223.77,12-01-2026,CASH,Auto-generated payment
RCP-INV-STU20240063-01-2,INV-STU20240063-01,1430.22,05-01-2026,UPI,Auto-generated payment
RCP-INV-STU20240065-01-1,INV-STU20240065-01,321.23,03-12-2025,UPI,Auto-generated payment
RCP-INV-STU20240065-01-2,INV-STU20240065-01,2396.31,09-12-2025,CHEQUE,Auto-generated payment
RCP-INV-STU20240066-02-1,INV-STU20240066-02,3266.30,09-10-2025,ONLINE,Auto-generated payment
RCP-INV-STU20240067-01-1,INV-STU20240067-01,637.51,29-10-2025,CASH,Auto-generated payment
RCP-INV-STU20240067-02-1,INV-STU20240067-02,978.19,14-10-2025,ONLINE,Auto-generated payment
RCP-INV-STU20240067-02-2,INV-STU20240067-02,1455.31,20-10-2025,ONLINE,Auto-generated payment
RCP-INV-STU20240068-01-1,INV-STU20240068-01,2274.54,07-09-2025,UPI,Auto-generated payment
RCP-INV-STU20240068-02-1,INV-STU20240068-02,333.39,28-08-2025,ONLINE,Auto-generated payment
RCP-INV-STU20240068-02-2,INV-STU20240068-02,1384.16,08-08-2025,CASH,Auto-generated payment
RCP-INV-STU20240069-02-1,INV-STU20240069-02,1562.07,10-12-2025,UPI,Auto-generated payment
RCP-INV-STU20240070-01-1,INV-STU20240070-01,593.95,27-12-2025,ONLINE,Auto-generated payment
RCP-INV-STU20240070-01-2,INV-STU20240070-01,800.55,09-01-2026,ONLINE,Auto-generated payment
RCP-INV-STU20240070-02-1,INV-STU20240070-02,2197.29,24-09-2025,CASH,Auto-generated payment
RCP-INV-STU20240071-01-1,INV-STU20240071-01,1193.00,13-09-2025,UPI,Auto-generated payment
RCP-INV-STU20240071-01-2,INV-STU20240071-01,259.16,10-08-2025,UPI,Auto-generated payment
RCP-INV-STU20240071-02-1,INV-STU20240071-02,2093.42,15-12-2025,UPI,Auto-generated payment
RCP-INV-STU20240071-02-2,INV-STU20240071-02,639.16,15-12-2025,CHEQUE,Auto-generated payment
RCP-INV-STU20240072-02-1,INV-STU20240072-02,2374.64,24-09-2025,ONLINE,Auto-generated payment
RCP-INV-STU20240072-02-2,INV-STU20240072-02,694.55,23-10-2025,CASH,Auto-generated payment
RCP-INV-STU20240073-01-1,INV-STU20240073-01,207.44,11-10-2025,UPI,Auto-generated payment
RCP-INV-STU20240073-01-2,INV-STU20240073-01,2523.01,15-09-2025,CASH,Auto-generated payment
RCP-INV-STU20240074-01-1,INV-STU20240074-01,1112.95,21-01-2026,CHEQUE,Auto-generated payment
RCP-INV-STU20240074-02-1,INV-STU20240074-02,1185.01,10-12-2025,ONLINE,Auto-generated payment
RCP-INV-STU20240075-01-1,INV-STU20240075-01,220.82,30-09-2025,CHEQUE,Auto-generated payment
RCP-INV-STU20240075-02-1,INV-STU20240075-02,194.12,07-10-2025,CASH,Auto-generated payment
RCP-INV-STU20240075-02-2,INV-STU20240075-02,484.79,22-09-2025,CASH,Auto-generated payment
RCP-INV-STU20240076-01-1,INV-STU20240076-01,2549.52,17-11-2025,ONLINE,Auto-generated payment
RCP-INV-STU20240076-01-2,INV-STU20240076-01,406.43,18-11-2025,ONLINE,Auto-generated payment
RCP-INV-STU20240077-01-1,INV-STU20240077-01,2237.07,06-10-2025,CASH,Auto-generated payment
RCP-INV-STU20240077-01-2,INV-STU20240077-01,762.32,03-10-2025,CHEQUE,Auto-generated payment
RCP-INV-STU20240078-01-1,INV-STU20240078-01,1404.90,24-10-2025,ONLINE,Auto-generated payment
RCP-INV-STU20240078-01-2,INV-STU20240078-01,676.46,03-11-2025,CHEQUE,Auto-generated payment
RCP-INV-STU20240079-02-1,INV-STU20240079-02,552.75,10-11-2025,ONLINE,Auto-generated payment
RCP-INV-STU20240079-02-2,INV-STU20240079-02,670.38,14-10-2025,ONLINE,Auto-generated payment
RCP-INV-STU20240080-01-1,INV-STU20240080-01,927.27,13-08-2025,CASH,Auto-generated payment
RCP-INV-STU20240081-01-1,INV-STU20240081-01,2383.78,25-11-2025,CASH,Auto-generated payment
RCP-INV-STU20240081-02-1,INV-STU20240081-02,1859.58,30-10-2025,CASH,Auto-generated payment
RCP-INV-STU20240082-02-1,INV-STU20240082-02,2215.19,11-08-2025,CASH,Auto-generated payment
RCP-INV-STU20240082-02-2,INV-STU20240082-02,109.30,04-09-2025,UPI,Auto-generated payment
RCP-INV-STU20240083-01-1,INV-STU20240083-01,541.65,21-08-2025,CASH,Auto-generated payment
RCP-INV-STU20240084-01-1,INV-STU20240084-01,338.84,10-09-2025,UPI,Auto-generated payment
RCP-INV-STU20240085-01-1,INV-STU20240085-01,1669.09,07-11-2025,CASH,Auto-generated payment
RCP-INV-STU20240085-01-2,INV-STU20240085-01,298.55,03-12-2025,CASH,Auto-generated payment
RCP-INV-STU20240086-01-1,INV-STU20240086-01,2483.92,27-09-2025,UPI,Auto-generated payment
RCP-INV-STU20240086-01-2,INV-STU20240086-01,316.19,13-10-2025,CHEQUE,Auto-generated payment
RCP-INV-STU20240086-02-1,INV-STU20240086-02,2462.45,06-09-2025,UPI,Auto-generated payment
RCP-INV-STU20240086-02-2,INV-STU20240086-02,505.21,05-08-2025,ONLINE,Auto-generated payment
RCP-INV-STU20240087-01-1,INV-STU20240087-01,2259.66,27-10-2025,UPI,Auto-generated payment
RCP-INV-STU20240087-02-1,INV-STU20240087-02,1044.14,21-09-2025,ONLINE,Auto-generated payment
RCP-INV-STU20240088-01-1,INV-STU20240088-01,315.79,17-12-2025,CASH,Auto-generated payment
RCP-INV-STU20240088-02-1,INV-STU20240088-02,521.38,12-09-2025,CASH,Auto-generated payment
RCP-INV-STU20240088-02-2,INV-STU20240088-02,686.28,04-10-2025,CASH,Auto-generated payment
RCP-INV-STU20240089-01-1,INV-STU20240089-01,1747.46,06-10-2025,ONLINE,Auto-generated payment
RCP-INV-STU20240089-01-2,INV-STU20240089-01,993.71,07-09-2025,ONLINE,Auto-generated payment
RCP-INV-STU20240090-01-1,INV-STU20240090-01,855.06,27-10-2025,ONLINE,Auto-generated payment
RCP-INV-STU20240091-02-1,INV-STU20240091-02,1614.95,29-08-2025,UPI,Auto-generated payment
RCP-INV-STU20240093-01-1,INV-STU20240093-01,2132.82,07-11-2025,ONLINE,Auto-generated payment
RCP-INV-STU20240093-01-2,INV-STU20240093-01,207.74,23-11-2025,CASH,Auto-generated payment
RCP-INV-STU20240093-02-1,INV-STU20240093-02,2114.59,13-09-2025,ONLINE,Auto-generated payment
RCP-INV-STU20240094-01-1,INV-STU20240094-01,1296.49,16-12-2025,CASH,Auto-generated payment
RCP-INV-STU20240094-02-1,INV-STU20240094-02,2775.72,11-08-2025,ONLINE,Auto-generated payment
RCP-INV-STU20240095-01-1,INV-STU20240095-01,2921.11,18-09-2025,UPI,Auto-generated payment
RCP-INV-STU20240096-01-1,INV-STU20240096-01,2985.12,05-11-2025,CHEQUE,Auto-generated payment
RCP-INV-STU20240096-02-1,INV-STU20240096-02,1863.82,23-12-2025,CHEQUE,Auto-generated payment
RCP-INV-STU20240096-02-2,INV-STU20240096-02,452.18,12-12-2025,ONLINE,Auto-generated payment
RCP-INV-STU20240097-01-1,INV-STU20240097-01,447.62,18-12-2025,ONLINE,Auto-generated payment
RCP-INV-STU20240097-01-2,INV-STU20240097-01,1966.08,19-12-2025,CASH,Auto-generated payment
RCP-INV-STU20240098-01-1,INV-STU20240098-01,283.40,08-12-2025,CASH,Auto-generated payment
RCP-INV-STU20240100-02-1,INV-STU20240100-02,1819.99,10-11-2025,CHEQUE,Auto-generated payment
RCP-INV-STU20240100-02-2,INV-STU20240100-02,918.50,28-11-2025,UPI,Auto-generated payment
RCP-INV-STU20240101-02-1,INV-STU20240101-02,1746.36,26-09-2025,UPI,Auto-generated payment
RCP-INV-STU20240102-01-1,INV-STU20240102-01,2198.52,04-11-2025,UPI,Auto-generated payment
RCP-INV-STU20240103-02-1,INV-STU20240103-02,743.80,13-10-2025,ONLINE,Auto-generated payment
RCP-INV-STU20240103-02-2,INV-STU20240103-02,512.06,08-11-2025,CHEQUE,Auto-generated payment
RCP-INV-STU20240104-01-1,INV-STU20240104-01,392.55,01-01-2026,ONLINE,Auto-generated payment
RCP-INV-STU20240104-01-2,INV-STU20240104-01,1122.75,22-12-2025,CASH,Auto-generated payment
RCP-INV-STU20240104-02-1,INV-STU20240104-02,2355.81,22-09-2025,UPI,Auto-generated payment
RCP-INV-STU20240105-01-1,INV-STU20240105-01,295.36,01-10-2025,CASH,Auto-generated payment
RCP-INV-STU20240105-01-2,INV-STU20240105-01,356.00,06-10-2025,UPI,Auto-generated payment
RCP-INV-STU20240105-02-1,INV-STU20240105-02,1030.93,05-01-2026,UPI,Auto-generated payment
RCP-INV-STU20240105-02-2,INV-STU20240105-02,1379.39,07-01-2026,CHEQUE,Auto-generated payment
RCP-INV-STU20240106-01-1,INV-STU20240106-01,2863.19,06-10-2025,CASH,Auto-generated payment
RCP-INV-STU20240106-01-2,INV-STU20240106-01,131.85,10-10-2025,ONLINE,Auto-generated payment
RCP-INV-STU20240106-02-1,INV-STU20240106-02,777.87,27-08-2025,CASH,Auto-generated payment
RCP-INV-STU20240107-01-1,INV-STU20240107-01,2981.94,01-12-2025,ONLINE,Auto-generated payment
RCP-INV-STU20240107-01-2,INV-STU20240107-01,45.59,09-11-2025,CASH,Auto-generated payment
RCP-INV-STU20240107-02-1,INV-STU20240107-02,3168.53,29-08-2025,ONLINE,Auto-generated payment
RCP-INV-STU20240107-02-2,INV-STU20240107-02,111.21,03-09-2025,UPI,Auto-generated payment
RCP-INV-STU20240108-01-1,INV-STU20240108-01,2478.09,25-08-2025,CASH,Auto-generated payment
RCP-INV-STU20240109-01-1,INV-STU20240109-01,778.61,09-11-2025,CASH,Auto-generated payment
RCP-INV-STU20240109-01-2,INV-STU20240109-01,1343.42,10-10-2025,CASH,Auto-generated payment
RCP-INV-STU20240109-02-1,INV-STU20240109-02,939.03,08-12-2025,ONLINE,Auto-generated payment
RCP-INV-STU20240109-02-2,INV-STU20240109-02,2464.35,23-11-2025,ONLINE,Auto-generated payment
RCP-INV-STU20240110-01-1,INV-STU20240110-01,708.38,20-11-2025,UPI,Auto-generated payment
RCP-INV-STU20240110-01-2,INV-STU20240110-01,1229.12,20-10-2025,CHEQUE,Auto-generated payment
RCP-INV-STU20240110-02-1,INV-STU20240110-02,2554.93,05-09-2025,UPI,Auto-generated payment
RCP-INV-STU20240110-02-2,INV-STU20240110-02,578.49,10-09-2025,CHEQUE,Auto-generated payment
RCP-INV-STU20240111-02-1,INV-STU20240111-02,191.56,06-11-2025,CHEQUE,Auto-generated payment
RCP-INV-STU20240111-02-2,INV-STU20240111-02,2909.85,20-10-2025,ONLINE,Auto-generated payment
RCP-INV-STU20240112-02-1,INV-STU20240112-02,2690.52,13-01-2026,CASH,Auto-generated payment
RCP-INV-STU20240112-02-2,INV-STU20240112-02,473.87,15-12-2025,CHEQUE,Auto-generated payment
RCP-INV-STU20240113-02-1,INV-STU20240113-02,1690.14,03-11-2025,CHEQUE,Auto-generated payment
RCP-INV-STU20240113-02-2,INV-STU20240113-02,1527.02,14-11-2025,UPI,Auto-generated payment
RCP-INV-STU20240115-01-1,INV-STU20240115-01,2091.71,04-11-2025,CHEQUE,Auto-generated payment
RCP-INV-STU20240116-01-1,INV-STU20240116-01,1626.44,29-12-2025,CHEQUE,Auto-generated payment
RCP-INV-STU20240116-02-1,INV-STU20240116-02,2437.82,04-09-2025,UPI,Auto-generated payment
RCP-INV-STU20240117-01-1,INV-STU20240117-01,2308.34,29-12-2025,UPI,Auto-generated payment
RCP-INV-STU20240117-02-1,INV-STU20240117-02,2161.98,05-01-2026,UPI,Auto-generated payment
RCP-INV-STU20240117-02-2,INV-STU20240117-02,109.18,25-12-2025,CASH,Auto-generated payment
RCP-INV-STU20240118-02-1,INV-STU20240118-02,1351.23,24-09-2025,UPI,Auto-generated payment
RCP-INV-STU20240118-02-2,INV-STU20240118-02,140.46,14-09-2025,CASH,Auto-generated payment
RCP-INV-STU20240119-01-1,INV-STU20240119-01,1250.20,05-10-2025,UPI,Auto-generated payment
