receipt_number,invoice_number,amount_paid,payment_date,payment_mode,remarks
RCP/2026/0108,INV2026010108,1800.00,15-01-2026,CASH,
RCP/2026/0109,INV2026010109,2200.40,16-01-2026,CARD,Card - last4 4242
RCP/2026/0110,INV2026010110,150.50,17-01-2026,OTHER,Adjustment
RCP/2026/0111,INV2026010111,5000.00,18-01-2026,BANK_TRANSFER,IMPS ref 555666
RCP/2026/0112,INV2026010112,325.00,19-01-2026,CASH,Books
RCP/2026/0113,INV2026010113,4100.75,20-01-2026,UPI,GooglePay
RCP/2026/0114,INV2026010114,2750.00,21-01-2026,NET_BANKING,Online transfer
RCP/2026/0115,INV2026010115,630.60,22-01-2026,CARD,EMI part
RCP/2026/0116,INV2026010116,845.00,23-01-2026,CHEQUE,Cheque 9987
RCP/2026/0117,INV2026010117,12000.00,24-01-2026,CASH,Tuition fee
RCP/2026/0118,INV2026010118,49.99,25-01-2026,WALLET,Snacks
RCP/2026/0119,INV2026010119,275.25,26-01-2026,UPI,Split payment
RCP/2026/0120,INV2026010120,1999.00,27-01-2026,CARD,One-time fee
RCP/2026/0121,INV2026010121,360.40,28-01-2026,BANK_TRANSFER,IFS utr 777888
RCP/2026/0122,INV2026010122,800.00,29-01-2026,CASH,Transport fee
RCP/2026/0123,INV2026010123,1450.75,30-01-2026,UPI,Auto-pay
RCP/2026/0124,INV2026010124,2300.00,31-01-2026,NET_BANKING,Salary deduction
RCP/2026/0125,INV2026010125,50.00,01-01-2026,OTHER,Service charge
RCP/2026/0126,INV2026010126,2750.25,02-01-2026,CARD,POS terminal
RCP/2026/0127,INV2026010127,100.00,03-01-2026,CASH,LATE fine
RCP/2026/0128,INV2026010128,4120.10,04-01-2026,UPI,UPI ref: PAY998
RCP/2026/0129,INV2026010129,520.00,05-01-2026,CHEQUE,Cheque deposit
RCP/2026/0130,INV2026010130,9999.99,06-01-2026,BANK_TRANSFER,Large corporate payment
