admission_number,class_name,section_name,roll_number,enrollment_date,academic_year
STU20240149,Class 9,A,149,01-04-2024,2024-25
STU20240150,Class 9,B,150,01-04-2024,2024-25
STU20240151,Class 9,C,151,01-04-2024,2024-25
STU20240152,Class 9,D,152,01-04-2024,2024-25
STU20240153,Class 9,A,153,01-04-2024,2024-25
STU20240154,Class 9,B,154,01-04-2024,2024-25
STU20240155,Class 9,C,155,01-04-2024,2024-25
STU20240156,Class 9,D,156,01-04-2024,2024-25
STU20240157,Class 9,A,157,01-04-2024,2024-25
STU20240158,Class 9,B,158,01-04-2024,2024-25
STU20240159,Class 9,C,159,01-04-2024,2024-25
STU20240160,Class 9,D,160,01-04-2024,2024-25
STU20240161,Class 9,A,161,01-04-2024,2024-25
STU20240162,Class 9,B,162,01-04-2024,2024-25
STU20240163,Class 9,C,163,01-04-2024,2024-25
STU20240164,Class 9,D,164,01-04-2024,2024-25
STU20240165,Class 9,A,165,01-04-2024,2024-25
STU20240166,Class 9,B,166,01-04-2024,2024-25
STU20240167,Class 9,C,167,01-04-2024,2024-25
STU20240168,Class 9,D,168,01-04-2024,2024-25
STU20240169,Class 9,A,169,01-04-2024,2024-25
STU20240170,Class 9,B,170,01-04-2024,2024-25
STU20240171,Class 9,C,171,01-04-2024,2024-25
STU20240172,Class 9,D,172,01-04-2024,2024-25
STU20240173,Class 9,A,173,01-04-2024,2024-25
STU20240174,Class 9,B,174,01-04-2024,2024-25
STU20240175,Class 9,C,175,01-04-2024,2024-25
STU20240176,Class 9,D,176,01-04-2024,2024-25
STU20240177,Class 9,A,177,01-04-2024,2024-25
STU20240178,Class 9,B,178,01-04-2024,2024-25
STU20240179,Class 9,C,179,01-04-2024,2024-25
STU20240180,Class 9,D,180,01-04-2024,2024-25
STU20240181,Class 9,A,181,01-04-2024,2024-25
STU20240182,Class 9,B,182,01-04-2024,2024-25
STU20240183,Class 9,C,183,01-04-2024,2024-25
STU20240184,Class 9,D,184,01-04-2024,2024-25
STU20240185,Class 9,A,185,01-04-2024,2024-25
STU20240186,Class 9,B,186,01-04-2024,2024-25
STU20240187,Class 9,C,187,01-04-2024,2024-25
STU20240188,Class 9,D,188,01-04-2024,2024-25
STU20240189,Class 9,A,189,01-04-2024,2024-25
STU20240190,Class 9,B,190,01-04-2024,2024-25
STU20240191,Class 9,C,191,01-04-2024,2024-25
STU20240192,Class 9,D,192,01-04-2024,2024-25
STU20240193,Class 9,A,193,01-04-2024,2024-25
STU20240194,Class 9,B,194,01-04-2024,2024-25
STU20240195,Class 9,C,195,01-04-2024,2024-25
STU20240196,Class 9,D,196,01-04-2024,2024-25
STU20240197,Class 9,A,197,01-04-2024,2024-25
STU20240198,Class 9,B,198,01-04-2024,2024-25
STU20240199,Class 9,C,199,01-04-2024,2024-25
STU20240200,Class 9,D,200,01-04-2024,2024-25
STU20240201,Class 8,A,201,01-04-2024,2024-25
STU20240202,Class 8,B,202,01-04-2024,2024-25
STU20240203,Class 8,C,203,01-04-2024,2024-25
STU20240204,Class 8,D,204,01-04-2024,2024-25
STU20240205,Class 8,A,205,01-04-2024,2024-25
STU20240206,Class 8,B,206,01-04-2024,2024-25
STU20240207,Class 8,C,207,01-04-2024,2024-25
STU20240208,Class 8,D,208,01-04-2024,2024-25
STU20240209,Class 8,A,209,01-04-2024,2024-25
STU20240210,Class 8,B,210,01-04-2024,2024-25
STU20240211,Class 8,C,211,01-04-2024,2024-25
STU20240212,Class 8,D,212,01-04-2024,2024-25
STU20240213,Class 8,A,213,01-04-2024,2024-25
STU20240214,Class 8,B,214,01-04-2024,2024-25
STU20240215,Class 8,C,215,01-04-2024,2024-25
STU20240216,Class 8,D,216,01-04-2024,2024-25
STU20240217,Class 8,A,217,01-04-2024,2024-25
STU20240218,Class 8,B,218,01-04-2024,2024-25
STU20240219,Class 8,C,219,01-04-2024,2024-25
STU20240220,Class 8,D,220,01-04-2024,2024-25
STU20240221,Class 8,A,221,01-04-2024,2024-25
STU20240222,Class 8,B,222,01-04-2024,2024-25
STU20240223,Class 8,C,223,01-04-2024,2024-25
STU20240224,Class 8,D,224,01-04-2024,2024-25
STU20240225,Class 8,A,225,01-04-2024,2024-25
STU20240226,Class 8,B,226,01-04-2024,2024-25
STU20240227,Class 8,C,227,01-04-2024,2024-25
STU20240228,Class 8,D,228,01-04-2024,2024-25
STU20240229,Class 8,A,229,01-04-2024,2024-25
STU20240230,Class 8,B,230,01-04-2024,2024-25
STU20240231,Class 8,C,231,01-04-2024,2024-25
STU20240232,Class 8,D,232,01-04-2024,2024-25
STU20240233,Class 8,A,233,01-04-2024,2024-25
STU20240234,Class 8,B,234,01-04-2024,2024-25
STU20240235,Class 8,C,235,01-04-2024,2024-25
STU20240236,Class 8,D,236,01-04-2024,2024-25
STU20240237,Class 8,A,237,01-04-2024,2024-25
STU20240238,Class 8,B,238,01-04-2024,2024-25
STU20240239,Class 8,C,239,01-04-2024,2024-25
STU20240240,Class 8,D,240,01-04-2024,2024-25
STU20240241,Class 8,A,241,01-04-2024,2024-25
STU20240242,Class 8,B,242,01-04-2024,2024-25
STU20240243,Class 8,C,243,01-04-2024,2024-25
STU20240244,Class 8,D,244,01-04-2024,2024-25
STU20240245,Class 8,A,245,01-04-2024,2024-25
STU20240246,Class 8,B,246,01-04-2024,2024-25
STU20240247,Class 8,C,247,01-04-2024,2024-25
STU20240248,Class 8,D,248,01-04-2024,2024-25
STU20240249,Class 8,A,249,01-04-2024,2024-25
STU20240250,Class 8,B,250,01-04-2024,2024-25
STU20240251,Class 8,C,251,01-04-2024,2024-25
STU20240252,Class 8,D,252,01-04-2024,2024-25
STU20240253,Class 8,A,253,01-04-2024,2024-25
STU20240254,Class 8,B,254,01-04-2024,2024-25
STU20240255,Class 8,C,255,01-04-2024,2024-25
STU20240256,Class 8,D,256,01-04-2024,2024-25
STU20240257,Class 8,A,257,01-04-2024,2024-25
STU20240258,Class 8,B,258,01-04-2024,2024-25
STU20240259,Class 8,C,259,01-04-2024,2024-25
STU20240260,Class 8,D,260,01-04-2024,2024-25
STU20240261,Class 8,A,261,01-04-2024,2024-25
STU20240262,Class 8,B,262,01-04-2024,2024-25
STU20240263,Class 8,C,263,01-04-2024,2024-25
STU20240264,Class 8,D,264,01-04-2024,2024-25
STU20240265,Class 8,A,265,01-04-2024,2024-25
STU20240266,Class 8,B,266,01-04-2024,2024-25
STU20240267,Class 8,C,267,01-04-2024,2024-25
STU20240268,Class 8,D,268,01-04-2024,2024-25
STU20240269,Class 8,A,269,01-04-2024,2024-25
STU20240270,Class 8,B,270,01-04-2024,2024-25
STU20240271,Class 8,C,271,01-04-2024,2024-25
STU20240272,Class 8,D,272,01-04-2024,2024-25
STU20240273,Class 8,A,273,01-04-2024,2024-25
STU20240274,Class 8,B,274,01-04-2024,2024-25
STU20240275,Class 8,C,275,01-04-2024,2024-25
STU20240276,Class 8,D,276,01-04-2024,2024-25
STU20240277,Class 8,A,277,01-04-2024,2024-25
STU20240278,Class 8,B,278,01-04-2024,2024-25
STU20240279,Class 8,C,279,01-04-2024,2024-25
STU20240280,Class 8,D,280,01-04-2024,2024-25
STU20240281,Class 8,A,281,01-04-2024,2024-25
STU20240282,Class 8,B,282,01-04-2024,2024-25
STU20240283,Class 8,C,283,01-04-2024,2024-25
STU20240284,Class 8,D,284,01-04-2024,2024-25
STU20240285,Class 8,A,285,01-04-2024,2024-25
STU20240286,Class 8,B,286,01-04-2024,2024-25
STU20240287,Class 8,C,287,01-04-2024,2024-25
STU20240288,Class 8,D,288,01-04-2024,2024-25
STU20240289,Class 8,A,289,01-04-2024,2024-25
STU20240290,Class 8,B,290,01-04-2024,2024-25
STU20240291,Class 8,C,291,01-04-2024,2024-25
STU20240292,Class 8,D,292,01-04-2024,2024-25
STU20240293,Class 8,A,293,01-04-2024,2024-25
STU20240294,Class 8,B,294,01-04-2024,2024-25
STU20240295,Class 8,C,295,01-04-2024,2024-25
STU20240296,Class 8,D,296,01-04-2024,2024-25
STU20240297,Class 8,A,297,01-04-2024,2024-25
STU20240298,Class 8,B,298,01-04-2024,2024-25
STU20240299,Class 8,C,299,01-04-2024,2024-25
STU20240300,Class 8,D,300,01-04-2024,2024-25
STU20240301,Class 10,A,301,01-04-2024,2024-25
STU20240302,Class 10,B,302,01-04-2024,2024-25
STU20240303,Class 10,C,303,01-04-2024,2024-25
STU20240304,Class 10,D,304,01-04-2024,2024-25
STU20240305,Class 10,A,305,01-04-2024,2024-25
STU20240306,Class 10,B,306,01-04-2024,2024-25
STU20240307,Class 10,C,307,01-04-2024,2024-25
STU20240308,Class 10,D,308,01-04-2024,2024-25
STU20240309,Class 10,A,309,01-04-2024,2024-25
STU20240310,Class 10,B,310,01-04-2024,2024-25
STU20240311,Class 10,C,311,01-04-2024,2024-25
STU20240312,Class 10,D,312,01-04-2024,2024-25
STU20240313,Class 10,A,313,01-04-2024,2024-25
STU20240314,Class 10,B,314,01-04-2024,2024-25
STU20240315,Class 10,C,315,01-04-2024,2024-25
STU20240316,Class 10,D,316,01-04-2024,2024-25
STU20240317,Class 10,A,317,01-04-2024,2024-25
STU20240318,Class 10,B,318,01-04-2024,2024-25
STU20240319,Class 10,C,319,01-04-2024,2024-25
STU20240320,Class 10,D,320,01-04-2024,2024-25
STU20240321,Class 10,A,321,01-04-2024,2024-25
STU20240322,Class 10,B,322,01-04-2024,2024-25
STU20240323,Class 10,C,323,01-04-2024,2024-25
STU20240324,Class 10,D,324,01-04-2024,2024-25
STU20240325,Class 10,A,325,01-04-2024,2024-25
STU20240326,Class 10,B,326,01-04-2024,2024-25
STU20240327,Class 10,C,327,01-04-2024,2024-25
STU20240328,Class 10,D,328,01-04-2024,2024-25
STU20240329,Class 10,A,329,01-04-2024,2024-25
STU20240330,Class 10,B,330,01-04-2024,2024-25
STU20240331,Class 10,C,331,01-04-2024,2024-25
STU20240332,Class 10,D,332,01-04-2024,2024-25
STU20240333,Class 10,A,333,01-04-2024,2024-25
STU20240334,Class 10,B,334,01-04-2024,2024-25
STU20240335,Class 10,C,335,01-04-2024,2024-25
STU20240336,Class 10,D,336,01-04-2024,2024-25
STU20240337,Class 10,A,337,01-04-2024,2024-25
STU20240338,Class 10,B,338,01-04-2024,2024-25
STU20240339,Class 10,C,339,01-04-2024,2024-25
STU20240340,Class 10,D,340,01-04-2024,2024-25
STU20240341,Class 10,A,341,01-04-2024,2024-25
STU20240342,Class 10,B,342,01-04-2024,2024-25
STU20240343,Class 10,C,343,01-04-2024,2024-25
STU20240344,Class 10,D,344,01-04-2024,2024-25
STU20240345,Class 10,A,345,01-04-2024,2024-25
STU20240346,Class 10,B,346,01-04-2024,2024-25
STU20240347,Class 10,C,347,01-04-2024,2024-25
STU20240348,Class 10,D,348,01-04-2024,2024-25
STU20240349,Class 10,A,349,01-04-2024,2024-25
STU20240350,Class 10,B,350,01-04-2024,2024-25
STU20240351,Class 10,C,351,01-04-2024,2024-25
STU20240352,Class 10,D,352,01-04-2024,2024-25
STU20240353,Class 10,A,353,01-04-2024,2024-25
STU20240354,Class 10,B,354,01-04-2024,2024-25
STU20240355,Class 10,C,355,01-04-2024,2024-25
STU20240356,Class 10,D,356,01-04-2024,2024-25
STU20240357,Class 10,A,357,01-04-2024,2024-25
STU20240358,Class 10,B,358,01-04-2024,2024-25
STU20240359,Class 10,C,359,01-04-2024,2024-25
STU20240360,Class 10,D,360,01-04-2024,2024-25
STU20240361,Class 10,A,361,01-04-2024,2024-25
STU20240362,Class 10,B,362,01-04-2024,2024-25
STU20240363,Class 10,C,363,01-04-2024,2024-25
STU20240364,Class 10,D,364,01-04-2024,2024-25
STU20240365,Class 10,A,365,01-04-2024,2024-25
STU20240366,Class 10,B,366,01-04-2024,2024-25
STU20240367,Class 10,C,367,01-04-2024,2024-25
STU20240368,Class 10,D,368,01-04-2024,2024-25
STU20240369,Class 10,A,369,01-04-2024,2024-25
STU20240370,Class 10,B,370,01-04-2024,2024-25
STU20240371,Class 10,C,371,01-04-2024,2024-25
STU20240372,Class 10,D,372,01-04-2024,2024-25
STU20240373,Class 10,A,373,01-04-2024,2024-25
STU20240374,Class 10,B,374,01-04-2024,2024-25
STU20240375,Class 10,C,375,01-04-2024,2024-25
STU20240376,Class 10,D,376,01-04-2024,2024-25
STU20240377,Class 10,A,377,01-04-2024,2024-25
STU20240378,Class 10,B,378,01-04-2024,2024-25
STU20240379,Class 10,C,379,01-04-2024,2024-25
STU20240380,Class 10,D,380,01-04-2024,2024-25
STU20240381,Class 10,A,381,01-04-2024,2024-25
STU20240382,Class 10,B,382,01-04-2024,2024-25
STU20240383,Class 10,C,383,01-04-2024,2024-25
STU20240384,Class 10,D,384,01-04-2024,2024-25
STU20240385,Class 10,A,385,01-04-2024,2024-25
STU20240386,Class 10,B,386,01-04-2024,2024-25
STU20240387,Class 10,C,387,01-04-2024,2024-25
STU20240388,Class 10,D,388,01-04-2024,2024-25
STU20240389,Class 10,A,389,01-04-2024,2024-25
STU20240390,Class 10,B,390,01-04-2024,2024-25
STU20240391,Class 10,C,391,01-04-2024,2024-25
STU20240392,Class 10,D,392,01-04-2024,2024-25
STU20240393,Class 10,A,393,01-04-2024,2024-25
STU20240394,Class 10,B,394,01-04-2024,2024-25
STU20240395,Class 10,C,395,01-04-2024,2024-25
STU20240396,Class 10,D,396,01-04-2024,2024-25
STU20240397,Class 10,A,397,01-04-2024,2024-25
STU20240398,Class 10,B,398,01-04-2024,2024-25
STU20240399,Class 10,C,399,01-04-2024,2024-25
STU20240400,Class 10,D,400,01-04-2024,2024-25
STU20240401,Class 9,A,401,01-04-2024,2024-25
STU20240402,Class 9,B,402,01-04-2024,2024-25
STU20240403,Class 9,C,403,01-04-2024,2024-25
STU20240404,Class 9,D,404,01-04-2024,2024-25
STU20240405,Class 9,A,405,01-04-2024,2024-25
STU20240406,Class 9,B,406,01-04-2024,2024-25
STU20240407,Class 9,C,407,01-04-2024,2024-25
STU20240408,Class 9,D,408,01-04-2024,2024-25
STU20240409,Class 9,A,409,01-04-2024,2024-25
STU20240410,Class 9,B,410,01-04-2024,2024-25
STU20240411,Class 9,C,411,01-04-2024,2024-25
STU20240412,Class 9,D,412,01-04-2024,2024-25
STU20240413,Class 9,A,413,01-04-2024,2024-25
STU20240414,Class 9,B,414,01-04-2024,2024-25
STU20240415,Class 9,C,415,01-04-2024,2024-25
STU20240416,Class 9,D,416,01-04-2024,2024-25
STU20240417,Class 9,A,417,01-04-2024,2024-25
STU20240418,Class 9,B,418,01-04-2024,2024-25
STU20240419,Class 9,C,419,01-04-2024,2024-25
STU20240420,Class 9,D,420,01-04-2024,2024-25
STU20240421,Class 9,A,421,01-04-2024,2024-25
STU20240422,Class 9,B,422,01-04-2024,2024-25
STU20240423,Class 9,C,423,01-04-2024,2024-25
STU20240424,Class 9,D,424,01-04-2024,2024-25
STU20240425,Class 9,A,425,01-04-2024,2024-25
STU20240426,Class 9,B,426,01-04-2024,2024-25
STU20240427,Class 9,C,427,01-04-2024,2024-25
STU20240428,Class 9,D,428,01-04-2024,2024-25
STU20240429,Class 9,A,429,01-04-2024,2024-25
STU20240430,Class 9,B,430,01-04-2024,2024-25
STU20240431,Class 9,C,431,01-04-2024,2024-25
STU20240432,Class 9,D,432,01-04-2024,2024-25
STU20240433,Class 9,A,433,01-04-2024,2024-25
STU20240434,Class 9,B,434,01-04-2024,2024-25
STU20240435,Class 9,C,435,01-04-2024,2024-25
STU20240436,Class 9,D,436,01-04-2024,2024-25
STU20240437,Class 9,A,437,01-04-2024,2024-25
STU20240438,Class 9,B,438,01-04-2024,2024-25
STU20240439,Class 9,C,439,01-04-2024,2024-25
STU20240440,Class 9,D,440,01-04-2024,2024-25
STU20240441,Class 9,A,441,01-04-2024,2024-25
STU20240442,Class 9,B,442,01-04-2024,2024-25
STU20240443,Class 9,C,443,01-04-2024,2024-25
STU20240444,Class 9,D,444,01-04-2024,2024-25
STU20240445,Class 9,A,445,01-04-2024,2024-25
STU20240446,Class 9,B,446,01-04-2024,2024-25
STU20240447,Class 9,C,447,01-04-2024,2024-25
STU20240448,Class 9,D,448,01-04-2024,2024-25
STU20240449,Class 9,A,449,01-04-2024,2024-25
STU20240450,Class 9,B,450,01-04-2024,2024-25
STU20240451,Class 9,C,451,01-04-2024,2024-25
STU20240452,Class 9,D,452,01-04-2024,2024-25
STU20240453,Class 9,A,453,01-04-2024,2024-25
STU20240454,Class 9,B,454,01-04-2024,2024-25
STU20240455,Class 9,C,455,01-04-2024,2024-25
STU20240456,Class 9,D,456,01-04-2024,2024-25
STU20240457,Class 9,A,457,01-04-2024,2024-25
STU20240458,Class 9,B,458,01-04-2024,2024-25
STU20240459,Class 9,C,459,01-04-2024,2024-25
STU20240460,Class 9,D,460,01-04-2024,2024-25
STU20240461,Class 9,A,461,01-04-2024,2024-25
STU20240462,Class 9,B,462,01-04-2024,2024-25
STU20240463,Class 9,C,463,01-04-2024,2024-25
STU20240464,Class 9,D,464,01-04-2024,2024-25
STU20240465,Class 9,A,465,01-04-2024,2024-25
STU20240466,Class 9,B,466,01-04-2024,2024-25
STU20240467,Class 9,C,467,01-04-2024,2024-25
STU20240468,Class 9,D,468,01-04-2024,2024-25
STU20240469,Class 9,A,469,01-04-2024,2024-25
STU20240470,Class 9,B,470,01-04-2024,2024-25
STU20240471,Class 9,C,471,01-04-2024,2024-25
STU20240472,Class 9,D,472,01-04-2024,2024-25
STU20240473,Class 9,A,473,01-04-2024,2024-25
STU20240474,Class 9,B,474,01-04-2024,2024-25
STU20240475,Class 9,C,475,01-04-2024,2024-25
STU20240476,Class 9,D,476,01-04-2024,2024-25
STU20240477,Class 9,A,477,01-04-2024,2024-25
STU20240478,Class 9,B,478,01-04-2024,2024-25
STU20240479,Class 9,C,479,01-04-2024,2024-25
STU20240480,Class 9,D,480,01-04-2024,2024-25
STU20240481,Class 9,A,481,01-04-2024,2024-25
STU20240482,Class 9,B,482,01-04-2024,2024-25
STU20240483,Class 9,C,483,01-04-2024,2024-25
STU20240484,Class 9,D,484,01-04-2024,2024-25
STU20240485,Class 9,A,485,01-04-2024,2024-25
STU20240486,Class 9,B,486,01-04-2024,2024-25
STU20240487,Class 9,C,487,01-04-2024,2024-25
STU20240488,Class 9,D,488,01-04-2024,2024-25
STU20240489,Class 9,A,489,01-04-2024,2024-25
STU20240490,Class 9,B,490,01-04-2024,2024-25
STU20240491,Class 9,C,491,01-04-2024,2024-25
STU20240492,Class 9,D,492,01-04-2024,2024-25
STU20240493,Class 9,A,493,01-04-2024,2024-25
STU20240494,Class 9,B,494,01-04-2024,2024-25
STU20240495,Class 9,C,495,01-04-2024,2024-25
STU20240496,Class 9,D,496,01-04-2024,2024-25
STU20240497,Class 9,A,497,01-04-2024,2024-25
STU20240498,Class 9,B,498,01-04-2024,2024-25
STU20240499,Class 9,C,499,01-04-2024,2024-25
STU20240500,Class 9,D,500,01-04-2024,2024-25
