invoice_number,admission_number,fee_type,amount,due_date,invoice_date,academic_year
INV-STU20240021-01,STU20240021,Tuition Fee,3000.00,24-01-2026,25-12-2025,2026-2027
INV-STU20240021-02,STU20240021,Tuition Fee,3500.00,07-01-2026,08-12-2025,2026-2027
INV-STU20240022-01,STU20240022,Tuition Fee,3000.00,08-12-2025,08-11-2025,2026-2027
INV-STU20240022-02,STU20240022,Tuition Fee,3500.00,27-12-2025,27-11-2025,2026-2027
INV-STU20240023-01,STU20240023,Tuition Fee,3000.00,05-11-2025,06-10-2025,2026-2027
INV-STU20240023-02,STU20240023,Tuition Fee,3500.00,13-01-2026,14-12-2025,2026-2027
INV-STU20240024-01,STU20240024,Tuition Fee,3000.00,07-09-2025,08-08-2025,2026-2027
INV-STU20240024-02,STU20240024,Tuition Fee,3500.00,02-01-2026,03-12-2025,2026-2027
INV-STU20240025-01,STU20240025,Tuition Fee,3000.00,25-11-2025,26-10-2025,2026-2027
INV-STU20240025-02,STU20240025,Tuition Fee,3500.00,10-01-2026,11-12-2025,2026-2027
INV-STU20240026-01,STU20240026,Tuition Fee,3000.00,21-11-2025,22-10-2025,2026-2027
INV-STU20240026-02,STU20240026,Tuition Fee,3500.00,02-09-2025,03-08-2025,2026-2027
INV-STU20240027-01,STU20240027,Tuition Fee,3000.00,17-12-2025,17-11-2025,2026-2027
INV-STU20240027-02,STU20240027,Tuition Fee,3500.00,02-11-2025,03-10-2025,2026-2027
INV-STU20240028-01,STU20240028,Tuition Fee,3000.00,30-11-2025,31-10-2025,2026-2027
INV-STU20240028-02,STU20240028,Tuition Fee,3500.00,17-09-2025,18-08-2025,2026-2027
INV-STU20240029-01,STU20240029,Tuition Fee,3000.00,20-12-2025,20-11-2025,2026-2027
INV-STU20240029-02,STU20240029,Tuition Fee,3500.00,24-01-2026,25-12-2025,2026-2027
INV-STU20240030-01,STU20240030,Tuition Fee,3000.00,01-01-2026,02-12-2025,2026-2027
INV-STU20240030-02,STU20240030,Tuition Fee,3500.00,18-01-2026,19-12-2025,2026-2027
INV-STU20240031-01,STU20240031,Tuition Fee,3000.00,19-01-2026,20-12-2025,2026-2027
INV-STU20240031-02,STU20240031,Tuition Fee,3500.00,24-09-2025,25-08-2025,2026-2027
INV-STU20240032-01,STU20240032,Tuition Fee,3000.00,21-10-2025,21-09-2025,2026-2027
INV-STU20240032-02,STU20240032,Tuition Fee,3500.00,06-11-2025,07-10-2025,2026-2027
INV-STU20240033-01,STU20240033,Tuition Fee,3000.00,11-12-2025,11-11-2025,2026-2027
INV-STU20240033-02,STU20240033,Tuition Fee,3500.00,06-01-2026,07-12-2025,2026-2027
INV-STU20240034-01,STU20240034,Tuition Fee,3000.00,18-12-2025,18-11-2025,2026-2027
INV-STU20240034-02,STU20240034,Tuition Fee,3500.00,02-10-2025,02-09-2025,2026-2027
INV-STU20240035-01,STU20240035,Tuition Fee,3000.00,24-09-2025,25-08-2025,2026-2027
INV-STU20240035-02,STU20240035,Tuition Fee,3500.00,05-01-2026,06-12-2025,2026-2027
INV-STU20240036-01,STU20240036,Tuition Fee,3000.00,07-12-2025,07-11-2025,2026-2027
INV-STU20240036-02,STU20240036,Tuition Fee,3500.00,27-11-2025,28-10-2025,2026-2027
INV-STU20240037-01,STU20240037,Tuition Fee,3000.00,27-09-2025,28-08-2025,2026-2027
INV-STU20240037-02,STU20240037,Tuition Fee,3500.00,31-08-2025,01-08-2025,2026-2027
INV-STU20240038-01,STU20240038,Tuition Fee,3000.00,02-12-2025,02-11-2025,2026-2027
INV-STU20240038-02,STU20240038,Tuition Fee,3500.00,02-01-2026,03-12-2025,2026-2027
INV-STU20240039-01,STU20240039,Tuition Fee,3000.00,24-09-2025,25-08-2025,2026-2027
INV-STU20240039-02,STU20240039,Tuition Fee,3500.00,11-12-2025,11-11-2025,2026-2027
INV-STU20240040-01,STU20240040,Tuition Fee,3000.00,20-09-2025,21-08-2025,2026-2027
INV-STU20240040-02,STU20240040,Tuition Fee,3500.00,15-11-2025,16-10-2025,2026-2027
INV-STU20240041-01,STU20240041,Tuition Fee,3000.00,26-12-2025,26-11-2025,2026-2027
INV-STU20240041-02,STU20240041,Tuition Fee,3500.00,17-10-2025,17-09-2025,2026-2027
INV-STU20240042-01,STU20240042,Tuition Fee,3000.00,23-01-2026,24-12-2025,2026-2027
INV-STU20240042-02,STU20240042,Tuition Fee,3500.00,20-01-2026,21-12-2025,2026-2027
INV-STU20240043-01,STU20240043,Tuition Fee,3000.00,17-10-2025,17-09-2025,2026-2027
INV-STU20240043-02,STU20240043,Tuition Fee,3500.00,10-11-2025,11-10-2025,2026-2027
INV-STU20240044-01,STU20240044,Tuition Fee,3000.00,09-09-2025,10-08-2025,2026-2027
INV-STU20240044-02,STU20240044,Tuition Fee,3500.00,03-10-2025,03-09-2025,2026-2027
INV-STU20240045-01,STU20240045,Tuition Fee,3000.00,22-11-2025,23-10-2025,2026-2027
INV-STU20240045-02,STU20240045,Tuition Fee,3500.00,07-12-2025,07-11-2025,2026-2027
INV-STU20240046-01,STU20240046,Tuition Fee,3000.00,23-01-2026,24-12-2025,2026-2027
INV-STU20240046-02,STU20240046,Tuition Fee,3500.00,05-01-2026,06-12-2025,2026-2027
INV-STU20240047-01,STU20240047,Tuition Fee,3000.00,14-01-2026,15-12-2025,2026-2027
INV-STU20240047-02,STU20240047,Tuition Fee,3500.00,21-11-2025,22-10-2025,2026-2027
INV-STU20240048-01,STU20240048,Tuition Fee,3000.00,27-11-2025,28-10-2025,2026-2027
INV-STU20240048-02,STU20240048,Tuition Fee,3500.00,03-12-2025,03-11-2025,2026-2027
INV-STU20240049-01,STU20240049,Tuition Fee,3000.00,06-12-2025,06-11-2025,2026-2027
INV-STU20240049-02,STU20240049,Tuition Fee,3500.00,14-01-2026,15-12-2025,2026-2027
INV-STU20240050-01,STU20240050,Tuition Fee,3000.00,11-09-2025,12-08-2025,2026-2027
INV-STU20240050-02,STU20240050,Tuition Fee,3500.00,02-12-2025,02-11-2025,2026-2027
INV-STU20240051-01,STU20240051,Tuition Fee,3000.00,23-09-2025,24-08-2025,2026-2027
INV-STU20240051-02,STU20240051,Tuition Fee,3500.00,20-10-2025,20-09-2025,2026-2027
INV-STU20240052-01,STU20240052,Tuition Fee,3000.00,03-12-2025,03-11-2025,2026-2027
INV-STU20240052-02,STU20240052,Tuition Fee,3500.00,20-09-2025,21-08-2025,2026-2027
INV-STU20240053-01,STU20240053,Tuition Fee,3000.00,14-12-2025,14-11-2025,2026-2027
INV-STU20240053-02,STU20240053,Tuition Fee,3500.00,04-12-2025,04-11-2025,2026-2027
INV-STU20240054-01,STU20240054,Tuition Fee,3000.00,22-11-2025,23-10-2025,2026-2027
INV-STU20240054-02,STU20240054,Tuition Fee,3500.00,28-11-2025,29-10-2025,2026-2027
INV-STU20240055-01,STU20240055,Tuition Fee,3000.00,19-11-2025,20-10-2025,2026-2027
INV-STU20240055-02,STU20240055,Tuition Fee,3500.00,27-12-2025,27-11-2025,2026-2027
INV-STU20240056-01,STU20240056,Tuition Fee,3000.00,14-10-2025,14-09-2025,2026-2027
INV-STU20240056-02,STU20240056,Tuition Fee,3500.00,20-09-2025,21-08-2025,2026-2027
INV-STU20240057-01,STU20240057,Tuition Fee,3000.00,01-11-2025,02-10-2025,2026-2027
INV-STU20240057-02,STU20240057,Tuition Fee,3500.00,26-09-2025,27-08-2025,2026-2027
INV-STU20240058-01,STU20240058,Tuition Fee,3000.00,20-10-2025,20-09-2025,2026-2027
INV-STU20240058-02,STU20240058,Tuition Fee,3500.00,07-09-2025,08-08-2025,2026-2027
INV-STU20240059-01,STU20240059,Tuition Fee,3000.00,14-10-2025,14-09-2025,2026-2027
INV-STU20240059-02,STU20240059,Tuition Fee,3500.00,02-12-2025,02-11-2025,2026-2027
INV-STU20240060-01,STU20240060,Tuition Fee,3000.00,14-10-2025,14-09-2025,2026-2027
INV-STU20240060-02,STU20240060,Tuition Fee,3500.00,27-12-2025,27-11-2025,2026-2027
INV-STU20240061-01,STU20240061,Tuition Fee,3000.00,04-09-2025,05-08-2025,2026-2027
INV-STU20240061-02,STU20240061,Tuition Fee,3500.00,01-10-2025,01-09-2025,2026-2027
INV-STU20240062-01,STU20240062,Tuition Fee,3000.00,29-08-2025,30-07-2025,2026-2027
INV-STU20240062-02,STU20240062,Tuition Fee,3500.00,06-01-2026,07-12-2025,2026-2027
INV-STU20240063-01,STU20240063,Tuition Fee,3000.00,16-01-2026,17-12-2025,2026-2027
INV-STU20240063-02,STU20240063,Tuition Fee,3500.00,16-10-2025,16-09-2025,2026-2027
INV-STU20240064-01,STU20240064,Tuition Fee,3000.00,23-01-2026,24-12-2025,2026-2027
INV-STU20240064-02,STU20240064,Tuition Fee,3500.00,03-12-2025,03-11-2025,2026-2027
INV-STU20240065-01,STU20240065,Tuition Fee,3000.00,01-01-2026,02-12-2025,2026-2027
INV-STU20240065-02,STU20240065,Tuition Fee,3500.00,18-12-2025,18-11-2025,2026-2027
INV-STU20240066-01,STU20240066,Tuition Fee,3000.00,24-09-2025,25-08-2025,2026-2027
INV-STU20240066-02,STU20240066,Tuition Fee,3500.00,29-10-2025,29-09-2025,2026-2027
INV-STU20240067-01,STU20240067,Tuition Fee,3000.00,02-11-2025,03-10-2025,2026-2027
INV-STU20240067-02,STU20240067,Tuition Fee,3500.00,08-11-2025,09-10-2025,2026-2027
INV-STU20240068-01,STU20240068,Tuition Fee,3000.00,01-10-2025,01-09-2025,2026-2027
INV-STU20240068-02,STU20240068,Tuition Fee,3500.00,31-08-2025,01-08-2025,2026-2027
INV-STU20240069-01,STU20240069,Tuition Fee,3000.00,23-01-2026,24-12-2025,2026-2027
INV-STU20240069-02,STU20240069,Tuition Fee,3500.00,08-01-2026,09-12-2025,2026-2027
INV-STU20240070-01,STU20240070,Tuition Fee,3000.00,01-01-2026,02-12-2025,2026-2027
INV-STU20240070-02,STU20240070,Tuition Fee,3500.00,11-10-2025,11-09-2025,2026-2027
INV-STU20240071-01,STU20240071,Tuition Fee,3000.00,07-09-2025,08-08-2025,2026-2027
INV-STU20240071-02,STU20240071,Tuition Fee,3500.00,02-01-2026,03-12-2025,2026-2027
INV-STU20240072-01,STU20240072,Tuition Fee,3000.00,16-10-2025,16-09-2025,2026-2027
INV-STU20240072-02,STU20240072,Tuition Fee,3500.00,18-10-2025,18-09-2025,2026-2027
INV-STU20240073-01,STU20240073,Tuition Fee,3000.00,11-10-2025,11-09-2025,2026-2027
INV-STU20240073-02,STU20240073,Tuition Fee,3500.00,13-01-2026,14-12-2025,2026-2027
INV-STU20240074-01,STU20240074,Tuition Fee,3000.00,19-01-2026,20-12-2025,2026-2027
INV-STU20240074-02,STU20240074,Tuition Fee,3500.00,06-01-2026,07-12-2025,2026-2027
INV-STU20240075-01,STU20240075,Tuition Fee,3000.00,24-10-2025,24-09-2025,2026-2027
INV-STU20240075-02,STU20240075,Tuition Fee,3500.00,17-10-2025,17-09-2025,2026-2027
INV-STU20240076-01,STU20240076,Tuition Fee,3000.00,04-12-2025,04-11-2025,2026-2027
INV-STU20240076-02,STU20240076,Tuition Fee,3500.00,08-10-2025,08-09-2025,2026-2027
INV-STU20240077-01,STU20240077,Tuition Fee,3000.00,28-10-2025,28-09-2025,2026-2027
INV-STU20240077-02,STU20240077,Tuition Fee,3500.00,29-10-2025,29-09-2025,2026-2027
INV-STU20240078-01,STU20240078,Tuition Fee,3000.00,14-11-2025,15-10-2025,2026-2027
INV-STU20240078-02,STU20240078,Tuition Fee,3500.00,24-12-2025,24-11-2025,2026-2027
INV-STU20240079-01,STU20240079,Tuition Fee,3000.00,26-11-2025,27-10-2025,2026-2027
INV-STU20240079-02,STU20240079,Tuition Fee,3500.00,12-11-2025,13-10-2025,2026-2027
INV-STU20240080-01,STU20240080,Tuition Fee,3000.00,30-08-2025,31-07-2025,2026-2027
INV-STU20240080-02,STU20240080,Tuition Fee,3500.00,21-10-2025,21-09-2025,2026-2027
INV-STU20240081-01,STU20240081,Tuition Fee,3000.00,28-11-2025,29-10-2025,2026-2027
INV-STU20240081-02,STU20240081,Tuition Fee,3500.00,15-11-2025,16-10-2025,2026-2027
INV-STU20240082-01,STU20240082,Tuition Fee,3000.00,09-09-2025,10-08-2025,2026-2027
INV-STU20240082-02,STU20240082,Tuition Fee,3500.00,02-09-2025,03-08-2025,2026-2027
INV-STU20240083-01,STU20240083,Tuition Fee,3000.00,30-08-2025,31-07-2025,2026-2027
INV-STU20240083-02,STU20240083,Tuition Fee,3500.00,29-09-2025,30-08-2025,2026-2027
INV-STU20240084-01,STU20240084,Tuition Fee,3000.00,17-09-2025,18-08-2025,2026-2027
INV-STU20240084-02,STU20240084,Tuition Fee,3500.00,21-12-2025,21-11-2025,2026-2027
INV-STU20240085-01,STU20240085,Tuition Fee,3000.00,03-12-2025,03-11-2025,2026-2027
INV-STU20240085-02,STU20240085,Tuition Fee,3500.00,27-12-2025,27-11-2025,2026-2027
INV-STU20240086-01,STU20240086,Tuition Fee,3000.00,06-10-2025,06-09-2025,2026-2027
INV-STU20240086-02,STU20240086,Tuition Fee,3500.00,29-08-2025,30-07-2025,2026-2027
INV-STU20240087-01,STU20240087,Tuition Fee,3000.00,28-10-2025,28-09-2025,2026-2027
INV-STU20240087-02,STU20240087,Tuition Fee,3500.00,05-10-2025,05-09-2025,2026-2027
INV-STU20240088-01,STU20240088,Tuition Fee,3000.00,06-01-2026,07-12-2025,2026-2027
INV-STU20240088-02,STU20240088,Tuition Fee,3500.00,08-10-2025,08-09-2025,2026-2027
INV-STU20240089-01,STU20240089,Tuition Fee,3000.00,01-10-2025,01-09-2025,2026-2027
INV-STU20240089-02,STU20240089,Tuition Fee,3500.00,20-01-2026,21-12-2025,2026-2027
INV-STU20240090-01,STU20240090,Tuition Fee,3000.00,03-11-2025,04-10-2025,2026-2027
INV-STU20240090-02,STU20240090,Tuition Fee,3500.00,20-11-2025,21-10-2025,2026-2027
INV-STU20240091-01,STU20240091,Tuition Fee,3000.00,29-12-2025,29-11-2025,2026-2027
INV-STU20240091-02,STU20240091,Tuition Fee,3500.00,13-09-2025,14-08-2025,2026-2027
INV-STU20240092-01,STU20240092,Tuition Fee,3000.00,14-12-2025,14-11-2025,2026-2027
INV-STU20240092-02,STU20240092,Tuition Fee,3500.00,30-10-2025,30-09-2025,2026-2027
INV-STU20240093-01,STU20240093,Tuition Fee,3000.00,24-11-2025,25-10-2025,2026-2027
INV-STU20240093-02,STU20240093,Tuition Fee,3500.00,05-09-2025,06-08-2025,2026-2027
INV-STU20240094-01,STU20240094,Tuition Fee,3000.00,13-12-2025,13-11-2025,2026-2027
INV-STU20240094-02,STU20240094,Tuition Fee,3500.00,07-09-2025,08-08-2025,2026-2027
INV-STU20240095-01,STU20240095,Tuition Fee,3000.00,14-10-2025,14-09-2025,2026-2027
INV-STU20240095-02,STU20240095,Tuition Fee,3500.00,24-12-2025,24-11-2025,2026-2027
INV-STU20240096-01,STU20240096,Tuition Fee,3000.00,11-11-2025,12-10-2025,2026-2027
INV-STU20240096-02,STU20240096,Tuition Fee,3500.00,15-12-2025,15-11-2025,2026-2027
INV-STU20240097-01,STU20240097,Tuition Fee,3000.00,13-01-2026,14-12-2025,2026-2027
INV-STU20240097-02,STU20240097,Tuition Fee,3500.00,05-12-2025,05-11-2025,2026-2027
INV-STU20240098-01,STU20240098,Tuition Fee,3000.00,25-12-2025,25-11-2025,2026-2027
INV-STU20240098-02,STU20240098,Tuition Fee,3500.00,10-12-2025,10-11-2025,2026-2027
INV-STU20240099-01,STU20240099,Tuition Fee,3000.00,18-11-2025,19-10-2025,2026-2027
INV-STU20240099-02,STU20240099,Tuition Fee,3500.00,17-12-2025,17-11-2025,2026-2027
INV-STU20240100-01,STU20240100,Tuition Fee,3000.00,20-12-2025,20-11-2025,2026-2027
INV-STU20240100-02,STU20240100,Tuition Fee,3500.00,29-11-2025,30-10-2025,2026-2027
INV-STU20240101-01,STU20240101,Tuition Fee,3000.00,19-01-2026,20-12-2025,2026-2027
INV-STU20240101-02,STU20240101,Tuition Fee,3500.00,19-09-2025,20-08-2025,2026-2027
INV-STU20240102-01,STU20240102,Tuition Fee,3000.00,28-11-2025,29-10-2025,2026-2027
INV-STU20240102-02,STU20240102,Tuition Fee,3500.00,04-11-2025,05-10-2025,2026-2027
INV-STU20240103-01,STU20240103,Tuition Fee,3000.00,23-12-2025,23-11-2025,2026-2027
INV-STU20240103-02,STU20240103,Tuition Fee,3500.00,05-11-2025,06-10-2025,2026-2027
INV-STU20240104-01,STU20240104,Tuition Fee,3000.00,18-01-2026,19-12-2025,2026-2027
INV-STU20240104-02,STU20240104,Tuition Fee,3500.00,11-10-2025,11-09-2025,2026-2027
INV-STU20240105-01,STU20240105,Tuition Fee,3000.00,25-10-2025,25-09-2025,2026-2027
INV-STU20240105-02,STU20240105,Tuition Fee,3500.00,28-12-2025,28-11-2025,2026-2027
INV-STU20240106-01,STU20240106,Tuition Fee,3000.00,30-09-2025,31-08-2025,2026-2027
INV-STU20240106-02,STU20240106,Tuition Fee,3500.00,31-08-2025,01-08-2025,2026-2027
INV-STU20240107-01,STU20240107,Tuition Fee,3000.00,22-11-2025,23-10-2025,2026-2027
INV-STU20240107-02,STU20240107,Tuition Fee,3500.00,18-09-2025,19-08-2025,2026-2027
INV-STU20240108-01,STU20240108,Tuition Fee,3000.00,17-09-2025,18-08-2025,2026-2027
INV-STU20240108-02,STU20240108,Tuition Fee,3500.00,07-12-2025,07-11-2025,2026-2027
INV-STU20240109-01,STU20240109,Tuition Fee,3000.00,01-11-2025,02-10-2025,2026-2027
INV-STU20240109-02,STU20240109,Tuition Fee,3500.00,15-12-2025,15-11-2025,2026-2027
INV-STU20240110-01,STU20240110,Tuition Fee,3000.00,16-11-2025,17-10-2025,2026-2027
INV-STU20240110-02,STU20240110,Tuition Fee,3500.00,29-09-2025,30-08-2025,2026-2027
INV-STU20240111-01,STU20240111,Tuition Fee,3000.00,15-01-2026,16-12-2025,2026-2027
INV-STU20240111-02,STU20240111,Tuition Fee,3500.00,28-10-2025,28-09-2025,2026-2027
INV-STU20240112-01,STU20240112,Tuition Fee,3000.00,14-12-2025,14-11-2025,2026-2027
INV-STU20240112-02,STU20240112,Tuition Fee,3500.00,13-01-2026,14-12-2025,2026-2027
INV-STU20240113-01,STU20240113,Tuition Fee,3000.00,10-12-2025,10-11-2025,2026-2027
INV-STU20240113-02,STU20240113,Tuition Fee,3500.00,19-11-2025,20-10-2025,2026-2027
INV-STU20240114-01,STU20240114,Tuition Fee,3000.00,01-09-2025,02-08-2025,2026-2027
INV-STU20240114-02,STU20240114,Tuition Fee,3500.00,19-10-2025,19-09-2025,2026-2027
INV-STU20240115-01,STU20240115,Tuition Fee,3000.00,27-11-2025,28-10-2025,2026-2027
INV-STU20240115-02,STU20240115,Tuition Fee,3500.00,09-01-2026,10-12-2025,2026-2027
INV-STU20240116-01,STU20240116,Tuition Fee,3000.00,11-01-2026,12-12-2025,2026-2027
INV-STU20240116-02,STU20240116,Tuition Fee,3500.00,27-09-2025,28-08-2025,2026-2027
INV-STU20240117-01,STU20240117,Tuition Fee,3000.00,22-01-2026,23-12-2025,2026-2027
INV-STU20240117-02,STU20240117,Tuition Fee,3500.00,01-01-2026,02-12-2025,2026-2027
INV-STU20240118-01,STU20240118,Tuition Fee,3000.00,13-10-2025,13-09-2025,2026-2027
INV-STU20240118-02,STU20240118,Tuition Fee,3500.00,08-10-2025,08-09-2025,2026-2027
INV-STU20240119-01,STU20240119,Tuition Fee,3000.00,13-10-2025,13-09-2025,2026-2027
INV-STU20240119-02,STU20240119,Tuition Fee,3500.00,23-11-2025,24-10-2025,2026-2027
INV-STU20240120-01,STU20240120,Tuition Fee,3000.00,30-08-2025,31-07-2025,2026-2027
INV-STU20240120-02,STU20240120,Tuition Fee,3500.00,13-12-2025,13-11-2025,2026-2027
INV-STU20240121-01,STU20240121,Tuition Fee,3000.00,07-01-2026,08-12-2025,2026-2027
INV-STU20240121-02,STU20240121,Tuition Fee,3500.00,13-10-2025,13-09-2025,2026-2027
INV-STU20240122-01,STU20240122,Tuition Fee,3000.00,24-01-2026,25-12-2025,2026-2027
INV-STU20240122-02,STU20240122,Tuition Fee,3500.00,14-12-2025,14-11-2025,2026-2027
INV-STU20240123-01,STU20240123,Tuition Fee,3000.00,09-01-2026,10-12-2025,2026-2027
INV-STU20240123-02,STU20240123,Tuition Fee,3500.00,15-09-2025,16-08-2025,2026-2027
INV-STU20240124-01,STU20240124,Tuition Fee,3000.00,13-10-2025,13-09-2025,2026-2027
INV-STU20240124-02,STU20240124,Tuition Fee,3500.00,25-10-2025,25-09-2025,2026-2027
INV-STU20240125-01,STU20240125,Tuition Fee,3000.00,17-10-2025,17-09-2025,2026-2027
INV-STU20240125-02,STU20240125,Tuition Fee,3500.00,11-12-2025,11-11-2025,2026-2027
INV-STU20240126-01,STU20240126,Tuition Fee,3000.00,24-01-2026,25-12-2025,2026-2027
INV-STU20240126-02,STU20240126,Tuition Fee,3500.00,09-11-2025,10-10-2025,2026-2027
INV-STU20240127-01,STU20240127,Tuition Fee,3000.00,05-12-2025,05-11-2025,2026-2027
INV-STU20240127-02,STU20240127,Tuition Fee,3500.00,17-11-2025,18-10-2025,2026-2027
INV-STU20240128-01,STU20240128,Tuition Fee,3000.00,21-09-2025,22-08-2025,2026-2027
INV-STU20240128-02,STU20240128,Tuition Fee,3500.00,23-09-2025,24-08-2025,2026-2027
INV-STU20240129-01,STU20240129,Tuition Fee,3000.00,22-12-2025,22-11-2025,2026-2027
INV-STU20240129-02,STU20240129,Tuition Fee,3500.00,19-01-2026,20-12-2025,2026-2027
INV-STU20240130-01,STU20240130,Tuition Fee,3000.00,03-12-2025,03-11-2025,2026-2027
INV-STU20240130-02,STU20240130,Tuition Fee,3500.00,30-12-2025,30-11-2025,2026-2027
INV-STU20240131-01,STU20240131,Tuition Fee,3000.00,30-08-2025,31-07-2025,2026-2027
INV-STU20240131-02,STU20240131,Tuition Fee,3500.00,06-11-2025,07-10-2025,2026-2027
INV-STU20240132-01,STU20240132,Tuition Fee,3000.00,13-10-2025,13-09-2025,2026-2027
INV-STU20240132-02,STU20240132,Tuition Fee,3500.00,12-09-2025,13-08-2025,2026-2027
INV-STU20240133-01,STU20240133,Tuition Fee,3000.00,18-12-2025,18-11-2025,2026-2027
INV-STU20240133-02,STU20240133,Tuition Fee,3500.00,21-12-2025,21-11-2025,2026-2027
INV-STU20240134-01,STU20240134,Tuition Fee,3000.00,05-01-2026,06-12-2025,2026-2027
INV-STU20240134-02,STU20240134,Tuition Fee,3500.00,04-10-2025,04-09-2025,2026-2027
INV-STU20240135-01,STU20240135,Tuition Fee,3000.00,02-09-2025,03-08-2025,2026-2027
INV-STU20240135-02,STU20240135,Tuition Fee,3500.00,03-11-2025,04-10-2025,2026-2027
INV-STU20240136-01,STU20240136,Tuition Fee,3000.00,05-10-2025,05-09-2025,2026-2027
INV-STU20240136-02,STU20240136,Tuition Fee,3500.00,07-12-2025,07-11-2025,2026-2027
INV-STU20240137-01,STU20240137,Tuition Fee,3000.00,22-01-2026,23-12-2025,2026-2027
INV-STU20240137-02,STU20240137,Tuition Fee,3500.00,01-10-2025,01-09-2025,2026-2027
INV-STU20240138-01,STU20240138,Tuition Fee,3000.00,15-11-2025,16-10-2025,2026-2027
INV-STU20240138-02,STU20240138,Tuition Fee,3500.00,17-11-2025,18-10-2025,2026-2027
INV-STU20240139-01,STU20240139,Tuition Fee,3000.00,17-11-2025,18-10-2025,2026-2027
INV-STU20240139-02,STU20240139,Tuition Fee,3500.00,11-01-2026,12-12-2025,2026-2027
