admission_number,fee_type,amount,frequency,academic_year
STU20240051,Tuition Fee,5000,MONTHLY,2024-25
STU20240052,Tuition Fee,5000,MONTHLY,2024-25
STU20240053,Tuition Fee,5000,MONTHLY,2024-25
STU20240054,Tuition Fee,5000,MONTHLY,2024-25
STU20240055,Tuition Fee,5000,MONTHLY,2024-25
STU20240056,Tuition Fee,5000,MONTHLY,2024-25
STU20240057,Tuition Fee,5000,MONTHLY,2024-25
STU20240058,Tuition Fee,5000,MONTHLY,2024-25
STU20240059,Tuition Fee,5000,MONTHLY,2024-25
STU20240060,Tuition Fee,5000,MONTHLY,2024-25
STU20240061,Tuition Fee,5000,MONTHLY,2024-25
STU20240062,Tuition Fee,5000,MONTHLY,2024-25
STU20240063,Tuition Fee,5000,MONTHLY,2024-25
STU20240064,Tuition Fee,5000,MONTHLY,2024-25
STU20240065,Tuition Fee,5000,MONTHLY,2024-25
STU20240066,Tuition Fee,5000,MONTHLY,2024-25
STU20240067,Tuition Fee,5000,MONTHLY,2024-25
STU20240068,Tuition Fee,5000,MONTHLY,2024-25
STU20240069,Tuition Fee,5000,MONTHLY,2024-25
STU20240070,Tuition Fee,5000,MONTHLY,2024-25
STU20240071,Tuition Fee,5000,MONTHLY,2024-25
STU20240072,Tuition Fee,5000,MONTHLY,2024-25
STU20240073,Tuition Fee,5000,MONTHLY,2024-25
STU20240074,Tuition Fee,5000,MONTHLY,2024-25
STU20240075,Tuition Fee,5000,MONTHLY,2024-25
STU20240076,Tuition Fee,5000,MONTHLY,2024-25
STU20240077,Tuition Fee,5000,MONTHLY,2024-25
STU20240078,Tuition Fee,5000,MONTHLY,2024-25
STU20240079,Tuition Fee,5000,MONTHLY,2024-25
STU20240080,Tuition Fee,5000,MONTHLY,2024-25
STU20240081,Tuition Fee,5000,MONTHLY,2024-25
STU20240082,Tuition Fee,5000,MONTHLY,2024-25
STU20240083,Tuition Fee,5000,MONTHLY,2024-25
STU20240084,Tuition Fee,5000,MONTHLY,2024-25
STU20240085,Tuition Fee,5000,MONTHLY,2024-25
STU20240086,Tuition Fee,5000,MONTHLY,2024-25
STU20240087,Tuition Fee,5000,MONTHLY,2024-25
STU20240088,Tuition Fee,5000,MONTHLY,2024-25
STU20240089,Tuition Fee,5000,MONTHLY,2024-25
STU20240090,Tuition Fee,5000,MONTHLY,2024-25
STU20240091,Tuition Fee,5000,MONTHLY,2024-25
STU20240092,Tuition Fee,5000,MONTHLY,2024-25
STU20240093,Tuition Fee,5000,MONTHLY,2024-25
STU20240094,Tuition Fee,5000,MONTHLY,2024-25
STU20240095,Tuition Fee,5000,MONTHLY,2024-25
STU20240096,Tuition Fee,5000,MONTHLY,2024-25
STU20240097,Tuition Fee,5000,MONTHLY,2024-25
STU20240098,Tuition Fee,5000,MONTHLY,2024-25
STU20240099,Tuition Fee,5000,MONTHLY,2024-25
STU20240100,Tuition Fee,5000,MONTHLY,2024-25
STU20240101,Tuition Fee,5000,MONTHLY,2024-25
STU20240102,Tuition Fee,5000,MONTHLY,2024-25
STU20240103,Tuition Fee,5000,MONTHLY,2024-25
STU20240104,Tuition Fee,5000,MONTHLY,2024-25
STU20240105,Tuition Fee,5000,MONTHLY,2024-25
STU20240106,Tuition Fee,5000,MONTHLY,2024-25
STU20240107,Tuition Fee,5000,MONTHLY,2024-25
STU20240108,Tuition Fee,5000,MONTHLY,2024-25
STU20240109,Tuition Fee,5000,MONTHLY,2024-25
STU20240110,Tuition Fee,5000,MONTHLY,2024-25
STU20240111,Tuition Fee,5000,MONTHLY,2024-25
STU20240112,Tuition Fee,5000,MONTHLY,2024-25
STU20240113,Tuition Fee,5000,MONTHLY,2024-25
STU20240114,Tuition Fee,5000,MONTHLY,2024-25
STU20240115,Tuition Fee,5000,MONTHLY,2024-25
STU20240116,Tuition Fee,5000,MONTHLY,2024-25
STU20240117,Tuition Fee,5000,MONTHLY,2024-25
STU20240118,Tuition Fee,5000,MONTHLY,2024-25
STU20240119,Tuition Fee,5000,MONTHLY,2024-25
STU20240120,Tuition Fee,5000,MONTHLY,2024-25
STU20240121,Tuition Fee,5000,MONTHLY,2024-25
STU20240122,Tuition Fee,5000,MONTHLY,2024-25
STU20240123,Tuition Fee,5000,MONTHLY,2024-25
STU20240124,Tuition Fee,5000,MONTHLY,2024-25
STU20240125,Tuition Fee,5000,MONTHLY,2024-25
STU20240126,Tuition Fee,5000,MONTHLY,2024-25
STU20240127,Tuition Fee,5000,MONTHLY,2024-25
STU20240128,Tuition Fee,5000,MONTHLY,2024-25
STU20240129,Tuition Fee,5000,MONTHLY,2024-25
STU20240130,Tuition Fee,5000,MONTHLY,2024-25
STU20240131,Tuition Fee,5000,MONTHLY,2024-25
STU20240132,Tuition Fee,5000,MONTHLY,2024-25
STU20240133,Tuition Fee,5000,MONTHLY,2024-25
STU20240134,Tuition Fee,5000,MONTHLY,2024-25
STU20240135,Tuition Fee,5000,MONTHLY,2024-25
STU20240136,Tuition Fee,5000,MONTHLY,2024-25
STU20240137,Tuition Fee,5000,MONTHLY,2024-25
STU20240138,Tuition Fee,5000,MONTHLY,2024-25
STU20240139,Tuition Fee,5000,MONTHLY,2024-25
STU20240140,Tuition Fee,5000,MONTHLY,2024-25
STU20240141,Tuition Fee,5000,MONTHLY,2024-25
STU20240142,Tuition Fee,5000,MONTHLY,2024-25
STU20240143,Tuition Fee,5000,MONTHLY,2024-25
STU20240144,Tuition Fee,5000,MONTHLY,2024-25
STU20240145,Tuition Fee,5000,MONTHLY,2024-25
STU20240146,Tuition Fee,5000,MONTHLY,2024-25
STU20240147,Tuition Fee,5000,MONTHLY,2024-25
STU20240148,Tuition Fee,5000,MONTHLY,2024-25
STU20240149,Tuition Fee,5000,MONTHLY,2024-25
STU20240150,Tuition Fee,5000,MONTHLY,2024-25
STU20240151,Tuition Fee,5000,MONTHLY,2024-25
STU20240152,Tuition Fee,5000,MONTHLY,2024-25
STU20240153,Tuition Fee,5000,MONTHLY,2024-25
STU20240154,Tuition Fee,5000,MONTHLY,2024-25
STU20240155,Tuition Fee,5000,MONTHLY,2024-25
STU20240156,Tuition Fee,5000,MONTHLY,2024-25
STU20240157,Tuition Fee,5000,MONTHLY,2024-25
STU20240158,Tuition Fee,5000,MONTHLY,2024-25
STU20240159,Tuition Fee,5000,MONTHLY,2024-25
STU20240160,Tuition Fee,5000,MONTHLY,2024-25
STU20240161,Tuition Fee,5000,MONTHLY,2024-25
STU20240162,Tuition Fee,5000,MONTHLY,2024-25
STU20240163,Tuition Fee,5000,MONTHLY,2024-25
STU20240164,Tuition Fee,5000,MONTHLY,2024-25
STU20240165,Tuition Fee,5000,MONTHLY,2024-25
STU20240166,Tuition Fee,5000,MONTHLY,2024-25
STU20240167,Tuition Fee,5000,MONTHLY,2024-25
STU20240168,Tuition Fee,5000,MONTHLY,2024-25
STU20240169,Tuition Fee,5000,MONTHLY,2024-25
STU20240170,Tuition Fee,5000,MONTHLY,2024-25
STU20240171,Tuition Fee,5000,MONTHLY,2024-25
STU20240172,Tuition Fee,5000,MONTHLY,2024-25
STU20240173,Tuition Fee,5000,MONTHLY,2024-25
STU20240174,Tuition Fee,5000,MONTHLY,2024-25
STU20240175,Tuition Fee,5000,MONTHLY,2024-25
STU20240176,Tuition Fee,5000,MONTHLY,2024-25
STU20240177,Tuition Fee,5000,MONTHLY,2024-25
STU20240178,Tuition Fee,5000,MONTHLY,2024-25
STU20240179,Tuition Fee,5000,MONTHLY,2024-25
STU20240180,Tuition Fee,5000,MONTHLY,2024-25
STU20240181,Tuition Fee,5000,MONTHLY,2024-25
STU20240182,Tuition Fee,5000,MONTHLY,2024-25
STU20240183,Tuition Fee,5000,MONTHLY,2024-25
STU20240184,Tuition Fee,5000,MONTHLY,2024-25
STU20240185,Tuition Fee,5000,MONTHLY,2024-25
STU20240186,Tuition Fee,5000,MONTHLY,2024-25
STU20240187,Tuition Fee,5000,MONTHLY,2024-25
STU20240188,Tuition Fee,5000,MONTHLY,2024-25
STU20240189,Tuition Fee,5000,MONTHLY,2024-25
STU20240190,Tuition Fee,5000,MONTHLY,2024-25
STU20240191,Tuition Fee,5000,MONTHLY,2024-25
STU20240192,Tuition Fee,5000,MONTHLY,2024-25
STU20240193,Tuition Fee,5000,MONTHLY,2024-25
STU20240194,Tuition Fee,5000,MONTHLY,2024-25
STU20240195,Tuition Fee,5000,MONTHLY,2024-25
STU20240196,Tuition Fee,5000,MONTHLY,2024-25
STU20240197,Tuition Fee,5000,MONTHLY,2024-25
STU20240198,Tuition Fee,5000,MONTHLY,2024-25
STU20240199,Tuition Fee,5000,MONTHLY,2024-25
STU20240200,Tuition Fee,5000,MONTHLY,2024-25
STU20240201,Tuition Fee,5000,MONTHLY,2024-25
STU20240202,Tuition Fee,5000,MONTHLY,2024-25
STU20240203,Tuition Fee,5000,MONTHLY,2024-25
STU20240204,Tuition Fee,5000,MONTHLY,2024-25
STU20240205,Tuition Fee,5000,MONTHLY,2024-25
STU20240206,Tuition Fee,5000,MONTHLY,2024-25
STU20240207,Tuition Fee,5000,MONTHLY,2024-25
STU20240208,Tuition Fee,5000,MONTHLY,2024-25
STU20240209,Tuition Fee,5000,MONTHLY,2024-25
STU20240210,Tuition Fee,5000,MONTHLY,2024-25
STU20240211,Tuition Fee,5000,MONTHLY,2024-25
STU20240212,Tuition Fee,5000,MONTHLY,2024-25
STU20240213,Tuition Fee,5000,MONTHLY,2024-25
STU20240214,Tuition Fee,5000,MONTHLY,2024-25
STU20240215,Tuition Fee,5000,MONTHLY,2024-25
STU20240216,Tuition Fee,5000,MONTHLY,2024-25
STU20240217,Tuition Fee,5000,MONTHLY,2024-25
STU20240218,Tuition Fee,5000,MONTHLY,2024-25
STU20240219,Tuition Fee,5000,MONTHLY,2024-25
STU20240220,Tuition Fee,5000,MONTHLY,2024-25
STU20240221,Tuition Fee,5000,MONTHLY,2024-25
STU20240222,Tuition Fee,5000,MONTHLY,2024-25
STU20240223,Tuition Fee,5000,MONTHLY,2024-25
STU20240224,Tuition Fee,5000,MONTHLY,2024-25
STU20240225,Tuition Fee,5000,MONTHLY,2024-25
STU20240226,Tuition Fee,5000,MONTHLY,2024-25
STU20240227,Tuition Fee,5000,MONTHLY,2024-25
STU20240228,Tuition Fee,5000,MONTHLY,2024-25
STU20240229,Tuition Fee,5000,MONTHLY,2024-25
STU20240230,Tuition Fee,5000,MONTHLY,2024-25
STU20240231,Tuition Fee,5000,MONTHLY,2024-25
STU20240232,Tuition Fee,5000,MONTHLY,2024-25
STU20240233,Tuition Fee,5000,MONTHLY,2024-25
STU20240234,Tuition Fee,5000,MONTHLY,2024-25
STU20240235,Tuition Fee,5000,MONTHLY,2024-25
STU20240236,Tuition Fee,5000,MONTHLY,2024-25
STU20240237,Tuition Fee,5000,MONTHLY,2024-25
STU20240238,Tuition Fee,5000,MONTHLY,2024-25
STU20240239,Tuition Fee,5000,MONTHLY,2024-25
STU20240240,Tuition Fee,5000,MONTHLY,2024-25
STU20240241,Tuition Fee,5000,MONTHLY,2024-25
STU20240242,Tuition Fee,5000,MONTHLY,2024-25
STU20240243,Tuition Fee,5000,MONTHLY,2024-25
STU20240244,Tuition Fee,5000,MONTHLY,2024-25
STU20240245,Tuition Fee,5000,MONTHLY,2024-25
STU20240246,Tuition Fee,5000,MONTHLY,2024-25
STU20240247,Tuition Fee,5000,MONTHLY,2024-25
STU20240248,Tuition Fee,5000,MONTHLY,2024-25
STU20240249,Tuition Fee,5000,MONTHLY,2024-25
STU20240250,Tuition Fee,5000,MONTHLY,2024-25
STU20240251,Tuition Fee,5000,MONTHLY,2024-25
STU20240252,Tuition Fee,5000,MONTHLY,2024-25
STU20240253,Tuition Fee,5000,MONTHLY,2024-25
STU20240254,Tuition Fee,5000,MONTHLY,2024-25
STU20240255,Tuition Fee,5000,MONTHLY,2024-25
STU20240256,Tuition Fee,5000,MONTHLY,2024-25
STU20240257,Tuition Fee,5000,MONTHLY,2024-25
STU20240258,Tuition Fee,5000,MONTHLY,2024-25
STU20240259,Tuition Fee,5000,MONTHLY,2024-25
STU20240260,Tuition Fee,5000,MONTHLY,2024-25
STU20240261,Tuition Fee,5000,MONTHLY,2024-25
STU20240262,Tuition Fee,5000,MONTHLY,2024-25
STU20240263,Tuition Fee,5000,MONTHLY,2024-25
STU20240264,Tuition Fee,5000,MONTHLY,2024-25
STU20240265,Tuition Fee,5000,MONTHLY,2024-25
STU20240266,Tuition Fee,5000,MONTHLY,2024-25
STU20240267,Tuition Fee,5000,MONTHLY,2024-25
STU20240268,Tuition Fee,5000,MONTHLY,2024-25
STU20240269,Tuition Fee,5000,MONTHLY,2024-25
STU20240270,Tuition Fee,5000,MONTHLY,2024-25
STU20240271,Tuition Fee,5000,MONTHLY,2024-25
STU20240272,Tuition Fee,5000,MONTHLY,2024-25
STU20240273,Tuition Fee,5000,MONTHLY,2024-25
STU20240274,Tuition Fee,5000,MONTHLY,2024-25
STU20240275,Tuition Fee,5000,MONTHLY,2024-25
STU20240276,Tuition Fee,5000,MONTHLY,2024-25
STU20240277,Tuition Fee,5000,MONTHLY,2024-25
STU20240278,Tuition Fee,5000,MONTHLY,2024-25
STU20240279,Tuition Fee,5000,MONTHLY,2024-25
STU20240280,Tuition Fee,5000,MONTHLY,2024-25
STU20240281,Tuition Fee,5000,MONTHLY,2024-25
STU20240282,Tuition Fee,5000,MONTHLY,2024-25
STU20240283,Tuition Fee,5000,MONTHLY,2024-25
STU20240284,Tuition Fee,5000,MONTHLY,2024-25
STU20240285,Tuition Fee,5000,MONTHLY,2024-25
STU20240286,Tuition Fee,5000,MONTHLY,2024-25
STU20240287,Tuition Fee,5000,MONTHLY,2024-25
STU20240288,Tuition Fee,5000,MONTHLY,2024-25
STU20240289,Tuition Fee,5000,MONTHLY,2024-25
STU20240290,Tuition Fee,5000,MONTHLY,2024-25
STU20240291,Tuition Fee,5000,MONTHLY,2024-25
STU20240292,Tuition Fee,5000,MONTHLY,2024-25
STU20240293,Tuition Fee,5000,MONTHLY,2024-25
STU20240294,Tuition Fee,5000,MONTHLY,2024-25
STU20240295,Tuition Fee,5000,MONTHLY,2024-25
STU20240296,Tuition Fee,5000,MONTHLY,2024-25
STU20240297,Tuition Fee,5000,MONTHLY,2024-25
STU20240298,Tuition Fee,5000,MONTHLY,2024-25
STU20240299,Tuition Fee,5000,MONTHLY,2024-25
STU20240300,Tuition Fee,5000,MONTHLY,2024-25
STU20240301,Tuition Fee,5000,MONTHLY,2024-25
STU20240302,Tuition Fee,5000,MONTHLY,2024-25
STU20240303,Tuition Fee,5000,MONTHLY,2024-25
STU20240304,Tuition Fee,5000,MONTHLY,2024-25
STU20240305,Tuition Fee,5000,MONTHLY,2024-25
STU20240306,Tuition Fee,5000,MONTHLY,2024-25
STU20240307,Tuition Fee,5000,MONTHLY,2024-25
STU20240308,Tuition Fee,5000,MONTHLY,2024-25
STU20240309,Tuition Fee,5000,MONTHLY,2024-25
STU20240310,Tuition Fee,5000,MONTHLY,2024-25
STU20240311,Tuition Fee,5000,MONTHLY,2024-25
STU20240312,Tuition Fee,5000,MONTHLY,2024-25
STU20240313,Tuition Fee,5000,MONTHLY,2024-25
STU20240314,Tuition Fee,5000,MONTHLY,2024-25
STU20240315,Tuition Fee,5000,MONTHLY,2024-25
STU20240316,Tuition Fee,5000,MONTHLY,2024-25
STU20240317,Tuition Fee,5000,MONTHLY,2024-25
STU20240318,Tuition Fee,5000,MONTHLY,2024-25
STU20240319,Tuition Fee,5000,MONTHLY,2024-25
STU20240320,Tuition Fee,5000,MONTHLY,2024-25
STU20240321,Tuition Fee,5000,MONTHLY,2024-25
STU20240322,Tuition Fee,5000,MONTHLY,2024-25
STU20240323,Tuition Fee,5000,MONTHLY,2024-25
STU20240324,Tuition Fee,5000,MONTHLY,2024-25
STU20240325,Tuition Fee,5000,MONTHLY,2024-25
STU20240326,Tuition Fee,5000,MONTHLY,2024-25
STU20240327,Tuition Fee,5000,MONTHLY,2024-25
STU20240328,Tuition Fee,5000,MONTHLY,2024-25
STU20240329,Tuition Fee,5000,MONTHLY,2024-25
STU20240330,Tuition Fee,5000,MONTHLY,2024-25
STU20240331,Tuition Fee,5000,MONTHLY,2024-25
STU20240332,Tuition Fee,5000,MONTHLY,2024-25
STU20240333,Tuition Fee,5000,MONTHLY,2024-25
STU20240334,Tuition Fee,5000,MONTHLY,2024-25
STU20240335,Tuition Fee,5000,MONTHLY,2024-25
STU20240336,Tuition Fee,5000,MONTHLY,2024-25
STU20240337,Tuition Fee,5000,MONTHLY,2024-25
STU20240338,Tuition Fee,5000,MONTHLY,2024-25
STU20240339,Tuition Fee,5000,MONTHLY,2024-25
STU20240340,Tuition Fee,5000,MONTHLY,2024-25
STU20240341,Tuition Fee,5000,MONTHLY,2024-25
STU20240342,Tuition Fee,5000,MONTHLY,2024-25
STU20240343,Tuition Fee,5000,MONTHLY,2024-25
STU20240344,Tuition Fee,5000,MONTHLY,2024-25
STU20240345,Tuition Fee,5000,MONTHLY,2024-25
STU20240346,Tuition Fee,5000,MONTHLY,2024-25
STU20240347,Tuition Fee,5000,MONTHLY,2024-25
STU20240348,Tuition Fee,5000,MONTHLY,2024-25
STU20240349,Tuition Fee,5000,MONTHLY,2024-25
STU20240350,Tuition Fee,5000,MONTHLY,2024-25
STU20240351,Tuition Fee,5000,MONTHLY,2024-25
STU20240352,Tuition Fee,5000,MONTHLY,2024-25
STU20240353,Tuition Fee,5000,MONTHLY,2024-25
STU20240354,Tuition Fee,5000,MONTHLY,2024-25
STU20240355,Tuition Fee,5000,MONTHLY,2024-25
STU20240356,Tuition Fee,5000,MONTHLY,2024-25
STU20240357,Tuition Fee,5000,MONTHLY,2024-25
STU20240358,Tuition Fee,5000,MONTHLY,2024-25
STU20240359,Tuition Fee,5000,MONTHLY,2024-25
STU20240360,Tuition Fee,5000,MONTHLY,2024-25
STU20240361,Tuition Fee,5000,MONTHLY,2024-25
STU20240362,Tuition Fee,5000,MONTHLY,2024-25
STU20240363,Tuition Fee,5000,MONTHLY,2024-25
STU20240364,Tuition Fee,5000,MONTHLY,2024-25
STU20240365,Tuition Fee,5000,MONTHLY,2024-25
STU20240366,Tuition Fee,5000,MONTHLY,2024-25
STU20240367,Tuition Fee,5000,MONTHLY,2024-25
STU20240368,Tuition Fee,5000,MONTHLY,2024-25
STU20240369,Tuition Fee,5000,MONTHLY,2024-25
STU20240370,Tuition Fee,5000,MONTHLY,2024-25
STU20240371,Tuition Fee,5000,MONTHLY,2024-25
STU20240372,Tuition Fee,5000,MONTHLY,2024-25
STU20240373,Tuition Fee,5000,MONTHLY,2024-25
STU20240374,Tuition Fee,5000,MONTHLY,2024-25
STU20240375,Tuition Fee,5000,MONTHLY,2024-25
STU20240376,Tuition Fee,5000,MONTHLY,2024-25
STU20240377,Tuition Fee,5000,MONTHLY,2024-25
STU20240378,Tuition Fee,5000,MONTHLY,2024-25
STU20240379,Tuition Fee,5000,MONTHLY,2024-25
STU20240380,Tuition Fee,5000,MONTHLY,2024-25
STU20240381,Tuition Fee,5000,MONTHLY,2024-25
STU20240382,Tuition Fee,5000,MONTHLY,2024-25
STU20240383,Tuition Fee,5000,MONTHLY,2024-25
STU20240384,Tuition Fee,5000,MONTHLY,2024-25
STU20240385,Tuition Fee,5000,MONTHLY,2024-25
STU20240386,Tuition Fee,5000,MONTHLY,2024-25
STU20240387,Tuition Fee,5000,MONTHLY,2024-25
STU20240388,Tuition Fee,5000,MONTHLY,2024-25
STU20240389,Tuition Fee,5000,MONTHLY,2024-25
STU20240390,Tuition Fee,5000,MONTHLY,2024-25
STU20240391,Tuition Fee,5000,MONTHLY,2024-25
STU20240392,Tuition Fee,5000,MONTHLY,2024-25
STU20240393,Tuition Fee,5000,MONTHLY,2024-25
STU20240394,Tuition Fee,5000,MONTHLY,2024-25
STU20240395,Tuition Fee,5000,MONTHLY,2024-25
STU20240396,Tuition Fee,5000,MONTHLY,2024-25
STU20240397,Tuition Fee,5000,MONTHLY,2024-25
STU20240398,Tuition Fee,5000,MONTHLY,2024-25
STU20240399,Tuition Fee,5000,MONTHLY,2024-25
STU20240400,Tuition Fee,5000,MONTHLY,2024-25
STU20240401,Tuition Fee,5000,MONTHLY,2024-25
STU20240402,Tuition Fee,5000,MONTHLY,2024-25
STU20240403,Tuition Fee,5000,MONTHLY,2024-25
STU20240404,Tuition Fee,5000,MONTHLY,2024-25
STU20240405,Tuition Fee,5000,MONTHLY,2024-25
STU20240406,Tuition Fee,5000,MONTHLY,2024-25
STU20240407,Tuition Fee,5000,MONTHLY,2024-25
STU20240408,Tuition Fee,5000,MONTHLY,2024-25
STU20240409,Tuition Fee,5000,MONTHLY,2024-25
STU20240410,Tuition Fee,5000,MONTHLY,2024-25
STU20240411,Tuition Fee,5000,MONTHLY,2024-25
STU20240412,Tuition Fee,5000,MONTHLY,2024-25
STU20240413,Tuition Fee,5000,MONTHLY,2024-25
STU20240414,Tuition Fee,5000,MONTHLY,2024-25
STU20240415,Tuition Fee,5000,MONTHLY,2024-25
STU20240416,Tuition Fee,5000,MONTHLY,2024-25
STU20240417,Tuition Fee,5000,MONTHLY,2024-25
STU20240418,Tuition Fee,5000,MONTHLY,2024-25
STU20240419,Tuition Fee,5000,MONTHLY,2024-25
STU20240420,Tuition Fee,5000,MONTHLY,2024-25
STU20240421,Tuition Fee,5000,MONTHLY,2024-25
STU20240422,Tuition Fee,5000,MONTHLY,2024-25
STU20240423,Tuition Fee,5000,MONTHLY,2024-25
STU20240424,Tuition Fee,5000,MONTHLY,2024-25
STU20240425,Tuition Fee,5000,MONTHLY,2024-25
STU20240426,Tuition Fee,5000,MONTHLY,2024-25
STU20240427,Tuition Fee,5000,MONTHLY,2024-25
STU20240428,Tuition Fee,5000,MONTHLY,2024-25
STU20240429,Tuition Fee,5000,MONTHLY,2024-25
STU20240430,Tuition Fee,5000,MONTHLY,2024-25
STU20240431,Tuition Fee,5000,MONTHLY,2024-25
STU20240432,Tuition Fee,5000,MONTHLY,2024-25
STU20240433,Tuition Fee,5000,MONTHLY,2024-25
STU20240434,Tuition Fee,5000,MONTHLY,2024-25
STU20240435,Tuition Fee,5000,MONTHLY,2024-25
STU20240436,Tuition Fee,5000,MONTHLY,2024-25
STU20240437,Tuition Fee,5000,MONTHLY,2024-25
STU20240438,Tuition Fee,5000,MONTHLY,2024-25
STU20240439,Tuition Fee,5000,MONTHLY,2024-25
STU20240440,Tuition Fee,5000,MONTHLY,2024-25
STU20240441,Tuition Fee,5000,MONTHLY,2024-25
STU20240442,Tuition Fee,5000,MONTHLY,2024-25
STU20240443,Tuition Fee,5000,MONTHLY,2024-25
STU20240444,Tuition Fee,5000,MONTHLY,2024-25
STU20240445,Tuition Fee,5000,MONTHLY,2024-25
STU20240446,Tuition Fee,5000,MONTHLY,2024-25
STU20240447,Tuition Fee,5000,MONTHLY,2024-25
STU20240448,Tuition Fee,5000,MONTHLY,2024-25
STU20240449,Tuition Fee,5000,MONTHLY,2024-25
STU20240450,Tuition Fee,5000,MONTHLY,2024-25
STU20240451,Tuition Fee,5000,MONTHLY,2024-25
STU20240452,Tuition Fee,5000,MONTHLY,2024-25
STU20240453,Tuition Fee,5000,MONTHLY,2024-25
STU20240454,Tuition Fee,5000,MONTHLY,2024-25
STU20240455,Tuition Fee,5000,MONTHLY,2024-25
STU20240456,Tuition Fee,5000,MONTHLY,2024-25
STU20240457,Tuition Fee,5000,MONTHLY,2024-25
STU20240458,Tuition Fee,5000,MONTHLY,2024-25
STU20240459,Tuition Fee,5000,MONTHLY,2024-25
STU20240460,Tuition Fee,5000,MONTHLY,2024-25
STU20240461,Tuition Fee,5000,MONTHLY,2024-25
STU20240462,Tuition Fee,5000,MONTHLY,2024-25
STU20240463,Tuition Fee,5000,MONTHLY,2024-25
STU20240464,Tuition Fee,5000,MONTHLY,2024-25
STU20240465,Tuition Fee,5000,MONTHLY,2024-25
STU20240466,Tuition Fee,5000,MONTHLY,2024-25
STU20240467,Tuition Fee,5000,MONTHLY,2024-25
STU20240468,Tuition Fee,5000,MONTHLY,2024-25
STU20240469,Tuition Fee,5000,MONTHLY,2024-25
STU20240470,Tuition Fee,5000,MONTHLY,2024-25
STU20240471,Tuition Fee,5000,MONTHLY,2024-25
STU20240472,Tuition Fee,5000,MONTHLY,2024-25
STU20240473,Tuition Fee,5000,MONTHLY,2024-25
STU20240474,Tuition Fee,5000,MONTHLY,2024-25
STU20240475,Tuition Fee,5000,MONTHLY,2024-25
STU20240476,Tuition Fee,5000,MONTHLY,2024-25
STU20240477,Tuition Fee,5000,MONTHLY,2024-25
STU20240478,Tuition Fee,5000,MONTHLY,2024-25
STU20240479,Tuition Fee,5000,MONTHLY,2024-25
STU20240480,Tuition Fee,5000,MONTHLY,2024-25
STU20240481,Tuition Fee,5000,MONTHLY,2024-25
