admission_number,route_name,stop_name,start_date
STU20240073,Route 3,Stop 1,01-04-2024
STU20240074,Route 4,Stop 2,01-04-2024
STU20240075,Route 5,Stop 3,01-04-2024
STU20240076,Route 1,Stop 4,01-04-2024
STU20240077,Route 2,Stop 5,01-04-2024
STU20240078,Route 3,Stop 6,01-04-2024
STU20240079,Route 4,Stop 7,01-04-2024
STU20240080,Route 5,Stop 8,01-04-2024
STU20240081,Route 1,Stop 1,01-04-2024
STU20240082,Route 2,Stop 2,01-04-2024
STU20240083,Route 3,Stop 3,01-04-2024
STU20240084,Route 4,Stop 4,01-04-2024
STU20240085,Route 5,Stop 5,01-04-2024
STU20240086,Route 1,Stop 6,01-04-2024
STU20240087,Route 2,Stop 7,01-04-2024
STU20240088,Route 3,Stop 8,01-04-2024
STU20240089,Route 4,Stop 1,01-04-2024
STU20240090,Route 5,Stop 2,01-04-2024
STU20240091,Route 1,Stop 3,01-04-2024
STU20240092,Route 2,Stop 4,01-04-2024
STU20240093,Route 3,Stop 5,01-04-2024
STU20240094,Route 4,Stop 6,01-04-2024
STU20240095,Route 5,Stop 7,01-04-2024
STU20240096,Route 1,Stop 8,01-04-2024
STU20240097,Route 2,Stop 1,01-04-2024
STU20240098,Route 3,Stop 2,01-04-2024
STU20240099,Route 4,Stop 3,01-04-2024
STU20240100,Route 5,Stop 4,01-04-2024
STU20240101,Route 1,Stop 5,01-04-2024
STU20240102,Route 2,Stop 6,01-04-2024
STU20240103,Route 3,Stop 7,01-04-2024
STU20240104,Route 4,Stop 8,01-04-2024
STU20240105,Route 5,Stop 1,01-04-2024
STU20240106,Route 1,Stop 2,01-04-2024
STU20240107,Route 2,Stop 3,01-04-2024
STU20240108,Route 3,Stop 4,01-04-2024
STU20240109,Route 4,Stop 5,01-04-2024
STU20240110,Route 5,Stop 6,01-04-2024
STU20240111,Route 1,Stop 7,01-04-2024
STU20240112,Route 2,Stop 8,01-04-2024
STU20240113,Route 3,Stop 1,01-04-2024
STU20240114,Route 4,Stop 2,01-04-2024
STU20240115,Route 5,Stop 3,01-04-2024
STU20240116,Route 1,Stop 4,01-04-2024
STU20240117,Route 2,Stop 5,01-04-2024
STU20240118,Route 3,Stop 6,01-04-2024
STU20240119,Route 4,Stop 7,01-04-2024
STU20240120,Route 5,Stop 8,01-04-2024
STU20240121,Route 1,Stop 1,01-04-2024
STU20240122,Route 2,Stop 2,01-04-2024
STU20240123,Route 3,Stop 3,01-04-2024
STU20240124,Route 4,Stop 4,01-04-2024
STU20240125,Route 5,Stop 5,01-04-2024
STU20240126,Route 1,Stop 6,01-04-2024
STU20240127,Route 2,Stop 7,01-04-2024
STU20240128,Route 3,Stop 8,01-04-2024
STU20240129,Route 4,Stop 1,01-04-2024
STU20240130,Route 5,Stop 2,01-04-2024
STU20240131,Route 1,Stop 3,01-04-2024
STU20240132,Route 2,Stop 4,01-04-2024
STU20240133,Route 3,Stop 5,01-04-2024
STU20240134,Route 4,Stop 6,01-04-2024
STU20240135,Route 5,Stop 7,01-04-2024
STU20240136,Route 1,Stop 8,01-04-2024
STU20240137,Route 2,Stop 1,01-04-2024
STU20240138,Route 3,Stop 2,01-04-2024
STU20240139,Route 4,Stop 3,01-04-2024
STU20240140,Route 5,Stop 4,01-04-2024
STU20240141,Route 1,Stop 5,01-04-2024
STU20240142,Route 2,Stop 6,01-04-2024
STU20240143,Route 3,Stop 7,01-04-2024
STU20240144,Route 4,Stop 8,01-04-2024
STU20240145,Route 5,Stop 1,01-04-2024
STU20240146,Route 1,Stop 2,01-04-2024
STU20240147,Route 2,Stop 3,01-04-2024
STU20240148,Route 3,Stop 4,01-04-2024
STU20240149,Route 4,Stop 5,01-04-2024
STU20240150,Route 5,Stop 6,01-04-2024
STU20240151,Route 1,Stop 7,01-04-2024
STU20240152,Route 2,Stop 8,01-04-2024
STU20240153,Route 3,Stop 1,01-04-2024
STU20240154,Route 4,Stop 2,01-04-2024
STU20240155,Route 5,Stop 3,01-04-2024
STU20240156,Route 1,Stop 4,01-04-2024
STU20240157,Route 2,Stop 5,01-04-2024
STU20240158,Route 3,Stop 6,01-04-2024
STU20240159,Route 4,Stop 7,01-04-2024
STU20240160,Route 5,Stop 8,01-04-2024
STU20240161,Route 1,Stop 1,01-04-2024
STU20240162,Route 2,Stop 2,01-04-2024
STU20240163,Route 3,Stop 3,01-04-2024
STU20240164,Route 4,Stop 4,01-04-2024
STU20240165,Route 5,Stop 5,01-04-2024
STU20240166,Route 1,Stop 6,01-04-2024
STU20240167,Route 2,Stop 7,01-04-2024
STU20240168,Route 3,Stop 8,01-04-2024
STU20240169,Route 4,Stop 1,01-04-2024
STU20240170,Route 5,Stop 2,01-04-2024
STU20240171,Route 1,Stop 3,01-04-2024
STU20240172,Route 2,Stop 4,01-04-2024
STU20240173,Route 3,Stop 5,01-04-2024
STU20240174,Route 4,Stop 6,01-04-2024
STU20240175,Route 5,Stop 7,01-04-2024
STU20240176,Route 1,Stop 8,01-04-2024
STU20240177,Route 2,Stop 1,01-04-2024
STU20240178,Route 3,Stop 2,01-04-2024
STU20240179,Route 4,Stop 3,01-04-2024
STU20240180,Route 5,Stop 4,01-04-2024
STU20240181,Route 1,Stop 5,01-04-2024
STU20240182,Route 2,Stop 6,01-04-2024
STU20240183,Route 3,Stop 7,01-04-2024
STU20240184,Route 4,Stop 8,01-04-2024
STU20240185,Route 5,Stop 1,01-04-2024
STU20240186,Route 1,Stop 2,01-04-2024
STU20240187,Route 2,Stop 3,01-04-2024
STU20240188,Route 3,Stop 4,01-04-2024
STU20240189,Route 4,Stop 5,01-04-2024
STU20240190,Route 5,Stop 6,01-04-2024
STU20240191,Route 1,Stop 7,01-04-2024
STU20240192,Route 2,Stop 8,01-04-2024
STU20240193,Route 3,Stop 1,01-04-2024
STU20240194,Route 4,Stop 2,01-04-2024
STU20240195,Route 5,Stop 3,01-04-2024
STU20240196,Route 1,Stop 4,01-04-2024
STU20240197,Route 2,Stop 5,01-04-2024
STU20240198,Route 3,Stop 6,01-04-2024
STU20240199,Route 4,Stop 7,01-04-2024
STU20240200,Route 5,Stop 8,01-04-2024
STU20240201,Route 1,Stop 1,01-04-2024
STU20240202,Route 2,Stop 2,01-04-2024
STU20240203,Route 3,Stop 3,01-04-2024
STU20240204,Route 4,Stop 4,01-04-2024
STU20240205,Route 5,Stop 5,01-04-2024
STU20240206,Route 1,Stop 6,01-04-2024
STU20240207,Route 2,Stop 7,01-04-2024
STU20240208,Route 3,Stop 8,01-04-2024
STU20240209,Route 4,Stop 1,01-04-2024
STU20240210,Route 5,Stop 2,01-04-2024
STU20240211,Route 1,Stop 3,01-04-2024
STU20240212,Route 2,Stop 4,01-04-2024
STU20240213,Route 3,Stop 5,01-04-2024
STU20240214,Route 4,Stop 6,01-04-2024
STU20240215,Route 5,Stop 7,01-04-2024
STU20240216,Route 1,Stop 8,01-04-2024
STU20240217,Route 2,Stop 1,01-04-2024
STU20240218,Route 3,Stop 2,01-04-2024
STU20240219,Route 4,Stop 3,01-04-2024
STU20240220,Route 5,Stop 4,01-04-2024
STU20240221,Route 1,Stop 5,01-04-2024
STU20240222,Route 2,Stop 6,01-04-2024
STU20240223,Route 3,Stop 7,01-04-2024
STU20240224,Route 4,Stop 8,01-04-2024
STU20240225,Route 5,Stop 1,01-04-2024
STU20240226,Route 1,Stop 2,01-04-2024
STU20240227,Route 2,Stop 3,01-04-2024
STU20240228,Route 3,Stop 4,01-04-2024
STU20240229,Route 4,Stop 5,01-04-2024
STU20240230,Route 5,Stop 6,01-04-2024
STU20240231,Route 1,Stop 7,01-04-2024
STU20240232,Route 2,Stop 8,01-04-2024
STU20240233,Route 3,Stop 1,01-04-2024
STU20240234,Route 4,Stop 2,01-04-2024
STU20240235,Route 5,Stop 3,01-04-2024
STU20240236,Route 1,Stop 4,01-04-2024
STU20240237,Route 2,Stop 5,01-04-2024
STU20240238,Route 3,Stop 6,01-04-2024
STU20240239,Route 4,Stop 7,01-04-2024
STU20240240,Route 5,Stop 8,01-04-2024
STU20240241,Route 1,Stop 1,01-04-2024
STU20240242,Route 2,Stop 2,01-04-2024
STU20240243,Route 3,Stop 3,01-04-2024
STU20240244,Route 4,Stop 4,01-04-2024
STU20240245,Route 5,Stop 5,01-04-2024
STU20240246,Route 1,Stop 6,01-04-2024
STU20240247,Route 2,Stop 7,01-04-2024
STU20240248,Route 3,Stop 8,01-04-2024
STU20240249,Route 4,Stop 1,01-04-2024
STU20240250,Route 5,Stop 2,01-04-2024
STU20240251,Route 1,Stop 3,01-04-2024
STU20240252,Route 2,Stop 4,01-04-2024
STU20240253,Route 3,Stop 5,01-04-2024
STU20240254,Route 4,Stop 6,01-04-2024
STU20240255,Route 5,Stop 7,01-04-2024
STU20240256,Route 1,Stop 8,01-04-2024
STU20240257,Route 2,Stop 1,01-04-2024
STU20240258,Route 3,Stop 2,01-04-2024
STU20240259,Route 4,Stop 3,01-04-2024
STU20240260,Route 5,Stop 4,01-04-2024
STU20240261,Route 1,Stop 5,01-04-2024
STU20240262,Route 2,Stop 6,01-04-2024
STU20240263,Route 3,Stop 7,01-04-2024
STU20240264,Route 4,Stop 8,01-04-2024
STU20240265,Route 5,Stop 1,01-04-2024
STU20240266,Route 1,Stop 2,01-04-2024
STU20240267,Route 2,Stop 3,01-04-2024
STU20240268,Route 3,Stop 4,01-04-2024
STU20240269,Route 4,Stop 5,01-04-2024
STU20240270,Route 5,Stop 6,01-04-2024
STU20240271,Route 1,Stop 7,01-04-2024
STU20240272,Route 2,Stop 8,01-04-2024
STU20240273,Route 3,Stop 1,01-04-2024
STU20240274,Route 4,Stop 2,01-04-2024
STU20240275,Route 5,Stop 3,01-04-2024
STU20240276,Route 1,Stop 4,01-04-2024
STU20240277,Route 2,Stop 5,01-04-2024
STU20240278,Route 3,Stop 6,01-04-2024
STU20240279,Route 4,Stop 7,01-04-2024
STU20240280,Route 5,Stop 8,01-04-2024
STU20240281,Route 1,Stop 1,01-04-2024
STU20240282,Route 2,Stop 2,01-04-2024
STU20240283,Route 3,Stop 3,01-04-2024
STU20240284,Route 4,Stop 4,01-04-2024
STU20240285,Route 5,Stop 5,01-04-2024
STU20240286,Route 1,Stop 6,01-04-2024
STU20240287,Route 2,Stop 7,01-04-2024
STU20240288,Route 3,Stop 8,01-04-2024
STU20240289,Route 4,Stop 1,01-04-2024
STU20240290,Route 5,Stop 2,01-04-2024
STU20240291,Route 1,Stop 3,01-04-2024
STU20240292,Route 2,Stop 4,01-04-2024
STU20240293,Route 3,Stop 5,01-04-2024
STU20240294,Route 4,Stop 6,01-04-2024
STU20240295,Route 5,Stop 7,01-04-2024
STU20240296,Route 1,Stop 8,01-04-2024
STU20240297,Route 2,Stop 1,01-04-2024
STU20240298,Route 3,Stop 2,01-04-2024
STU20240299,Route 4,Stop 3,01-04-2024
STU20240300,Route 5,Stop 4,01-04-2024
STU20240301,Route 1,Stop 5,01-04-2024
STU20240302,Route 2,Stop 6,01-04-2024
STU20240303,Route 3,Stop 7,01-04-2024
STU20240304,Route 4,Stop 8,01-04-2024
STU20240305,Route 5,Stop 1,01-04-2024
STU20240306,Route 1,Stop 2,01-04-2024
STU20240307,Route 2,Stop 3,01-04-2024
STU20240308,Route 3,Stop 4,01-04-2024
STU20240309,Route 4,Stop 5,01-04-2024
STU20240310,Route 5,Stop 6,01-04-2024
STU20240311,Route 1,Stop 7,01-04-2024
STU20240312,Route 2,Stop 8,01-04-2024
STU20240313,Route 3,Stop 1,01-04-2024
STU20240314,Route 4,Stop 2,01-04-2024
STU20240315,Route 5,Stop 3,01-04-2024
STU20240316,Route 1,Stop 4,01-04-2024
STU20240317,Route 2,Stop 5,01-04-2024
STU20240318,Route 3,Stop 6,01-04-2024
STU20240319,Route 4,Stop 7,01-04-2024
STU20240320,Route 5,Stop 8,01-04-2024
STU20240321,Route 1,Stop 1,01-04-2024
STU20240322,Route 2,Stop 2,01-04-2024
STU20240323,Route 3,Stop 3,01-04-2024
STU20240324,Route 4,Stop 4,01-04-2024
STU20240325,Route 5,Stop 5,01-04-2024
STU20240326,Route 1,Stop 6,01-04-2024
STU20240327,Route 2,Stop 7,01-04-2024
STU20240328,Route 3,Stop 8,01-04-2024
STU20240329,Route 4,Stop 1,01-04-2024
STU20240330,Route 5,Stop 2,01-04-2024
STU20240331,Route 1,Stop 3,01-04-2024
STU20240332,Route 2,Stop 4,01-04-2024
STU20240333,Route 3,Stop 5,01-04-2024
STU20240334,Route 4,Stop 6,01-04-2024
STU20240335,Route 5,Stop 7,01-04-2024
STU20240336,Route 1,Stop 8,01-04-2024
STU20240337,Route 2,Stop 1,01-04-2024
STU20240338,Route 3,Stop 2,01-04-2024
STU20240339,Route 4,Stop 3,01-04-2024
STU20240340,Route 5,Stop 4,01-04-2024
STU20240341,Route 1,Stop 5,01-04-2024
STU20240342,Route 2,Stop 6,01-04-2024
STU20240343,Route 3,Stop 7,01-04-2024
STU20240344,Route 4,Stop 8,01-04-2024
STU20240345,Route 5,Stop 1,01-04-2024
STU20240346,Route 1,Stop 2,01-04-2024
STU20240347,Route 2,Stop 3,01-04-2024
STU20240348,Route 3,Stop 4,01-04-2024
STU20240349,Route 4,Stop 5,01-04-2024
STU20240350,Route 5,Stop 6,01-04-2024
STU20240351,Route 1,Stop 7,01-04-2024
STU20240352,Route 2,Stop 8,01-04-2024
STU20240353,Route 3,Stop 1,01-04-2024
STU20240354,Route 4,Stop 2,01-04-2024
STU20240355,Route 5,Stop 3,01-04-2024
STU20240356,Route 1,Stop 4,01-04-2024
STU20240357,Route 2,Stop 5,01-04-2024
STU20240358,Route 3,Stop 6,01-04-2024
STU20240359,Route 4,Stop 7,01-04-2024
STU20240360,Route 5,Stop 8,01-04-2024
STU20240361,Route 1,Stop 1,01-04-2024
STU20240362,Route 2,Stop 2,01-04-2024
STU20240363,Route 3,Stop 3,01-04-2024
STU20240364,Route 4,Stop 4,01-04-2024
STU20240365,Route 5,Stop 5,01-04-2024
STU20240366,Route 1,Stop 6,01-04-2024
STU20240367,Route 2,Stop 7,01-04-2024
STU20240368,Route 3,Stop 8,01-04-2024
STU20240369,Route 4,Stop 1,01-04-2024
STU20240370,Route 5,Stop 2,01-04-2024
STU20240371,Route 1,Stop 3,01-04-2024
STU20240372,Route 2,Stop 4,01-04-2024
STU20240373,Route 3,Stop 5,01-04-2024
STU20240374,Route 4,Stop 6,01-04-2024
STU20240375,Route 5,Stop 7,01-04-2024
STU20240376,Route 1,Stop 8,01-04-2024
STU20240377,Route 2,Stop 1,01-04-2024
STU20240378,Route 3,Stop 2,01-04-2024
STU20240379,Route 4,Stop 3,01-04-2024
STU20240380,Route 5,Stop 4,01-04-2024
STU20240381,Route 1,Stop 5,01-04-2024
STU20240382,Route 2,Stop 6,01-04-2024
STU20240383,Route 3,Stop 7,01-04-2024
STU20240384,Route 4,Stop 8,01-04-2024
STU20240385,Route 5,Stop 1,01-04-2024
STU20240386,Route 1,Stop 2,01-04-2024
STU20240387,Route 2,Stop 3,01-04-2024
STU20240388,Route 3,Stop 4,01-04-2024
STU20240389,Route 4,Stop 5,01-04-2024
STU20240390,Route 5,Stop 6,01-04-2024
STU20240391,Route 1,Stop 7,01-04-2024
STU20240392,Route 2,Stop 8,01-04-2024
STU20240393,Route 3,Stop 1,01-04-2024
STU20240394,Route 4,Stop 2,01-04-2024
STU20240395,Route 5,Stop 3,01-04-2024
STU20240396,Route 1,Stop 4,01-04-2024
STU20240397,Route 2,Stop 5,01-04-2024
STU20240398,Route 3,Stop 6,01-04-2024
STU20240399,Route 4,Stop 7,01-04-2024
STU20240400,Route 5,Stop 8,01-04-2024
STU20240401,Route 1,Stop 1,01-04-2024
STU20240402,Route 2,Stop 2,01-04-2024
STU20240403,Route 3,Stop 3,01-04-2024
STU20240404,Route 4,Stop 4,01-04-2024
STU20240405,Route 5,Stop 5,01-04-2024
STU20240406,Route 1,Stop 6,01-04-2024
STU20240407,Route 2,Stop 7,01-04-2024
STU20240408,Route 3,Stop 8,01-04-2024
STU20240409,Route 4,Stop 1,01-04-2024
STU20240410,Route 5,Stop 2,01-04-2024
STU20240411,Route 1,Stop 3,01-04-2024
STU20240412,Route 2,Stop 4,01-04-2024
STU20240413,Route 3,Stop 5,01-04-2024
STU20240414,Route 4,Stop 6,01-04-2024
STU20240415,Route 5,Stop 7,01-04-2024
STU20240416,Route 1,Stop 8,01-04-2024
STU20240417,Route 2,Stop 1,01-04-2024
STU20240418,Route 3,Stop 2,01-04-2024
STU20240419,Route 4,Stop 3,01-04-2024
STU20240420,Route 5,Stop 4,01-04-2024
STU20240421,Route 1,Stop 5,01-04-2024
STU20240422,Route 2,Stop 6,01-04-2024
STU20240423,Route 3,Stop 7,01-04-2024
STU20240424,Route 4,Stop 8,01-04-2024
STU20240425,Route 5,Stop 1,01-04-2024
STU20240426,Route 1,Stop 2,01-04-2024
STU20240427,Route 2,Stop 3,01-04-2024
STU20240428,Route 3,Stop 4,01-04-2024
STU20240429,Route 4,Stop 5,01-04-2024
STU20240430,Route 5,Stop 6,01-04-2024
STU20240431,Route 1,Stop 7,01-04-2024
STU20240432,Route 2,Stop 8,01-04-2024
STU20240433,Route 3,Stop 1,01-04-2024
STU20240434,Route 4,Stop 2,01-04-2024
STU20240435,Route 5,Stop 3,01-04-2024
STU20240436,Route 1,Stop 4,01-04-2024
STU20240437,Route 2,Stop 5,01-04-2024
STU20240438,Route 3,Stop 6,01-04-2024
STU20240439,Route 4,Stop 7,01-04-2024
STU20240440,Route 5,Stop 8,01-04-2024
STU20240441,Route 1,Stop 1,01-04-2024
STU20240442,Route 2,Stop 2,01-04-2024
STU20240443,Route 3,Stop 3,01-04-2024
STU20240444,Route 4,Stop 4,01-04-2024
STU20240445,Route 5,Stop 5,01-04-2024
STU20240446,Route 1,Stop 6,01-04-2024
STU20240447,Route 2,Stop 7,01-04-2024
STU20240448,Route 3,Stop 8,01-04-2024
STU20240449,Route 4,Stop 1,01-04-2024
STU20240450,Route 5,Stop 2,01-04-2024
STU20240451,Route 1,Stop 3,01-04-2024
STU20240452,Route 2,Stop 4,01-04-2024
STU20240453,Route 3,Stop 5,01-04-2024
STU20240454,Route 4,Stop 6,01-04-2024
STU20240455,Route 5,Stop 7,01-04-2024
STU20240456,Route 1,Stop 8,01-04-2024
STU20240457,Route 2,Stop 1,01-04-2024
STU20240458,Route 3,Stop 2,01-04-2024
STU20240459,Route 4,Stop 3,01-04-2024
STU20240460,Route 5,Stop 4,01-04-2024
STU20240461,Route 1,Stop 5,01-04-2024
STU20240462,Route 2,Stop 6,01-04-2024
STU20240463,Route 3,Stop 7,01-04-2024
STU20240464,Route 4,Stop 8,01-04-2024
STU20240465,Route 5,Stop 1,01-04-2024
STU20240466,Route 1,Stop 2,01-04-2024
STU20240467,Route 2,Stop 3,01-04-2024
STU20240468,Route 3,Stop 4,01-04-2024
STU20240469,Route 4,Stop 5,01-04-2024
STU20240470,Route 5,Stop 6,01-04-2024
STU20240471,Route 1,Stop 7,01-04-2024
STU20240472,Route 2,Stop 8,01-04-2024
STU20240473,Route 3,Stop 1,01-04-2024
STU20240474,Route 4,Stop 2,01-04-2024
STU20240475,Route 5,Stop 3,01-04-2024
STU20240476,Route 1,Stop 4,01-04-2024
STU20240477,Route 2,Stop 5,01-04-2024
STU20240478,Route 3,Stop 6,01-04-2024
STU20240479,Route 4,Stop 7,01-04-2024
STU20240480,Route 5,Stop 8,01-04-2024
STU20240481,Route 1,Stop 1,01-04-2024
STU20240482,Route 2,Stop 2,01-04-2024
STU20240483,Route 3,Stop 3,01-04-2024
STU20240484,Route 4,Stop 4,01-04-2024
STU20240485,Route 5,Stop 5,01-04-2024
STU20240486,Route 1,Stop 6,01-04-2024
STU20240487,Route 2,Stop 7,01-04-2024
STU20240488,Route 3,Stop 8,01-04-2024
STU20240489,Route 4,Stop 1,01-04-2024
STU20240490,Route 5,Stop 2,01-04-2024
STU20240491,Route 1,Stop 3,01-04-2024
STU20240492,Route 2,Stop 4,01-04-2024
STU20240493,Route 3,Stop 5,01-04-2024
STU20240494,Route 4,Stop 6,01-04-2024
STU20240495,Route 5,Stop 7,01-04-2024
STU20240496,Route 1,Stop 8,01-04-2024
STU20240497,Route 2,Stop 1,01-04-2024
STU20240498,Route 3,Stop 2,01-04-2024
STU20240499,Route 4,Stop 3,01-04-2024
STU20240500,Route 5,Stop 4,01-04-2024
